Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2021-04-19,PHI,,SFG,"L,0-2",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,8.0,1.15,-0.131,1.13,-0.08%,-1.02,0.0,0.0,SS,,2021-04-19,143,137,634457,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2021-04-20,PHI,,SFG,"L,7-10",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.375,0.625,8.0,0.51,0.125,0.54,0.08%,0.97,0.0,0.0,SS,,2021-04-20,143,137,634439,2021,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,1.0,0.25,0.25,0.25,0.5,0.0,0.0,0.0,1.0,1.0
3.0,3.0,2021-04-21,PHI,,SFG,"W,6-5",CG,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.417,0.5,0.917,7.0,1.04,0.135,0.97,0.08%,1.47,0.0,0.0,SS,,2021-04-21,143,137,634428,2021,0.25,0.25,0.5,0.75,0.0,0.0,1.0,3.0,3.0,0.25,0.25,0.5,0.75,0.0,0.0,1.0,3.0,3.0,0.25,0.25,0.5,0.75,0.0,0.0,1.0,3.0,3.0
4.0,4.0,2021-04-23,PHI,@,COL,"L,4-5",CG,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.438,0.563,1.0,7.0,1.08,0.015,1.06,0.01%,-0.08,0.0,0.0,2B,,2021-04-23,143,115,634401,2021,0.417,0.417,0.583,1.0,0.0,0.0,1.0,6.0,4.0,0.417,0.417,0.583,1.0,0.0,0.0,1.0,6.0,4.0,0.417,0.417,0.583,1.0,0.0,0.0,1.0,6.0,4.0
5.0,5.0,2021-04-24,PHI,@,COL,"W,7-5",CG,4.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.5,0.632,1.132,7.0,0.64,0.096,0.61,0.06%,0.75,0.0,0.0,2B,,2021-04-24,143,115,634418,2021,0.438,0.438,0.688,1.125,0.0,0.0,2.0,9.0,5.0,0.438,0.438,0.688,1.125,0.0,0.0,2.0,9.0,5.0,0.438,0.438,0.688,1.125,0.0,0.0,2.0,9.0,5.0
6.0,6.0,2021-04-25,PHI,@,COL,"L,2-12",CG,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.542,0.636,1.178,7.0,0.22,0.005,0.22,0.00%,0.7,0.0,0.0,2B,,2021-04-25,143,115,634388,2021,0.474,0.5,0.789,1.289,0.0,0.0,3.0,12.0,6.0,0.474,0.5,0.789,1.289,0.0,0.0,3.0,12.0,6.0,0.474,0.5,0.789,1.289,0.0,0.0,3.0,12.0,6.0
7.0,7.0,2021-04-26,PHI,@,STL,"W,2-1",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.481,0.56,1.041,8.0,0.9,-0.067,0.87,-0.04%,-0.53,0.0,0.0,2B,,2021-04-26,143,138,634345,2021,0.5,0.542,0.773,1.314,0.0,0.0,3.0,14.0,6.0,0.556,0.6,0.889,1.489,0.0,0.0,3.0,13.0,5.0,0.5,0.542,0.773,1.314,0.0,0.0,3.0,14.0,6.0
8.0,8.0,2021-04-27,PHI,@,STL,"L,2-5",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.433,0.5,0.933,8.0,0.85,-0.064,0.89,-0.04%,-0.55,0.0,0.0,2B,,2021-04-27,143,138,634318,2021,0.44,0.481,0.68,1.161,0.0,0.0,3.0,14.0,8.0,0.529,0.579,0.765,1.344,0.0,0.0,2.0,11.0,5.0,0.44,0.481,0.68,1.161,0.0,0.0,3.0,14.0,8.0
9.0,9.0,2021-04-28,PHI,@,STL,"W,5-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.382,0.438,0.82,8.0,1.5,-0.13,1.48,-0.08%,-1.24,0.0,0.0,2B,,2021-04-28,143,138,634314,2021,0.393,0.433,0.607,1.04,0.0,0.0,3.0,14.0,10.0,0.375,0.444,0.625,1.069,0.0,0.0,2.0,8.0,6.0,0.393,0.433,0.607,1.04,0.0,0.0,3.0,14.0,10.0
10.0,10.0,2021-04-29,PHI,@,STL,"L,3-4",CG(10),4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,0.395,0.472,0.867,8.0,1.34,0.009,1.44,0.01%,0.2,0.0,0.0,SS,,2021-04-29,143,138,634352,2021,0.344,0.382,0.531,0.914,0.0,0.0,3.0,14.0,11.0,0.25,0.333,0.375,0.708,0.0,0.0,1.0,5.0,6.0,0.344,0.382,0.531,0.914,0.0,0.0,3.0,14.0,11.0
11.0,11.0,2021-04-30,PHI,,NYM,"W,2-1",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.366,0.436,0.802,6.0,0.74,-0.02,0.87,-0.01%,-0.2,0.0,0.0,SS,,2021-04-30,143,121,634336,2021,0.361,0.395,0.583,0.978,0.0,0.0,4.0,17.0,11.0,0.235,0.278,0.353,0.631,0.0,0.0,1.0,5.0,5.0,0.361,0.395,0.583,0.978,0.0,0.0,4.0,17.0,11.0
12.0,12.0,2021-05-01,PHI,,NYM,"L,4-5",CG,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357,0.4,0.476,0.876,6.0,1.21,0.108,1.49,0.08%,1.39,0.0,0.0,2B,,2021-05-01,143,121,634276,2021,0.333,0.366,0.538,0.904,0.0,0.0,4.0,17.0,11.0,0.118,0.118,0.235,0.353,0.0,0.0,1.0,3.0,5.0,0.333,0.366,0.538,0.904,0.0,0.0,4.0,17.0,11.0
13.0,13.0,2021-05-02,PHI,,NYM,"L,7-8",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.388,0.457,0.844,7.0,0.6,-0.03,0.7,-0.02%,-0.56,0.0,0.0,2B,,2021-05-02,143,121,634257,2021,0.357,0.4,0.595,0.995,0.0,0.0,5.0,20.0,11.0,0.235,0.278,0.471,0.748,0.0,0.0,2.0,6.0,3.0,0.357,0.4,0.595,0.995,0.0,0.0,5.0,20.0,11.0
14.0,14.0,2021-05-03,PHI,,MIL,"W,4-3",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.365,0.429,0.794,6.0,0.43,-0.033,0.41,-0.02%,-0.64,0.0,0.0,2B,,2021-05-03,143,158,634244,2021,0.348,0.388,0.565,0.953,0.0,0.0,5.0,21.0,13.0,0.278,0.316,0.5,0.816,0.0,0.0,2.0,7.0,3.0,0.348,0.388,0.565,0.953,0.0,0.0,5.0,21.0,13.0
15.0,15.0,2021-05-04,PHI,,MIL,"W,6-5",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.364,0.423,0.787,8.0,0.47,-0.028,0.49,-0.02%,0.15,0.0,0.0,2B,,2021-05-04,143,158,634324,2021,0.327,0.365,0.531,0.896,0.0,0.0,5.0,21.0,14.0,0.294,0.333,0.529,0.863,0.0,0.0,2.0,7.0,3.0,0.327,0.365,0.531,0.896,0.0,0.0,5.0,21.0,14.0
