Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,4 (3),2021-04-05,BAL,@,NYY,"L,0-7",CG,3,2,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.333,0.0,0.333,9,1.29,-0.101,1.61,-0.08%,-0.55,,,RF,,2021-04-05,110,147,634587
2,2,6 (1),2021-04-07,BAL,@,NYY,"W,4-3",10-GF(11),1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.25,0.0,0.25,4,3.87,-0.109,4.44,-0.08%,-0.79,,,LF,,2021-04-07,110,147,634539
3,3,8 (1),2021-04-10,BAL,,BOS,"L,4-6",8-GF(10),1,1,1,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.2,0.0,0.2,5,1.57,-0.037,1.84,-0.03%,-0.07,,,PR LF,,2021-04-10,110,111,634491
4,4,9,2021-04-11,BAL,,BOS,"L,9-14",6-GF,3,3,2,2,0,1,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.286,0.375,0.571,0.946,3,0.21,-0.022,0.24,-0.02%,1.8,,,PH RF,,2021-04-11,110,111,632200
5,5,10,2021-04-13,BAL,,SEA,"L,3-4",7-GF(8),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.286,0.375,0.571,0.946,7,,,,,,,,PR LF,1.0,2021-04-13,110,136,632213
6,6,11,2021-04-13,BAL,,SEA,"W,7-6",6-GF(7),1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0,0,0.25,0.333,0.5,0.833,6,2.34,0.048,2.14,0.03%,0.21,,,LF,2.0,2021-04-13,110,136,632224
7,7,12,2021-04-15,BAL,,SEA,"L,2-4",CG(7),2,2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.2,0.273,0.4,0.673,9,1.38,-0.066,1.25,-0.04%,-0.54,,,RF,1.0,2021-04-15,110,136,634571
8,8,13,2021-04-15,BAL,,SEA,"L,1-2",7-GF(7),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.2,0.273,0.4,0.673,7,,,,,,,,PR,2.0,2021-04-15,110,136,634472
9,9,14,2021-04-16,BAL,@,TEX,"W,5-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.2,0.273,0.4,0.673,3,,,,,,,,LF,,2021-04-16,110,140,634463
10,10,15,2021-04-17,BAL,@,TEX,"W,6-1",9-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.2,0.273,0.4,0.673,3,,0.0,,0.00%,0.0,,,PR LF,,2021-04-17,110,140,634543
11,11,16,2021-04-18,BAL,@,TEX,"L,0-1",9-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.2,0.273,0.4,0.673,3,,,,,,,,LF,,2021-04-18,110,140,634511
12,12,18 (1),2021-04-21,BAL,@,MIA,"L,0-3",GS-8,2,2,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.167,0.231,0.333,0.564,8,1.29,-0.063,1.14,-0.03%,-0.54,,,RF,,2021-04-21,110,146,634497
13,13,21 (2),2021-04-25,BAL,,OAK,"W,8-1",CG,4,3,1,1,0,0,0,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.2,0.294,0.333,0.627,9,0.49,0.004,0.39,0.00%,1.05,,,RF,,2021-04-25,110,133,634454
