Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2022-08-02,WSN,,NYM,"W,5-1",CG,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.25,6,0.38,-0.007,0.0,0.00%,0.1,14.0,18.7,1B,,2022-08-02,120,121,662529,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2022-08-03,WSN,,NYM,"L,5-9",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.125,0.125,0.5,0.625,4,0.99,-0.182,0.0,0.00%,-2.0,0.0,0.0,1B,,2022-08-03,120,121,662552,2022,0.25,0.25,1.25,1.5,0.0,0.0,1.0,4.0,2.0,0.25,0.25,1.25,1.5,0.0,0.0,1.0,4.0,2.0,0.25,0.25,1.25,1.5,0.0,0.0,1.0,4.0,2.0
3,3,2022-08-05,WSN,@,PHI,"L,2-7",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.455,0.636,8,0.24,-0.008,0.0,0.00%,0.35,3.0,3.0,1B,,2022-08-05,120,143,661562,2022,0.125,0.125,0.625,0.75,0.0,0.0,1.0,4.0,2.0,0.125,0.125,0.625,0.75,0.0,0.0,1.0,4.0,2.0,0.125,0.125,0.625,0.75,0.0,0.0,1.0,4.0,2.0
4,4,2022-08-06,WSN,@,PHI,"L,5-11",CG,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.25,0.4,0.65,5,0.28,-0.034,0.0,0.00%,-0.72,7.0,9.2,LF,,2022-08-06,120,143,661561,2022,0.182,0.182,0.545,0.727,0.0,0.0,1.0,5.0,2.0,0.182,0.182,0.545,0.727,0.0,0.0,1.0,5.0,2.0,0.182,0.182,0.545,0.727,0.0,0.0,1.0,5.0,2.0
5,5,2022-08-08,WSN,@,CHC,"L,3-6",8-GF,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.294,0.625,0.919,5,0.16,0.025,0.0,0.00%,1.87,16.0,22.2,PH LF,,2022-08-08,120,112,661060,2022,0.2,0.25,0.467,0.717,0.0,0.0,1.0,6.0,2.0,0.2,0.25,0.467,0.717,0.0,0.0,1.0,6.0,2.0,0.2,0.25,0.467,0.717,0.0,0.0,1.0,6.0,2.0
6,6,2022-08-09,WSN,@,CHC,"W,6-5",CG,4.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.333,0.75,1.083,5,1.27,0.519,0.0,0.00%,1.66,21.0,28.4,LF RF,,2022-08-09,120,112,661059,2022,0.25,0.294,0.75,1.044,0.0,0.0,2.0,10.0,2.0,0.25,0.294,0.75,1.044,0.0,0.0,2.0,10.0,2.0,0.25,0.294,0.75,1.044,0.0,0.0,2.0,10.0,2.0
7,7,2022-08-10,WSN,@,CHC,"L,2-4",CG,4.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.4,0.87,1.27,4,1.08,0.134,0.0,0.00%,1.03,19.0,24.7,1B,,2022-08-10,120,112,663229,2022,0.3,0.333,0.9,1.233,0.0,0.0,3.0,15.0,3.0,0.312,0.353,0.812,1.165,0.0,0.0,2.0,11.0,1.0,0.3,0.333,0.9,1.233,0.0,0.0,3.0,15.0,3.0
8,8,2022-08-12,WSN,,SDP,"L,5-10",CG,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37,0.433,0.815,1.248,5,0.96,-0.178,0.0,0.00%,-1.15,10.0,12.2,RF,,2022-08-12,120,135,662551,2022,0.348,0.4,1.043,1.443,0.0,0.0,4.0,20.0,4.0,0.467,0.529,1.267,1.796,0.0,0.0,3.0,16.0,2.0,0.348,0.4,1.043,1.443,0.0,0.0,4.0,20.0,4.0
9,9,2022-08-13,WSN,,SDP,"W,4-3",CG,4.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.441,0.871,1.312,5,0.67,0.176,0.0,0.00%,0.62,17.0,21.7,1B RF,,2022-08-13,120,135,662473,2022,0.37,0.433,0.963,1.396,0.0,0.0,4.0,22.0,5.0,0.5,0.579,1.25,1.829,0.0,0.0,3.0,17.0,3.0,0.37,0.433,0.963,1.396,0.0,0.0,4.0,22.0,5.0
10,10,2022-08-14,WSN,,SDP,"L,0-6",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.447,0.829,1.276,2,0.41,0.019,0.0,0.00%,0.15,6.0,6.0,1B,,2022-08-14,120,135,662472,2022,0.387,0.441,1.032,1.473,0.0,0.0,5.0,27.0,5.0,0.562,0.611,1.562,2.174,0.0,0.0,4.0,21.0,3.0,0.387,0.441,1.032,1.473,0.0,0.0,5.0,27.0,5.0
