Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,132 (131),2023-08-28,WSN,@,TOR,"L,3-6",9-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,8.0,0.41,-0.01,0.01,0.00%,-0.16,0.0,0.0,PH,,2023-08-28,120,141,716816
2.0,2.0,137 (4),2023-09-02,WSN,,MIA,"L,5-11",7-GF,2,2,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.333,0.333,0.667,7.0,0.05,0.003,0.0,0.00%,0.18,3.0,3.0,PH C,,2023-09-02,120,146,716760
3.0,3.0,138,2023-09-03,WSN,,MIA,"L,4-6",GS-9,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.333,0.333,0.667,8.0,1.47,0.008,0.0,0.00%,-0.04,3.0,3.0,C,,2023-09-03,120,146,716740
4.0,4.0,139,2023-09-05,WSN,,NYM,"L,5-11",8-GF,1,0,0,0,0,0,0,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.429,0.333,0.762,3.0,0.41,0.018,0.0,0.00%,1.0,4.0,6.5,C,,2023-09-05,120,121,716715
5.0,5.0,143 (3),2023-09-10,WSN,,LAD,"L,3-7",CG,4,3,0,1,0,0,0,2,1,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.455,0.333,0.788,7.0,1.37,0.1,0.0,0.00%,1.15,9.0,13.0,C,,2023-09-10,120,119,716647
6.0,6.0,146 (2),2023-09-13,WSN,@,PIT,"L,6-7",GS-9,3,3,1,1,0,0,1,1,0,0.0,0,0,0,0.0,0,1.0,0,0,0.333,0.429,0.583,1.012,7.0,1.18,-0.117,0.0,0.00%,-0.11,14.0,18.7,C,,2023-09-13,120,134,716600
7.0,7.0,150 (3),2023-09-17,WSN,@,MIL,"W,2-1",CG(11),4,4,0,1,1,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.313,0.389,0.563,0.951,7.0,1.88,-0.023,0.0,0.00%,-0.3,5.0,6.0,C,,2023-09-17,120,158,716543
8.0,8.0,152 (1),2023-09-19,WSN,,CHW,"W,4-3",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.263,0.333,0.474,0.807,7.0,2.09,-0.206,0.0,0.00%,-1.16,0.0,0.0,C,,2023-09-19,120,145,716525
9.0,9.0,154 (1),2023-09-21,WSN,,ATL,"L,3-10",CG,4,4,0,2,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.304,0.36,0.478,0.838,7.0,0.34,-0.029,0.0,0.00%,0.86,8.0,9.5,C,,2023-09-21,120,144,716496
10.0,10.0,156 (1),2023-09-24,WSN,,ATL,"W,3-2",CG,3,3,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.308,0.357,0.5,0.857,8.0,1.52,-0.122,0.0,0.00%,-1.49,5.0,6.0,C,1.0,2023-09-24,120,144,716459
11.0,11.0,162 (5),2023-10-01,WSN,@,ATL,"W,10-9",CG,5,2,0,0,0,0,0,1,2,0.0,0,0,1,0.0,0,0.0,0,0,0.286,0.375,0.464,0.839,8.0,2.72,0.182,0.0,0.00%,0.52,6.0,9.5,C,,2023-10-01,120,144,716354
1.0,12.0,12 (11),2024-04-10,WSN,@,SFG,"L,1-7",CG,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,1,0,0.333,0.333,0.333,0.667,8.0,1.08,-0.044,1.0,-0.02%,-0.49,8.0,9.0,C,,2024-04-10,120,137,745355
2.0,13.0,17 (4),2024-04-16,WSN,@,LAD,"L,2-6",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.167,0.167,0.167,0.333,8.0,0.87,-0.069,0.8,-0.04%,-0.62,0.0,0.0,C,,2024-04-16,120,119,746157
3.0,14.0,59 (41),2024-06-03 00:00:00,WSN,,NYM,"L,7-8",CG,5,4,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.1,0.182,0.1,0.282,9.0,2.1,-0.192,1.41,-0.08%,-0.57,2.0,3.0,C,,2024-06-03,120,121,744854
4.0,15.0,63 (3),2024-06-07 00:00:00,WSN,,ATL,"W,2-1",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.077,0.143,0.077,0.22,9.0,0.52,-0.04,0.26,-0.01%,-0.61,0.0,0.0,C,,2024-06-07,120,144,744845
5.0,16.0,68 (4),2024-06-13 00:00:00,WSN,@,DET,"L,2-7",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.063,0.118,0.063,0.18,8.0,0.99,-0.075,0.64,-0.03%,-0.57,0.0,0.0,C,,2024-06-13,120,116,746465
6.0,17.0,70 (1),2024-06-15 00:00:00,WSN,,MIA,"W,4-0",CG,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.105,0.15,0.105,0.255,7.0,0.45,-0.007,0.3,0.00%,-0.17,8.0,9.0,C,,2024-06-15,120,146,744846
7.0,18.0,75 (4),2024-06-21 00:00:00,WSN,@,COL,"W,11-5",CG,5,4,1,3,1,0,1,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.217,0.28,0.391,0.671,8.0,0.28,0.02,0.2,0.01%,1.98,24.0,30.7,C,,2024-06-21,120,115,746540
8.0,19.0,76,2024-06-22 00:00:00,WSN,@,COL,"L,7-8",7-GF,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.208,0.269,0.375,0.644,8.0,0.3,-0.008,0.22,0.00%,-0.12,2.0,3.2,PR C,,2024-06-22,120,115,746541
9.0,20.0,80 (3),2024-06-26 00:00:00,WSN,@,SDP,"L,5-8",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.185,0.241,0.333,0.575,8.0,0.43,-0.034,0.3,-0.01%,-0.49,0.0,0.0,C,,2024-06-26,120,135,745400
10.0,21.0,83 (2),2024-06-30 00:00:00,WSN,@,TBR,"L,0-5",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.167,0.219,0.3,0.519,8.0,0.46,-0.035,0.24,-0.01%,-0.47,0.0,0.0,C,,2024-06-30,120,139,745072
11.0,22.0,84,2024-07-01 00:00:00,WSN,,NYM,"L,7-9",10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.167,0.219,0.3,0.519,7.0,,,,,,0.0,0.0,PR,,2024-07-01,120,121,744840
