Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1176,1,2021-04-01,CIN,,STL,"L,6-11",CG,5,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,.000,.400,.000,.400,5,.62,-0.020,.67,-0.01%,-0.18,,,3B,,2021-04-01,113,138,634636
2,1177,2,2021-04-03,CIN,,STL,"W,9-6",CG,5,4,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.333,.500,.500,1.000,5,.50,0.055,.51,0.03%,1.03,,,3B,,2021-04-03,113,138,634654
3,1178,3,2021-04-04,CIN,,STL,"W,12-1",CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.222,.429,.333,.762,5,.74,-0.072,.77,-0.05%,-0.67,,,3B,,2021-04-04,113,138,634560
4,1179,4,2021-04-05,CIN,,PIT,"W,5-3",CG,4,3,2,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,.333,.500,.750,1.250,5,.84,0.200,.96,0.14%,1.79,,,3B,,2021-04-05,113,134,634558
5,1180,5,2021-04-06,CIN,,PIT,"W,14-1",GS-6,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.400,.524,.733,1.257,5,.38,0.019,.45,0.01%,0.22,,,3B,,2021-04-06,113,134,634530
6,1181,6,2021-04-07,CIN,,PIT,"W,11-4",CG,4,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.412,.560,.706,1.266,4,.45,0.059,.54,0.04%,0.86,,,3B,,2021-04-07,113,134,634570
7,1182,7,2021-04-09,CIN,@,ARI,"W,6-5",CG(10),5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.333,.500,.571,1.071,5,1.24,-0.072,1.35,-0.05%,-0.79,,,3B,,2021-04-09,113,109,634540
8,1183,8,2021-04-10,CIN,@,ARI,"L,3-8",CG,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.360,.500,.600,1.100,5,.91,0.124,1.03,0.09%,1.26,,,3B,,2021-04-10,113,109,634484
9,1184,9,2021-04-11,CIN,@,ARI,"L,0-7",GS-5,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.333,.472,.556,1.028,5,.54,-0.027,.61,-0.02%,-0.32,,,3B,,2021-04-11,113,109,632209
10,1185,10,2021-04-12,CIN,@,SFG,"W,3-0",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.425,.484,.909,5,.61,-0.066,.67,-0.04%,-1.07,,,3B,,2021-04-12,113,137,634648
11,1186,11,2021-04-13,CIN,@,SFG,"L,6-7",CG,4,4,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,.286,.409,.543,.952,5,1.28,0.015,1.45,0.01%,1.10,,,3B,,2021-04-13,113,137,634510
12,1187,12,2021-04-14,CIN,@,SFG,"L,0-3",CG,3,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.289,.404,.553,.957,5,.78,-0.019,.85,-0.01%,-0.18,,,3B,,2021-04-14,113,137,634582
13,1188,23 (10),2021-04-27,CIN,@,LAD,"W,6-5",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.262,.373,.500,.873,4,1.14,-0.077,1.01,-0.04%,-0.71,,,3B,,2021-04-27,113,119,634379
14,1189,24,2021-04-28,CIN,@,LAD,"L,0-8",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.261,.364,.478,.842,6,.65,-0.071,.62,-0.04%,-0.48,,,3B,,2021-04-28,113,119,634365
15,1190,25,2021-04-30,CIN,,CHC,"W,8-6",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.240,.339,.440,.779,4,.53,-0.061,.51,-0.04%,-1.37,,,3B,,2021-04-30,113,112,634305
16,1191,26,2021-05-01,CIN,,CHC,"L,2-3",CG,4,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.231,.333,.423,.756,4,1.51,-0.047,1.54,-0.03%,0.03,,,3B,,2021-05-01,113,112,634273
17,1192,27,2021-05-02,CIN,,CHC,"W,13-12",CG(10),5,4,1,2,1,0,1,2,0,0,0,1,0,0,0,2,0,0,.250,.353,.500,.853,4,1.81,0.257,1.62,0.14%,1.00,,,3B,,2021-05-02,113,112,634298
18,1193,28,2021-05-04,CIN,,CHW,"L,0-9",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.233,.333,.467,.800,4,.32,-0.033,.28,-0.02%,-1.03,,,3B,,2021-05-04,113,145,634251
19,1194,29,2021-05-05,CIN,,CHW,"W,1-0",CG(10),4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.219,.316,.438,.753,5,1.64,-0.166,1.32,-0.08%,-1.21,,,3B,,2021-05-05,113,145,634270
20,1195,30,2021-05-07,CIN,@,CLE,"W,3-0",CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.221,.313,.426,.739,4,1.08,-0.055,.99,-0.03%,0.08,,,1B,,2021-05-07,113,114,634203
21,1196,31,2021-05-08,CIN,@,CLE,"L,2-9",GS-7,3,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.214,.301,.414,.715,4,1.48,-0.057,1.42,-0.03%,-0.64,,,1B,,2021-05-08,113,114,634187
22,1197,32,2021-05-10,CIN,@,PIT,"W,14-1",CG,5,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.227,.307,.413,.720,4,.66,0.080,.64,0.05%,0.71,,,1B,,2021-05-10,113,134,634152
23,1198,33,2021-05-11,CIN,@,PIT,"L,2-7",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.218,.304,.397,.702,4,.68,-0.031,.68,-0.02%,-0.26,,,1B,,2021-05-11,113,134,634174
24,1199,34,2021-05-12,CIN,@,PIT,"W,5-1",CG(10),5,3,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,.235,.330,.444,.774,4,1.75,0.205,1.71,0.12%,1.73,,,1B,,2021-05-12,113,134,634137
25,1200,35,2021-05-13,CIN,@,COL,"L,8-13",GS-5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.241,.333,.446,.779,4,1.24,-0.060,1.21,-0.04%,-0.71,,,1B,,2021-05-13,113,115,634191
26,1201,36,2021-05-14,CIN,@,COL,"L,6-9",GS-5,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.244,.333,.442,.775,3,.70,0.083,.67,0.05%,0.58,,,1B,,2021-05-14,113,115,634121
