Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,135,1,2021-04-01,CLE,@,DET,"L,2-3",CG,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.25,0.25,0.5,6,0.95,-0.064,1.02,-0.04%,-0.69,,,RF,,2021-04-01,114,116,634645
2,136,2,2021-04-03,CLE,@,DET,"L,2-5",CG,4,4,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.25,0.375,0.625,6,1.03,-0.071,1.06,-0.04%,-0.68,,,RF,,2021-04-03,114,116,634573
3,137,3,2021-04-04,CLE,@,DET,"W,9-3",CG,4,4,1,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.25,0.417,0.667,7,1.17,0.154,1.12,0.09%,0.54,,,RF,,2021-04-04,114,116,634611
4,138,4,2021-04-05,CLE,,KCR,"L,0-3",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.2,0.2,0.333,0.533,7,1.11,-0.089,1.14,-0.06%,-0.8,,,RF,,2021-04-05,114,118,634616
5,139,5,2021-04-07,CLE,,KCR,"W,4-2",CG,4,4,0,2,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.263,0.263,0.368,0.632,6,0.77,0.017,0.72,0.01%,-0.26,,,RF,,2021-04-07,114,118,634589
6,140,6,2021-04-09,CLE,,DET,"W,4-1",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.227,0.227,0.318,0.545,6,0.27,-0.022,0.27,-0.01%,-0.52,,,RF,,2021-04-09,114,116,634505
7,141,8 (1),2021-04-11,CLE,,DET,"W,5-2",CG,4,3,0,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.24,0.269,0.32,0.589,6,0.94,-0.031,1.03,-0.02%,0.19,,,RF,,2021-04-11,114,116,632228
8,142,9,2021-04-12,CLE,@,CHW,"L,3-4",CG,4,4,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.241,0.267,0.345,0.611,7,0.99,0.005,1.18,0.00%,-0.29,,,RF,,2021-04-12,114,145,632216
9,143,10,2021-04-13,CLE,@,CHW,"W,2-0",CG(10),4,4,1,1,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0,0,0.242,0.265,0.333,0.598,6,1.8,0.087,2.1,0.06%,0.23,,,RF,,2021-04-13,114,145,632199
10,144,11,2021-04-14,CLE,@,CHW,"L,0-8",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.222,0.243,0.306,0.549,7,0.17,-0.013,0.2,-0.01%,-0.75,,,RF,,2021-04-14,114,145,634516
11,145,12,2021-04-15,CLE,@,CHW,"W,4-2",CG,4,4,1,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.225,0.244,0.3,0.544,6,0.82,-0.028,0.99,-0.02%,-0.67,,,RF,,2021-04-15,114,145,634501
12,146,13,2021-04-16,CLE,@,CIN,"L,3-10",CG,4,4,0,3,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.273,0.289,0.364,0.653,6,0.86,-0.029,0.93,-0.02%,0.15,,,RF,,2021-04-16,114,113,634482
13,147,14,2021-04-17,CLE,@,CIN,"L,2-3",CG(10),4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.255,0.286,0.34,0.626,6,0.92,-0.228,0.92,-0.14%,-2.3,,,1B,,2021-04-17,114,113,634460
14,148,15,2021-04-18,CLE,@,CIN,"W,6-3",9-9,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.28,0.333,0.613,9,0.09,-0.002,0.09,0.00%,-0.12,,,PH,,2021-04-18,114,113,634487
15,149,16,2021-04-20,CLE,,CHW,"L,5-8",CG,5,3,1,1,1,0,0,1,1,0.0,1,0,0,0.0,0,0.0,0,0,0.255,0.296,0.353,0.649,7,0.86,0.046,1.03,0.03%,1.39,,,RF,,2021-04-20,114,145,634397
16,150,17,2021-04-22,CLE,,NYY,"L,3-6",CG,4,4,0,1,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.255,0.293,0.345,0.639,6,1.03,-0.032,1.04,-0.02%,0.14,,,RF,,2021-04-22,114,147,634436
17,151,19 (1),2021-04-24,CLE,,NYY,"L,1-2",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.241,0.279,0.328,0.606,6,0.84,-0.069,0.78,-0.04%,-0.55,,,RF,,2021-04-24,114,147,634486
18,152,20,2021-04-25,CLE,,NYY,"W,7-3",GS-9,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.226,0.262,0.306,0.568,6,0.66,-0.078,0.57,-0.04%,-1.2,,,1B,,2021-04-25,114,147,634372
19,153,21,2021-04-26,CLE,,MIN,"W,5-3",CG(10),4,4,0,3,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.258,0.29,0.348,0.638,6,1.68,0.172,1.6,0.10%,1.35,,,1B,,2021-04-26,114,142,634394
20,154,22,2021-04-27,CLE,,MIN,"W,7-4",CG,4,3,2,1,1,0,0,0,0,0.0,0,1,0,0.0,0,1.0,0,0,0.261,0.301,0.362,0.664,6,0.87,-0.076,0.9,-0.05%,-0.56,,,RF,,2021-04-27,114,142,634339
21,155,23,2021-04-28,CLE,,MIN,"L,2-10",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.289,0.347,0.637,7,0.3,-0.021,0.32,-0.01%,-0.66,,,RF,,2021-04-28,114,142,634371
22,156,25 (1),2021-05-01,CLE,@,CHW,"L,3-7",CG,4,4,1,2,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.263,0.3,0.368,0.668,5,0.37,0.007,0.42,0.01%,0.17,,,DH,,2021-05-01,114,145,634326
23,157,26,2021-05-02,CLE,@,CHW,"W,5-0",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.286,0.35,0.636,5,0.9,-0.093,1.0,-0.06%,-1.23,,,RF,,2021-05-02,114,145,634302
