Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,14 (13),2023-04-15,LAA,@,BOS,"L,7-9",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,8,1.31,-0.15,1.28,-0.09%,-1.38,0.0,0.0,SS,,2023-04-15,108,111,718576
2,2,15,2023-04-16,LAA,@,BOS,"L,1-2",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2.0,0,0,0.0,0.0,0.0,0.0,1,1.87,-0.295,1.79,-0.17%,-2.15,0.0,0.0,SS,,2023-04-16,108,111,718559
3,3,16,2023-04-17,LAA,@,BOS,"W,5-4",CG,5,5,1,1,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,0,0,0.077,0.077,0.077,0.154,1,0.52,-0.016,0.5,-0.01%,-0.15,5.0,6.2,SS,,2023-04-17,108,111,718540
4,4,17,2023-04-18,LAA,@,NYY,"W,5-2",CG,4,3,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0,0,0.063,0.118,0.063,0.18,8,0.32,-0.013,0.32,-0.01%,-0.25,2.0,3.0,SS,,2023-04-18,108,147,718529
5,5,18,2023-04-19,LAA,@,NYY,"L,2-3",CG(10),4,3,0,2,2,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0,0,0.158,0.238,0.263,0.501,9,1.65,0.194,1.75,0.12%,1.74,12.0,15.0,SS,,2023-04-19,108,147,718504
6,6,19,2023-04-20,LAA,@,NYY,"L,3-9",CG,4,3,0,0,0,0,0,0,0,0.0,2,1,0,0.0,0,1.0,0,0,0.136,0.24,0.227,0.467,9,1.18,-0.1,1.17,-0.06%,-1.52,2.0,3.0,SS,,2023-04-20,108,147,718496
7,7,20,2023-04-21,LAA,,KCR,"W,2-0",CG,3,1,1,0,0,0,0,0,0,0.0,0,2,0,0.0,0,0.0,0,0,0.13,0.286,0.217,0.503,8,0.64,0.011,0.62,0.01%,-0.12,6.0,9.2,SS,,2023-04-21,108,118,718485
8,8,21,2023-04-22,LAA,,KCR,"L,8-11",CG,4,4,0,2,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.185,0.313,0.259,0.572,9,1.25,0.18,1.19,0.10%,0.88,8.0,9.5,SS,,2023-04-22,108,118,718466
9,9,22,2023-04-23,LAA,,KCR,"W,4-3",CG,3,3,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.2,0.314,0.267,0.581,9,0.66,-0.03,0.61,-0.02%,-0.23,3.0,3.0,SS,,2023-04-23,108,118,718452
10,10,23,2023-04-24,LAA,,OAK,"L,10-11",CG(10),5,4,0,2,1,0,0,2,0,0.0,0,1,0,0.0,0,0.0,0,0,0.235,0.35,0.324,0.674,9,2.16,0.384,2.12,0.23%,1.93,14.0,19.0,SS,,2023-04-24,108,133,718437
11,11,24,2023-04-25,LAA,,OAK,"W,5-3",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.211,0.318,0.289,0.608,9,0.65,-0.055,0.61,-0.03%,-0.9,0.0,0.0,SS,,2023-04-25,108,133,718425
12,12,25,2023-04-26,LAA,,OAK,"W,11-3",CG,4,4,1,1,1,0,0,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.214,0.313,0.31,0.622,9,0.42,0.052,0.4,0.03%,0.06,9.0,12.7,SS,,2023-04-26,108,133,718408
13,13,26,2023-04-27,LAA,,OAK,"W,8-7",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.214,0.313,0.31,0.622,7,,,,,,0.0,0.0,SS,,2023-04-27,108,133,718402
14,14,27,2023-04-28,LAA,@,MIL,"L,1-2",CG,3,3,0,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.244,0.333,0.333,0.667,9,0.9,0.056,0.91,0.03%,0.55,6.0,6.0,SS,,2023-04-28,108,158,718386
15,15,28,2023-04-29,LAA,@,MIL,"L,5-7",CG,5,4,1,2,0,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0,0,0.265,0.357,0.347,0.704,1,0.9,0.02,0.87,0.01%,0.52,10.0,12.2,SS,,2023-04-29,108,158,718376
16,16,29,2023-04-30,LAA,@,MIL,"W,3-0",CG,4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,1,0,0.25,0.35,0.327,0.677,1,0.72,-0.006,0.71,0.00%,-0.32,7.0,9.0,SS,,2023-04-30,108,158,718365
17,17,30,2023-05-02,LAA,@,STL,"W,5-1",CG,5,5,0,2,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.263,0.354,0.333,0.687,1,0.5,0.044,0.49,0.03%,0.87,8.0,9.5,SS,,2023-05-02,108,138,718338
18,18,31,2023-05-03,LAA,@,STL,"W,6-4",GS-5,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.267,0.353,0.333,0.686,1,1.25,0.005,1.32,0.00%,0.12,3.0,3.0,SS,,2023-05-03,108,138,718320
19,19,32,2023-05-04,LAA,@,STL,"W,11-7",CG,5,5,0,1,0,0,0,2,0,0.0,2,0,0,0.0,0,0.0,0,0,0.262,0.342,0.323,0.666,1,0.43,-0.022,0.46,-0.01%,0.4,7.0,10.0,SS,,2023-05-04,108,138,718311
20,20,33,2023-05-05,LAA,,TEX,"W,5-4",CG(10),5,4,1,0,0,0,0,0,1,0.0,0,0,0,0.0,1,0.0,0,0,0.246,0.333,0.304,0.638,1,1.79,0.105,2.37,0.08%,0.0,4.0,6.2,SS,,2023-05-05,108,140,718294
21,21,34,2023-05-06,LAA,,TEX,"L,1-10",CG,4,3,0,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.236,0.329,0.292,0.621,1,0.89,-0.046,1.23,-0.04%,-0.46,2.0,3.0,SS,,2023-05-06,108,140,718275
22,22,36 (1),2023-05-08,LAA,,HOU,"W,6-4",CG,3,3,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.24,0.329,0.293,0.623,9,0.95,-0.007,1.14,-0.01%,0.04,5.0,6.2,SS,,2023-05-08,108,117,718254
23,23,37,2023-05-09,LAA,,HOU,"L,1-3",CG,3,3,1,1,0,0,1,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.244,0.33,0.333,0.663,9,1.21,0.037,1.49,0.03%,0.5,14.0,18.7,SS,,2023-05-09,108,117,718237
24,24,38,2023-05-10,LAA,,HOU,"L,4-5",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.235,0.319,0.321,0.64,9,0.89,-0.068,1.08,-0.05%,-0.67,0.0,0.0,SS,,2023-05-10,108,117,718235
25,25,39,2023-05-12,LAA,@,CLE,"W,5-4",CG,4,4,0,2,1,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.247,0.326,0.341,0.667,9,1.86,0.075,1.92,0.05%,0.78,10.0,12.5,SS,,2023-05-12,108,114,718205
26,26,40,2023-05-13,LAA,@,CLE,"L,6-8",CG,4,4,1,1,0,0,1,2,0,0.0,0,0,0,0.0,0,0.0,0,0,0.247,0.323,0.371,0.694,9,0.74,0.043,0.79,0.03%,0.85,16.0,22.2,SS,,2023-05-13,108,114,718191
27,27,41,2023-05-14,LAA,@,CLE,"L,3-4",CG,3,3,1,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.324,0.38,0.704,9,0.62,0.014,0.65,0.01%,0.42,7.0,9.2,SS,,2023-05-14,108,114,718182
28,28,42,2023-05-15,LAA,@,BAL,"W,9-5",CG,5,4,0,0,0,0,0,1,0,0.0,0,0,0,1.0,0,0.0,0,0,0.24,0.308,0.365,0.673,9,0.87,-0.048,0.84,-0.03%,-1.41,2.0,3.5,SS,,2023-05-15,108,110,718171
29,29,43,2023-05-16,LAA,@,BAL,"L,3-7",CG,3,3,0,1,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.242,0.309,0.364,0.673,9,0.93,0.015,0.98,0.01%,0.12,5.0,6.5,SS,,2023-05-16,108,110,718154
