Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,128,2021-04-28,SDP,@,ARI,"W,12-3",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.00%,-0.23,0.0,0.0,PH 2B,,2021-04-28,135,109,634322,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,129,2021-05-01,SDP,,SFG,"W,6-2",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.9,-0.066,1.18,-0.05%,-0.92,0.0,0.0,C,,2021-05-01,135,137,634316,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,130,2021-05-03,SDP,,PIT,"W,2-0",CG,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.286,0.333,0.619,7,1.06,0.104,1.18,0.07%,0.98,0.0,0.0,C,,2021-05-03,135,134,634243,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,131,2021-05-04,SDP,,PIT,"L,1-2",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.273,0.3,0.573,7,1.51,0.026,1.73,0.02%,0.32,0.0,0.0,C,,2021-05-04,135,134,634313,2021,0.167,0.286,0.5,0.786,0.0,0.0,1.0,2.0,1.0,0.167,0.286,0.5,0.786,0.0,0.0,1.0,2.0,1.0,0.167,0.286,0.5,0.786,0.0,0.0,1.0,2.0,1.0
5,132,2021-05-07,SDP,@,SFG,"L,4-5",GS-6,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.357,0.273,0.63,7,0.96,0.03,1.34,0.03%,0.25,0.0,0.0,C,,2021-05-07,135,137,634240,2021,0.2,0.273,0.4,0.673,0.0,0.0,1.0,3.0,1.0,0.2,0.273,0.4,0.673,0.0,0.0,1.0,3.0,1.0,0.2,0.273,0.4,0.673,0.0,0.0,1.0,3.0,1.0
6,133,2021-05-08,SDP,@,SFG,"L,1-7",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.278,0.2,0.478,8,0.81,-0.059,1.12,-0.05%,-0.83,0.0,0.0,C,,2021-05-08,135,137,634178,2021,0.182,0.357,0.364,0.721,0.0,0.0,1.0,3.0,1.0,0.182,0.357,0.364,0.721,0.0,0.0,1.0,3.0,1.0,0.182,0.357,0.364,0.721,0.0,0.0,1.0,3.0,1.0
7,134,2021-05-09,SDP,@,SFG,"W,11-1",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.278,0.2,0.478,4,,,,,,0.0,0.0,2B,,2021-05-09,135,137,634185,2021,0.133,0.278,0.267,0.544,0.0,0.0,1.0,3.0,1.0,0.143,0.294,0.286,0.58,0.0,0.0,1.0,3.0,1.0,0.133,0.278,0.267,0.544,0.0,0.0,1.0,3.0,1.0
8,135,2021-05-11,SDP,@,COL,"W,8-1",CG,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.111,0.261,0.167,0.428,7,0.79,0.027,0.94,0.02%,-0.5,0.0,0.0,C,,2021-05-11,135,115,634149,2021,0.133,0.278,0.267,0.544,0.0,0.0,1.0,3.0,1.0,0.182,0.357,0.364,0.721,0.0,0.0,1.0,3.0,0.0,0.133,0.278,0.267,0.544,0.0,0.0,1.0,3.0,1.0
9,136,2021-05-12,SDP,@,COL,"W,5-3",5-GF(7),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.28,0.158,0.438,9,1.62,0.054,1.95,0.04%,0.23,0.0,0.0,PH 2B,1.0,2021-05-12,135,115,634208,2021,0.111,0.261,0.222,0.483,0.0,0.0,1.0,3.0,1.0,0.083,0.25,0.083,0.333,0.0,0.0,0.0,1.0,0.0,0.111,0.261,0.222,0.483,0.0,0.0,1.0,3.0,1.0
10,137,2021-05-12,SDP,@,COL,"L,2-3",CG(8),4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.31,0.217,0.528,5,3.3,-0.273,4.07,-0.20%,-0.99,0.0,0.0,C,2.0,2021-05-12,135,115,634155,2021,0.105,0.28,0.211,0.491,0.0,0.0,1.0,3.0,1.0,0.0,0.286,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.105,0.28,0.211,0.491,0.0,0.0,1.0,3.0,1.0
