Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,73 (72),2021-06-22,STL,@,DET,"L,2-8",CG,4,3,0,0,0,0,0,1,0,0.0,0,0,0,1.0,0,0.0,0,0,0.0,0.0,0.0,0.0,9,0.78,-0.079,0.77,-0.05%,-1.37,,,LF,,2021-06-22,138,116,633526
2,2,74,2021-06-23,STL,@,DET,"L,2-6",CG,3,3,1,1,0,1,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.167,0.143,0.5,0.643,9,0.71,0.031,0.59,0.02%,0.36,,,RF,,2021-06-23,138,116,633541
3,3,75,2021-06-24,STL,,PIT,"L,2-8",CG,4,4,0,1,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.2,0.182,0.4,0.582,7,0.67,0.071,0.49,0.03%,0.46,,,RF,,2021-06-24,138,134,633502
4,4,76,2021-06-25,STL,,PIT,"L,4-5",CG,5,4,1,2,0,0,0,1,1,0.0,1,0,0,0.0,0,0.0,0,0,0.286,0.313,0.429,0.741,7,1.16,0.082,0.74,0.03%,0.99,,,LF RF,,2021-06-25,138,134,633498
5,5,77,2021-06-26,STL,,PIT,"W,3-1",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.235,0.263,0.353,0.616,7,0.61,-0.046,0.34,-0.02%,-0.55,,,RF,,2021-06-26,138,134,633589
6,6,78,2021-06-27,STL,,PIT,"L,2-7",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.211,0.273,0.316,0.589,7,0.44,-0.019,0.27,-0.01%,-0.22,,,RF,,2021-06-27,138,134,633482
7,7,79,2021-06-28,STL,,ARI,"W,7-1",GS-7,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.182,0.24,0.273,0.513,7,1.71,-0.127,0.89,-0.04%,-1.11,,,RF,,2021-06-28,138,109,633490
8,8,80,2021-06-29,STL,,ARI,"W,3-2",8-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.174,0.231,0.261,0.492,9,0.28,-0.007,0.16,0.00%,-0.1,,,LF,,2021-06-29,138,109,633508
9,9,81,2021-06-30,STL,,ARI,"W,7-4",6-GF,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.16,0.214,0.24,0.454,9,0.09,-0.005,0.06,0.00%,-0.45,,,RF,,2021-06-30,138,109,633426
10,10,89 (7),2021-07-09,STL,@,CHC,"L,5-10",4-4,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.154,0.207,0.231,0.438,9,0.51,-0.013,0.32,-0.01%,-0.11,,,PH,,2021-07-09,138,112,633365
11,11,91 (1),2021-07-16,STL,,SFG,"L,2-7",8-9,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.154,0.233,0.231,0.464,9,0.31,0.014,0.19,0.01%,0.38,,,PH,,2021-07-16,138,137,633285
12,12,104 (12),2021-07-31,STL,,MIN,"L,1-8",3-4,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.154,0.258,0.231,0.489,9,0.24,0.008,0.15,0.00%,0.25,,,PH,,2021-07-31,138,142,633127
