Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2022-07-31,LAD,@,COL,"W,7-3",CG,4.0,4.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,1.75,2.5,9,1.04,0.187,0.32,0.03%,2.57,28.0,37.9,LF RF,,2022-07-31,119,115,662988,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2022-08-01,LAD,@,SFG,"W,8-2",CG,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.875,1.667,2.542,9,0.29,0.044,0.08,0.01%,1.24,16.0,21.4,LF,,2022-08-01,119,137,662070,2022,0.75,0.75,2.25,3.0,0.0,0.0,2.0,7.0,1.0,0.75,0.75,2.25,3.0,0.0,0.0,2.0,7.0,1.0,0.75,0.75,2.25,3.0,0.0,0.0,2.0,7.0,1.0,0.75,0.75,2.25,3.0,0.0,0.0,2.0,7.0,1.0,0.75,0.75,2.25,3.0,0.0,0.0,2.0,7.0,1.0
3,3,2022-08-03,LAD,@,SFG,"W,3-0",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.667,1.1,1.767,8,0.84,-0.076,0.19,-0.01%,-1.01,5.0,6.2,LF,,2022-08-03,119,137,662055,2022,0.833,0.875,2.167,3.042,0.0,0.0,3.0,10.0,1.0,0.833,0.875,2.167,3.042,0.0,0.0,3.0,10.0,1.0,0.833,0.875,2.167,3.042,0.0,0.0,3.0,10.0,1.0,0.833,0.875,2.167,3.042,0.0,0.0,3.0,10.0,1.0,0.833,0.875,2.167,3.042,0.0,0.0,3.0,10.0,1.0
4,4,2022-08-04,LAD,@,SFG,"W,5-3",CG,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.563,0.846,1.409,9,0.85,-0.036,0.14,0.00%,-0.57,4.0,6.2,DH,,2022-08-04,119,137,662114,2022,0.6,0.667,1.4,2.067,0.0,0.0,3.0,11.0,4.0,0.6,0.667,1.4,2.067,0.0,0.0,3.0,11.0,4.0,0.6,0.667,1.4,2.067,0.0,0.0,3.0,11.0,4.0,0.6,0.667,1.4,2.067,0.0,0.0,3.0,11.0,4.0,0.6,0.667,1.4,2.067,0.0,0.0,3.0,11.0,4.0
1,5,2023-03-30,LAD,,ARI,"W,8-2",CG,4.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.75,1.667,2.417,8,0.65,0.068,0.64,0.04%,2.39,25.0,34.6,CF,,2023-03-30,119,109,718770,2023,0.462,0.562,1.077,1.639,0.0,0.0,3.0,11.0,7.0,0.462,0.562,1.077,1.639,0.0,0.0,3.0,11.0,7.0,0.462,0.562,1.077,1.639,0.0,0.0,3.0,11.0,7.0,0.333,0.5,0.556,1.056,0.0,0.0,1.0,4.0,6.0,,,,,0.0,0.0,0.0,0.0,0.0
2,6,2023-03-31,LAD,,ARI,"L,1-2",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,0.833,1.333,8,2.07,-0.102,2.14,-0.06%,-1.0,2.0,3.0,CF,,2023-03-31,119,109,718765,2023,0.5,0.6,1.25,1.85,0.0,0.0,4.0,16.0,8.0,0.5,0.6,1.25,1.85,0.0,0.0,4.0,16.0,8.0,0.5,0.6,1.25,1.85,0.0,0.0,4.0,16.0,8.0,0.3,0.417,0.7,1.117,0.0,0.0,1.0,6.0,7.0,0.667,0.75,2.0,2.75,0.0,0.0,1.0,5.0,1.0
3,7,2023-04-01,LAD,,ARI,"W,10-1",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,0.833,1.333,4,,,,,,0.0,0.0,CF,,2023-04-01,119,109,718749,2023,0.421,0.542,1.053,1.594,0.0,0.0,4.0,16.0,10.0,0.421,0.542,1.053,1.594,0.0,0.0,4.0,16.0,10.0,0.333,0.5,0.733,1.233,0.0,0.0,2.0,9.0,9.0,0.222,0.417,0.667,1.083,0.0,0.0,1.0,5.0,6.0,0.333,0.5,1.0,1.5,0.0,0.0,1.0,5.0,3.0
4,8,2023-04-02,LAD,,ARI,"L,1-2",GS-9,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.286,0.545,0.714,1.26,7,1.08,0.089,1.14,0.06%,0.57,9.0,12.0,CF,,2023-04-02,119,109,718736,2023,0.421,0.542,1.053,1.594,0.0,0.0,4.0,16.0,10.0,0.421,0.542,1.053,1.594,0.0,0.0,4.0,16.0,10.0,0.231,0.375,0.538,0.913,0.0,0.0,1.0,6.0,9.0,0.333,0.5,1.0,1.5,0.0,0.0,1.0,5.0,3.0,0.333,0.5,1.0,1.5,0.0,0.0,1.0,5.0,3.0
5,9,2023-04-03,LAD,,COL,"W,13-4",CG,5.0,5.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,0.917,1.417,6,0.75,0.212,0.75,0.13%,2.35,26.0,34.9,LF,,2023-04-03,119,115,718718,2023,0.4,0.556,1.0,1.556,1.0,0.0,4.0,16.0,10.0,0.4,0.556,1.0,1.556,1.0,0.0,4.0,16.0,10.0,0.2,0.467,0.6,1.067,1.0,0.0,1.0,5.0,6.0,0.0,0.429,0.0,0.429,1.0,0.0,0.0,0.0,2.0,0.286,0.545,0.857,1.403,1.0,0.0,1.0,5.0,3.0
6,10,2023-04-04,LAD,,COL,"W,5-2",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.474,0.786,1.259,7,0.25,-0.012,0.27,-0.01%,0.11,2.0,3.0,LF CF,,2023-04-04,119,115,718703,2023,0.4,0.531,1.12,1.651,1.0,0.0,6.0,22.0,12.0,0.4,0.531,1.12,1.651,1.0,0.0,6.0,22.0,12.0,0.333,0.5,1.167,1.667,1.0,0.0,3.0,11.0,5.0,0.333,0.5,1.333,1.833,1.0,0.0,2.0,6.0,2.0,0.333,0.5,1.167,1.667,1.0,0.0,3.0,11.0,5.0
