Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,9 (8),2021-04-11,STL,,MIL,"L,3-9",2-6,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.74,-0.016,.88,-0.01%,-0.18,,,P,,2021-04-11,138,158,632196
2,2,24 (14),2021-04-28,STL,,PHI,"L,3-5",GS-6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.79,-0.043,.81,-0.03%,-0.59,,,P,,2021-04-28,138,143,634314
3,3,31 (6),2021-05-05,STL,,NYM,"L,2-7",GS-4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,9,1.09,-0.031,1.38,-0.02%,-0.31,,,P,2.0,2021-05-05,138,121,634239
4,4,39 (7),2021-05-14,STL,@,SDP,"L,4-5",GS-3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.167,.167,.333,9,1.04,-0.026,1.37,-0.02%,-0.22,,,P,,2021-05-14,138,135,634132
5,5,51 (11),2021-05-28,STL,@,ARI,"W,8-6",GS-5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,9,.66,0.017,.88,0.01%,0.23,,,P,,2021-05-28,138,109,633987
6,6,59 (7),2021-06-05,STL,,CIN,"L,2-5",GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.111,.111,.222,9,.99,-0.025,1.34,-0.02%,-0.23,,,P,,2021-06-05,138,113,633797
7,7,63 (3),2021-06-11,STL,@,CHC,"L,5-8",GS-5,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.111,.273,.111,.384,9,.91,0.071,1.20,0.06%,0.77,,,P,,2021-06-11,138,112,633742
8,8,68 (4),2021-06-16,STL,,MIA,"W,1-0",GS-8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.308,.182,.490,9,.64,0.013,.60,0.01%,0.15,,,P,,2021-06-16,138,146,633709
9,9,78 (9),2021-06-27,STL,,PIT,"L,2-7",GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.286,.167,.452,9,.37,-0.009,.22,0.00%,-0.10,,,P,,2021-06-27,138,134,633482
10,10,83 (4),2021-07-02,STL,@,COL,"W,9-3",GS-7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.143,.250,.143,.393,9,.71,-0.039,.42,-0.01%,-0.45,,,P,,2021-07-02,138,115,633415
11,11,88 (4),2021-07-07,STL,@,SFG,"L,2-5",GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.133,.235,.133,.369,9,1.03,-0.027,.71,-0.01%,-0.24,,,P,,2021-07-07,138,137,633347
12,12,95 (6),2021-07-20,STL,,CHC,"L,6-7",GS-6,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.176,.263,.176,.440,9,1.37,0.034,.96,0.01%,0.63,,,P,,2021-07-20,138,112,633230
13,13,100 (4),2021-07-25,STL,@,CIN,"W,10-6",GS-5,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.150,.227,.150,.377,9,.60,-0.059,.39,-0.02%,-1.19,,,P,,2021-07-25,138,113,633177
