Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,664.0,2021-04-01,COL,,LAD,"W,8-5",CG,4.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.667,2.667,7.0,0.83,0.305,0.85,0.19%,3.08,0.0,0.0,2B,,2021-04-01,115,119,634615,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,665.0,2021-04-02,COL,,LAD,"L,6-11",GS-6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.667,1.0,1.667,7.0,0.44,-0.026,0.47,-0.02%,-0.65,0.0,0.0,CF,,2021-04-02,115,119,634653,2021,1.0,1.0,2.0,3.0,2.0,0.0,1.0,5.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,5.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,5.0,0.0
3.0,666.0,2021-04-03,COL,,LAD,"L,5-6",8-GF,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.5,0.714,1.214,1.0,2.78,-0.158,2.87,-0.10%,-0.53,0.0,0.0,LF,,2021-04-03,115,119,634633,2021,0.6,0.667,1.2,1.867,2.0,0.0,1.0,5.0,2.0,0.6,0.667,1.2,1.867,2.0,0.0,1.0,5.0,2.0,0.6,0.667,1.2,1.867,2.0,0.0,1.0,5.0,2.0
4.0,667.0,2021-04-04,COL,,LAD,"L,2-4",CG,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.7,1.2,1.0,0.63,-0.008,0.68,-0.01%,-0.08,0.0,0.0,2B,,2021-04-04,115,119,634557,2021,0.429,0.5,0.857,1.357,2.0,0.0,1.0,5.0,2.0,0.429,0.5,0.857,1.357,2.0,0.0,1.0,5.0,2.0,0.429,0.5,0.857,1.357,2.0,0.0,1.0,5.0,2.0
5.0,668.0,2021-04-06,COL,,ARI,"L,8-10",8-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.364,0.462,0.636,1.098,9.0,2.52,0.095,2.26,0.05%,0.4,0.0,0.0,PH,,2021-04-06,115,109,634619,2021,0.4,0.5,0.9,1.4,2.0,0.0,2.0,7.0,2.0,0.4,0.5,0.9,1.4,2.0,0.0,2.0,7.0,2.0,0.4,0.5,0.9,1.4,2.0,0.0,2.0,7.0,2.0
6.0,669.0,2021-04-07,COL,,ARI,"W,8-0",GS-6,3.0,3.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.563,1.0,1.563,2.0,0.67,0.154,0.56,0.08%,2.43,0.0,0.0,RF,,2021-04-07,115,109,634542,2021,0.364,0.462,0.818,1.28,2.0,0.0,2.0,7.0,2.0,0.364,0.462,0.818,1.28,2.0,0.0,2.0,7.0,2.0,0.364,0.462,0.818,1.28,2.0,0.0,2.0,7.0,2.0
7.0,670.0,2021-04-09,COL,@,SFG,"L,1-3",9-GF,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.588,1.133,1.722,9.0,0.75,0.048,0.75,0.03%,0.92,0.0,0.0,PH,,2021-04-09,115,137,634494,2021,0.5,0.562,1.357,1.92,2.0,0.0,5.0,14.0,2.0,0.364,0.417,1.182,1.598,0.0,0.0,4.0,9.0,2.0,0.5,0.562,1.357,1.92,2.0,0.0,5.0,14.0,2.0
8.0,671.0,2021-06-23,COL,@,SEA,"W,5-2",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421,0.476,0.895,1.371,7.0,0.45,-0.067,0.03,0.00%,-1.38,0.0,0.0,DH,,2021-06-23,115,136,633614,2021,0.533,0.588,1.533,2.122,2.0,0.0,6.0,17.0,2.0,0.5,0.545,1.7,2.245,0.0,0.0,5.0,12.0,0.0,0.533,0.588,1.533,2.122,2.0,0.0,6.0,17.0,2.0
9.0,672.0,2021-06-25,COL,@,MIL,"L,4-5",9-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.455,0.85,1.305,9.0,0.16,-0.004,0.01,0.00%,-0.11,0.0,0.0,PH,,2021-06-25,115,158,633599,2021,0.421,0.476,1.211,1.687,2.0,0.0,6.0,17.0,5.0,0.417,0.462,1.417,1.878,0.0,0.0,5.0,12.0,3.0,0.421,0.476,1.211,1.687,2.0,0.0,6.0,17.0,5.0
10.0,673.0,2021-06-27,COL,@,MIL,"L,0-5",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.44,0.773,1.213,7.0,0.74,-0.014,0.02,0.00%,-0.14,0.0,0.0,3B RF,,2021-06-27,115,158,633486,2021,0.4,0.455,1.15,1.605,2.0,0.0,6.0,17.0,6.0,0.4,0.4,1.4,1.8,0.0,0.0,4.0,10.0,4.0,0.4,0.455,1.15,1.605,2.0,0.0,6.0,17.0,6.0
