Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,20 (19),2024-04-16,LAD,,WSN,"W,6-2",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,7,0.52,-0.017,0.58,-0.01%,-0.49,5.0,6.2,CF RF,,2024-04-16,119,120,746157
2,2,21,2024-04-17,LAD,,WSN,"L,0-2",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,8,1.32,-0.107,1.45,-0.07%,-0.83,0.0,0.0,RF,,2024-04-17,119,120,746159
3,3,22,2024-04-19,LAD,,NYM,"L,4-9",CG,4,3,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.2,0.273,0.3,0.573,7,1.43,0.075,1.62,0.05%,0.43,9.0,12.2,CF RF,,2024-04-19,119,121,746160
4,4,23,2024-04-20,LAD,,NYM,"L,4-6",CG,5,4,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.143,0.25,0.214,0.464,7,1.72,-0.23,1.83,-0.15%,-1.52,4.0,6.2,RF,,2024-04-20,119,121,746156
5,5,24,2024-04-21,LAD,,NYM,"W,10-0",CG,4,4,2,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0.222,0.3,0.5,0.8,8,0.38,0.028,0.39,0.02%,2.73,25.0,34.9,RF,,2024-04-21,119,121,746154
6,6,25,2024-04-23,LAD,@,WSN,"W,4-1",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.182,0.25,0.409,0.659,8,1.62,-0.198,1.71,-0.13%,-1.64,0.0,0.0,CF RF,,2024-04-23,119,120,744863
7,7,26,2024-04-24,LAD,@,WSN,"W,11-2",CG,5,5,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.259,0.31,0.593,0.903,9,0.45,0.071,0.49,0.05%,1.54,26.0,34.1,RF,,2024-04-24,119,120,744864
8,8,27,2024-04-25,LAD,@,WSN,"W,2-1",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.258,0.303,0.548,0.851,6,1.11,0.006,1.23,0.00%,0.12,3.0,3.0,CF,,2024-04-25,119,120,744867
9,9,28,2024-04-26,LAD,@,TOR,"W,12-2",CG,5,4,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.286,0.316,0.543,0.859,8,0.21,0.016,0.24,0.01%,0.04,10.0,12.7,RF,,2024-04-26,119,141,744949
10,10,29,2024-04-27,LAD,@,TOR,"W,4-2",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.31,0.513,0.822,7,0.57,0.024,0.64,0.02%,-0.02,5.0,6.2,CF,,2024-04-27,119,141,744946
11,11,30,2024-04-28,LAD,@,TOR,"L,1-3",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.302,0.326,0.535,0.861,6,1.09,-0.053,1.26,-0.04%,-0.53,8.0,9.0,RF,,2024-04-28,119,141,744947
12,12,31,2024-04-29,LAD,@,ARI,"W,8-4",CG,5,4,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0.298,0.314,0.532,0.846,8,0.89,0.059,1.13,0.05%,1.25,11.0,16.5,CF,,2024-04-29,119,109,747211
13,13,32,2024-04-30,LAD,@,ARI,"L,3-4",CG(10),4,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.327,0.52,0.847,8,1.88,0.157,2.4,0.12%,1.0,7.0,9.2,CF,,2024-04-30,119,109,747210
14,14,33,2024-05-01,LAD,@,ARI,"W,8-0",CG,5,5,1,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0.291,0.317,0.545,0.862,6,0.36,0.161,0.46,0.12%,0.21,16.0,22.2,CF,,2024-05-01,119,109,747207
15,15,34,2024-05-03,LAD,,ATL,"W,4-3",CG(11),5,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.354,0.567,0.921,7,1.98,0.258,2.49,0.20%,1.47,14.0,15.5,RF CF,,2024-05-03,119,144,746152
16,16,35,2024-05-04,LAD,,ATL,"W,11-2",CG,5,5,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0.338,0.357,0.6,0.957,7,0.35,0.049,0.46,0.04%,0.33,19.0,24.9,RF,,2024-05-04,119,144,746155
17,17,36,2024-05-05,LAD,,ATL,"W,5-1",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.319,0.338,0.565,0.903,6,0.29,-0.03,0.37,-0.02%,-0.82,0.0,0.0,CF,,2024-05-05,119,144,746153
18,18,37,2024-05-06,LAD,,MIA,"W,6-3",CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.319,0.346,0.556,0.902,7,0.36,-0.023,0.44,-0.02%,-0.54,5.0,6.0,RF,,2024-05-06,119,146,746149
19,19,38,2024-05-07,LAD,,MIA,"W,8-2",CG,4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.307,0.329,0.533,0.863,7,0.28,-0.005,0.34,0.00%,-0.57,2.0,3.5,RF,,2024-05-07,119,146,746147
20,20,39,2024-05-08,LAD,,MIA,"W,3-1",CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.308,0.329,0.526,0.855,7,0.7,0.022,0.83,0.02%,0.04,3.0,3.0,CF,,2024-05-08,119,146,746151
21,21,40,2024-05-10,LAD,@,SDP,"L,1-2",CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.3,0.337,0.513,0.85,7,1.1,0.012,1.44,0.01%,0.2,4.0,6.0,RF,,2024-05-10,119,135,745421
22,22,41,2024-05-11,LAD,@,SDP,"W,5-0",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0.298,0.333,0.5,0.833,7,0.3,-0.034,0.41,-0.03%,-0.22,8.0,9.0,RF,,2024-05-11,119,135,745422
23,23,42,2024-05-12,LAD,@,SDP,"L,0-4",CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.287,0.33,0.483,0.813,6,0.26,-0.007,0.35,-0.01%,-0.31,2.0,3.0,CF,,2024-05-12,119,135,745419
24,24,43,2024-05-13,LAD,@,SFG,"W,6-4",CG(10),4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.286,0.327,0.484,0.81,8,1.54,-0.082,1.97,-0.06%,-0.43,7.0,9.2,RF CF,,2024-05-13,119,137,745343
25,25,44,2024-05-14,LAD,@,SFG,"W,10-2",CG,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.271,0.311,0.458,0.77,7,0.29,-0.052,0.37,-0.04%,-1.46,0.0,0.0,RF,,2024-05-14,119,137,745342
26,26,45,2024-05-15,LAD,@,SFG,"L,1-4",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.26,0.3,0.44,0.74,8,0.7,-0.072,0.85,-0.05%,-0.75,0.0,0.0,RF,,2024-05-15,119,137,745341
27,27,46,2024-05-16,LAD,,CIN,"L,2-7",9-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.306,0.446,0.752,2,0.09,0.005,0.1,0.00%,0.62,5.0,6.2,PH,,2024-05-16,119,113,746150
28,28,47,2024-05-17,LAD,,CIN,"W,7-3",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.304,0.438,0.742,7,0.84,-0.072,1.0,-0.05%,-0.53,5.0,6.2,CF,,2024-05-17,119,113,746148
29,29,48,2024-05-18,LAD,,CIN,"W,4-0",CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.266,0.303,0.431,0.734,5,0.82,0.132,0.97,0.10%,0.83,5.0,6.5,CF,,2024-05-18,119,113,746142
30,30,49,2024-05-19,LAD,,CIN,"W,3-2",CG(10),4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.265,0.301,0.451,0.752,5,1.46,0.09,1.66,0.06%,0.93,16.0,22.2,CF,,2024-05-19,119,113,746144
31,31,50,2024-05-20,LAD,,ARI,"W,6-4",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.256,0.291,0.436,0.727,6,0.53,-0.077,0.66,-0.06%,-2.28,0.0,0.0,CF,,2024-05-20,119,109,746146
32,32,51,2024-05-21,LAD,,ARI,"L,3-7",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.248,0.282,0.421,0.704,7,0.69,-0.08,0.79,-0.06%,-1.03,0.0,0.0,CF,,2024-05-21,119,109,746145
33,33,52,2024-05-22,LAD,,ARI,"L,0-6",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.24,0.274,0.408,0.682,7,1.28,-0.239,1.57,-0.18%,-2.62,0.0,0.0,CF,,2024-05-22,119,109,746143
34,34,53,2024-05-24,LAD,@,CIN,"L,6-9",CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.238,0.271,0.4,0.671,8,0.86,-0.01,1.0,-0.01%,-0.37,5.0,6.2,CF,,2024-05-24,119,113,746713
35,35,55 (1),2024-05-26,LAD,@,CIN,"L,1-4",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.231,0.264,0.388,0.652,5,0.74,-0.023,0.93,-0.02%,-0.71,0.0,0.0,CF,,2024-05-26,119,113,746711
36,36,56,2024-05-28,LAD,@,NYM,"W,5-2",CG(10),4,4,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.225,0.257,0.377,0.634,9,2.43,-0.342,3.05,-0.26%,-1.84,4.0,6.4,CF,1.0,2024-05-28,119,121,745818
37,37,57,2024-05-28,LAD,@,NYM,"W,3-0",CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.232,0.263,0.387,0.65,6,0.51,0.048,0.64,0.04%,0.48,10.0,12.2,CF,2.0,2024-05-28,119,121,745816
38,38,58,2024-05-29 00:00:00,LAD,@,NYM,"W,10-3",GS-8,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.234,0.265,0.386,0.651,6,1.23,-0.009,1.52,-0.01%,-0.12,5.0,6.5,CF,,2024-05-29,119,121,745817
