Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,10 (9),2024-04-07,STL,,MIA,"L,3-10",8-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,2,0.01,0.0,0.01,0.00%,-0.24,0.0,0.0,PH 1B,,2024-04-07,138,146,745198
2,2,24 (13),2024-04-23,STL,,ARI,"L,1-14",6-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.00%,-0.25,0.0,0.0,C,,2024-04-23,138,109,745193
3,3,25,2024-04-24,STL,,ARI,"W,5-1",8-GF,1,0,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.333,0.0,0.333,5,0.51,0.015,0.36,0.01%,0.67,2.0,3.0,C,,2024-04-24,138,109,745188
4,4,28 (2),2024-04-28,STL,@,NYM,"L,2-4",9-GF(11),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.0,0.333,0.0,0.333,5,,,,,,0.0,0.0,C,,2024-04-28,138,121,745834
5,5,29,2024-04-30,STL,@,DET,"W,2-1",8-GF,1,0,0,0,0,0,0,1,0,0.0,0,0,0,1.0,0,0.0,0,0,0.0,0.25,0.0,0.25,7,5.11,0.129,3.9,0.06%,0.03,2.0,3.5,C,1.0,2024-04-30,138,116,746477
6,6,37 (7),2024-05-09,STL,@,MIL,"L,1-7",CG,4,3,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.0,0.25,0.0,0.25,8,0.43,0.0,0.29,0.00%,-0.33,2.0,3.0,C,,2024-05-09,138,158,745995
7,7,42 (4),2024-05-14,STL,@,LAA,"W,7-6",CG,4,3,0,1,1,0,0,3,1,0.0,0,0,0,0.0,0,0.0,0,0,0.125,0.333,0.25,0.583,8,1.45,0.141,0.79,0.05%,2.33,13.0,19.5,C,,2024-05-14,138,108,746235
8,8,46 (3),2024-05-19,STL,,BOS,"L,3-11",CG,3,3,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.091,0.267,0.182,0.448,8,0.43,-0.036,0.27,-0.01%,-1.03,0.0,0.0,C,,2024-05-19,138,111,745179
9,9,49 (2),2024-05-22,STL,,BAL,"W,5-4",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.067,0.211,0.133,0.344,8,0.69,-0.074,0.46,-0.03%,-0.89,0.0,0.0,C,,2024-05-22,138,110,745180
10,10,52 (2),2024-05-27,STL,@,CIN,"L,1-3",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.056,0.182,0.111,0.293,8,0.89,-0.07,0.83,-0.04%,-0.62,0.0,0.0,C,,2024-05-27,138,113,746708
11,11,60 (7),2024-06-05 00:00:00,STL,@,HOU,"W,4-2",CG,3,2,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.05,0.2,0.1,0.3,8,0.88,-0.003,0.7,0.00%,-0.14,4.0,6.2,C,,2024-06-05,138,117,746379
12,12,64 (3),2024-06-09 00:00:00,STL,,COL,"W,5-1",CG,4,2,2,1,0,0,0,1,1,0.0,1,0,0,1.0,0,0.0,0,0,0.091,0.241,0.136,0.378,8,0.62,0.052,0.44,0.02%,0.7,11.0,15.9,C,,2024-06-09,138,115,745167
13,13,65,2024-06-11 00:00:00,STL,,PIT,"L,1-2",GS-9,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.08,0.219,0.12,0.339,8,1.51,-0.166,1.3,-0.09%,-1.2,0.0,0.0,C,,2024-06-11,138,134,745170
14,14,66,2024-06-12 00:00:00,STL,,PIT,"W,4-2",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.08,0.219,0.12,0.339,6,,,,,,0.0,0.0,C,,2024-06-12,138,134,745171
15,15,67,2024-06-13 00:00:00,STL,,PIT,"W,4-3",CG,3,3,0,1,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.107,0.229,0.143,0.371,8,1.12,0.01,0.97,0.01%,0.27,5.0,6.5,C,,2024-06-13,138,134,745168
16,16,68,2024-06-14 00:00:00,STL,@,CHC,"W,3-0",CG,4,4,1,1,0,0,1,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.125,0.231,0.25,0.481,9,1.09,0.183,1.0,0.10%,0.29,14.0,18.7,C,,2024-06-14,138,112,746869
17,17,69,2024-06-15 00:00:00,STL,@,CHC,"L,1-5",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.114,0.214,0.229,0.443,9,0.89,-0.068,0.87,-0.04%,-0.64,0.0,0.0,C,,2024-06-15,138,112,746865
18,18,70,2024-06-16 00:00:00,STL,@,CHC,"W,2-1",CG,4,3,1,1,0,0,1,2,1,0.0,1,0,0,0.0,0,0.0,0,0,0.132,0.239,0.316,0.555,8,1.04,0.132,0.96,0.07%,1.23,18.0,25.2,C,,2024-06-16,138,112,746866
19,19,71,2024-06-17 00:00:00,STL,@,MIA,"W,7-6",CG(12),5,5,1,0,0,0,0,0,0,0.0,2,0,0,0.0,0,1.0,0,0,0.116,0.216,0.279,0.495,8,1.04,-0.179,0.94,-0.10%,-1.64,2.0,3.2,C,,2024-06-17,138,146,746055
20,20,72,2024-06-18 00:00:00,STL,@,MIA,"L,8-9",10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.116,0.216,0.279,0.495,5,,,,,,0.0,0.0,C,,2024-06-18,138,146,746049
21,21,73,2024-06-19 00:00:00,STL,@,MIA,"L,3-4",CG,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.128,0.218,0.277,0.495,8,1.8,-0.07,1.64,-0.04%,-1.03,3.0,3.0,C,,2024-06-19,138,146,746050
22,22,74,2024-06-20 00:00:00,STL,,SFG,"W,6-5",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.12,0.207,0.26,0.467,8,0.63,-0.046,0.56,-0.02%,-0.68,0.0,0.0,C,,2024-06-20,138,137,745164
23,23,75,2024-06-22 00:00:00,STL,,SFG,"W,9-4",CG,4,4,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.13,0.21,0.259,0.469,8,1.06,-0.15,0.99,-0.09%,-1.31,5.0,6.2,C,,2024-06-22,138,137,745163
24,24,76,2024-06-23 00:00:00,STL,,SFG,"W,5-3",CG,4,4,1,2,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,1,0,0.155,0.227,0.276,0.503,9,0.39,0.017,0.37,0.01%,-0.03,13.0,15.2,C,,2024-06-23,138,137,745165
25,25,79 (2),2024-06-26 00:00:00,STL,,ATL,"W,4-1",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.148,0.217,0.262,0.48,8,0.68,-0.06,0.69,-0.04%,-1.02,0.0,0.0,C,2.0,2024-06-26,138,144,745158
26,26,80,2024-06-27 00:00:00,STL,,CIN,"L,4-11",CG,4,3,0,1,0,1,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.156,0.233,0.297,0.53,9,0.4,-0.022,0.4,-0.01%,0.52,10.0,12.0,C,,2024-06-27,138,113,745162
27,27,83 (2),2024-06-30 00:00:00,STL,,CIN,"W,2-0",CG,4,4,1,3,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.191,0.26,0.324,0.583,8,1.02,0.111,1.06,0.07%,1.04,11.0,12.2,C,,2024-06-30,138,113,745154
28,28,86 (2),2024-07-04 00:00:00,STL,@,PIT,"W,3-2",CG(10),4,4,1,1,1,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.194,0.259,0.333,0.593,9,2.23,0.113,2.32,0.07%,0.24,9.0,12.7,C,,2024-07-04,138,134,745484
29,29,87,2024-07-05 00:00:00,STL,@,WSN,"W,7-6",CG(11),5,4,0,1,0,0,0,1,0,0.0,0,0,1,0.0,0,0.0,0,0,0.197,0.259,0.329,0.588,8,1.59,-0.057,1.75,-0.04%,0.17,5.0,6.5,C,,2024-07-05,138,120,744836
30,30,89 (1),2024-07-07 00:00:00,STL,@,WSN,"W,8-3",CG,4,4,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.2,0.258,0.325,0.583,9,0.44,-0.044,0.49,-0.03%,-0.35,3.0,3.0,C,,2024-07-07,138,120,744832
31,31,91 (1),2024-07-10 00:00:00,STL,,KCR,"L,4-6",CG,3,2,1,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.207,0.272,0.329,0.601,9,0.78,0.042,0.89,0.03%,0.49,7.0,9.2,C,1.0,2024-07-10,138,118,745155
