Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,35,2021-06-08,DET,,SEA,"W,5-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.42,-0.043,0.11,-0.01%,-1.48,0.0,0.0,3B,,2021-06-08,116,136,633822,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,36,2021-06-09,DET,,SEA,"L,6-9",CG(11),4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.125,0.375,0.5,6,2.38,0.177,0.63,0.03%,-0.3,0.0,0.0,3B,,2021-06-09,116,136,633759,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,37,2021-06-10,DET,,SEA,"W,8-3",CG,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.231,0.333,0.564,5,0.54,0.091,0.12,0.01%,0.32,0.0,0.0,3B,,2021-06-10,116,136,633754,2021,0.125,0.125,0.5,0.625,0.0,0.0,1.0,3.0,1.0,0.125,0.125,0.5,0.625,0.0,0.0,1.0,3.0,1.0,0.125,0.125,0.5,0.625,0.0,0.0,1.0,3.0,1.0
4,38,2021-06-11,DET,,CHW,"L,4-5",CG(10),4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.235,0.5,0.735,7,1.2,0.04,0.36,0.01%,0.51,0.0,0.0,SS,,2021-06-11,116,145,633789,2021,0.167,0.231,0.417,0.647,0.0,0.0,1.0,4.0,2.0,0.167,0.231,0.417,0.647,0.0,0.0,1.0,4.0,2.0,0.167,0.231,0.417,0.647,0.0,0.0,1.0,4.0,2.0
5,39,2021-06-12,DET,,CHW,"L,2-15",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.158,0.238,0.421,0.659,6,0.2,-0.02,0.05,0.00%,-1.28,0.0,0.0,SS,,2021-06-12,116,145,633721,2021,0.188,0.235,0.625,0.86,0.0,0.0,2.0,8.0,2.0,0.188,0.235,0.625,0.86,0.0,0.0,2.0,8.0,2.0,0.188,0.235,0.625,0.86,0.0,0.0,2.0,8.0,2.0
6,40,2021-06-13,DET,,CHW,"L,1-4",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.25,0.381,0.631,6,0.56,-0.019,0.1,0.00%,-0.14,0.0,0.0,3B,,2021-06-13,116,145,633688,2021,0.158,0.238,0.526,0.764,0.0,0.0,2.0,8.0,4.0,0.158,0.238,0.526,0.764,0.0,0.0,2.0,8.0,4.0,0.158,0.238,0.526,0.764,0.0,0.0,2.0,8.0,4.0
7,41,2021-06-20,DET,@,LAA,"W,5-3",CG(10),5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16,0.276,0.36,0.636,8,1.9,-0.224,0.21,-0.02%,-2.18,0.0,0.0,SS,,2021-06-20,116,108,633563,2021,0.143,0.25,0.476,0.726,0.0,0.0,2.0,8.0,4.0,0.176,0.3,0.588,0.888,0.0,0.0,2.0,8.0,3.0,0.143,0.25,0.476,0.726,0.0,0.0,2.0,8.0,4.0
8,42,2021-06-22,DET,,STL,"W,8-2",5-GF,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.29,0.346,0.636,4,0.02,0.0,0.0,0.00%,0.23,0.0,0.0,2B,,2021-06-22,116,138,633526,2021,0.16,0.276,0.44,0.716,0.0,0.0,2.0,9.0,5.0,0.176,0.333,0.412,0.745,0.0,0.0,1.0,6.0,4.0,0.16,0.276,0.44,0.716,0.0,0.0,2.0,9.0,5.0
9,43,2021-06-23,DET,,STL,"W,6-2",CG,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.143,0.286,0.321,0.607,8,0.97,-0.01,0.14,0.00%,0.31,0.0,0.0,SS,,2021-06-23,116,138,633541,2021,0.154,0.29,0.423,0.713,0.0,0.0,2.0,9.0,5.0,0.143,0.333,0.429,0.762,0.0,0.0,1.0,5.0,3.0,0.154,0.29,0.423,0.713,0.0,0.0,2.0,9.0,5.0
10,44,2021-06-24,DET,,HOU,"L,3-12",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.286,0.321,0.607,5,,,,,,0.0,0.0,SS,,2021-06-24,116,117,633564,2021,0.143,0.286,0.393,0.679,0.0,0.0,2.0,9.0,5.0,0.083,0.333,0.083,0.417,0.0,0.0,0.0,1.0,3.0,0.143,0.286,0.393,0.679,0.0,0.0,2.0,9.0,5.0
11,45,2021-06-26,DET,,HOU,"W,3-1",CG(7),2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.172,0.297,0.345,0.642,7,1.87,0.078,0.28,0.01%,0.43,0.0,0.0,2B,1.0,2021-06-26,116,117,633530,2021,0.143,0.286,0.393,0.679,0.0,0.0,2.0,9.0,5.0,0.111,0.357,0.111,0.468,0.0,0.0,0.0,1.0,1.0,0.143,0.286,0.393,0.679,0.0,0.0,2.0,9.0,5.0
12,46,2021-07-17,DET,,MIN,"W,1-0",CG(7),3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.3,0.344,0.644,6,0.78,-0.02,0.08,0.00%,-0.33,0.0,0.0,2B,1.0,2021-07-17,116,142,634222,2021,0.172,0.297,0.414,0.711,0.0,0.0,2.0,10.0,5.0,0.25,0.385,0.25,0.635,0.0,0.0,0.0,2.0,1.0,0.172,0.297,0.414,0.711,0.0,0.0,2.0,10.0,5.0
13,47,2021-07-18,DET,,MIN,"W,7-0",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.295,0.333,0.629,6,0.44,-0.043,0.06,0.00%,-0.49,0.0,0.0,2B,,2021-07-18,116,142,633280,2021,0.188,0.3,0.406,0.706,0.0,0.0,2.0,11.0,5.0,0.286,0.364,0.286,0.649,0.0,0.0,0.0,2.0,0.0,0.188,0.3,0.406,0.706,0.0,0.0,2.0,11.0,5.0
14,48,2021-07-19,DET,,TEX,"W,14-0",GS-6,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.34,0.41,0.751,8,0.45,0.07,0.06,0.01%,1.5,0.0,0.0,3B,,2021-07-19,116,140,633329,2021,0.194,0.295,0.389,0.684,0.0,0.0,2.0,12.0,5.0,0.3,0.308,0.3,0.608,0.0,0.0,0.0,3.0,0.0,0.194,0.295,0.389,0.684,0.0,0.0,2.0,12.0,5.0
15,49,2021-09-20,DET,,CHW,"W,4-3",CG,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.34,0.39,0.73,8,0.86,-0.003,0.0,0.00%,0.12,0.0,0.0,3B,,2021-09-20,116,145,632423,2021,0.256,0.34,0.487,0.828,0.0,0.0,3.0,16.0,5.0,0.545,0.5,0.727,1.227,0.0,0.0,1.0,7.0,0.0,0.256,0.34,0.487,0.828,0.0,0.0,3.0,16.0,5.0
16,50,2021-09-21,DET,,CHW,"W,5-3",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.333,0.364,0.697,8,1.59,-0.111,0.0,0.00%,-0.8,0.0,0.0,2B,,2021-09-21,116,145,632405,2021,0.244,0.34,0.463,0.803,0.0,0.0,3.0,16.0,6.0,0.462,0.467,0.615,1.082,0.0,0.0,1.0,7.0,1.0,0.244,0.34,0.463,0.803,0.0,0.0,3.0,16.0,6.0
17,51,2021-09-25,DET,,KCR,"W,5-1",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.31,0.333,0.644,7,0.86,-0.092,0.0,0.00%,-1.64,0.0,0.0,2B,,2021-09-25,116,118,632347,2021,0.227,0.333,0.432,0.765,0.0,0.0,3.0,16.0,6.0,0.333,0.412,0.467,0.878,0.0,0.0,1.0,6.0,1.0,0.227,0.333,0.432,0.765,0.0,0.0,3.0,16.0,6.0
18,52,2021-09-26,DET,,KCR,"L,1-2",CG,4.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.339,0.373,0.711,6,1.81,0.357,0.0,0.00%,1.67,0.0,0.0,2B,,2021-09-26,116,118,632326,2021,0.208,0.31,0.396,0.706,0.0,0.0,3.0,16.0,6.0,0.25,0.333,0.375,0.708,0.0,0.0,1.0,5.0,1.0,0.208,0.31,0.396,0.706,0.0,0.0,3.0,16.0,6.0
19,53,2021-09-27,DET,,CHW,"L,7-8",CG,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.343,0.352,0.695,6,1.79,-0.1,0.0,0.00%,0.27,0.0,0.0,2B,,2021-09-27,116,145,632393,2021,0.235,0.339,0.451,0.79,0.0,0.0,4.0,19.0,6.0,0.333,0.444,0.6,1.044,0.0,0.0,2.0,7.0,1.0,0.235,0.339,0.451,0.79,0.0,0.0,4.0,19.0,6.0
