Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1467,2021-06-20,WSN,,NYM,"W,5-2",7-GF,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,9,0.36,0.032,0.33,0.02%,0.1,0.0,0.0,PH LF,,2021-06-20,120,121,633557,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,1468,2021-06-22,WSN,@,PHI,"W,3-2",6-6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.667,1.0,1.667,9,0.93,0.011,0.86,0.01%,0.23,0.0,0.0,PH,,2021-06-22,120,143,633549,2021,0.5,0.5,1.5,2.0,0.0,0.0,1.0,2.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,1.0,2.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,1.0,2.0,0.0
3,1469,2021-06-23,WSN,@,PHI,"W,13-12",5-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.5,0.667,1.167,9,2.21,-0.07,2.33,-0.04%,-0.66,0.0,0.0,PH,,2021-06-23,120,143,633546,2021,0.5,0.667,1.5,2.167,0.0,0.0,1.0,2.0,0.0,0.5,0.667,1.5,2.167,0.0,0.0,1.0,2.0,0.0,0.5,0.667,1.5,2.167,0.0,0.0,1.0,2.0,0.0
4,1470,2021-06-24,WSN,@,MIA,"W,7-3",8-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.5,0.9,9,0.01,0.0,0.01,0.00%,-0.16,0.0,0.0,PH LF,,2021-06-24,120,146,633548,2021,0.333,0.5,1.0,1.5,0.0,0.0,1.0,2.0,1.0,0.333,0.5,1.0,1.5,0.0,0.0,1.0,2.0,1.0,0.333,0.5,1.0,1.5,0.0,0.0,1.0,2.0,1.0
5,1471,2021-06-25,WSN,@,MIA,"L,2-11",7-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.333,0.4,0.733,9,0.2,-0.005,0.21,0.00%,-0.53,0.0,0.0,PH,,2021-06-25,120,146,633591,2021,0.25,0.4,0.75,1.15,0.0,0.0,1.0,2.0,1.0,0.25,0.4,0.75,1.15,0.0,0.0,1.0,2.0,1.0,0.25,0.4,0.75,1.15,0.0,0.0,1.0,2.0,1.0
6,1472,2021-06-26,WSN,@,MIA,"L,2-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.222,0.422,7,1.98,-0.21,2.04,-0.13%,-1.27,0.0,0.0,CF,,2021-06-26,120,146,633552,2021,0.2,0.333,0.6,0.933,0.0,0.0,1.0,2.0,1.0,0.2,0.333,0.6,0.933,0.0,0.0,1.0,2.0,1.0,0.2,0.333,0.6,0.933,0.0,0.0,1.0,2.0,1.0
7,1473,2021-06-27,WSN,@,MIA,"W,5-1",7-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.222,0.422,9,,,,,,0.0,0.0,PR CF,,2021-06-27,120,146,633489,2021,0.111,0.2,0.333,0.533,0.0,0.0,1.0,2.0,3.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,3.0,0.111,0.2,0.333,0.533,0.0,0.0,1.0,2.0,3.0
8,1474,2021-06-28,WSN,,NYM,"W,8-4",CG,4.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.357,0.667,1.024,7,0.35,0.093,0.49,0.08%,1.12,0.0,0.0,LF CF,,2021-06-28,120,121,634620,2021,0.111,0.2,0.333,0.533,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.111,0.2,0.333,0.533,0.0,0.0,1.0,2.0,3.0
9,1475,2021-06-29,WSN,,TBR,"W,4-3",7-8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.333,0.615,0.949,9,0.21,-0.005,0.22,0.00%,-0.1,0.0,0.0,PH,,2021-06-29,120,139,633443,2021,0.25,0.357,0.917,1.274,0.0,0.0,3.0,8.0,4.0,0.222,0.3,0.889,1.189,0.0,0.0,2.0,6.0,3.0,0.25,0.357,0.917,1.274,0.0,0.0,3.0,8.0,4.0
10,1476,2021-06-30,WSN,,TBR,"W,15-6",CG,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.3,0.5,0.8,7,0.46,-0.083,0.49,-0.05%,-1.63,0.0,0.0,CF RF,,2021-06-30,120,139,633427,2021,0.231,0.333,0.846,1.179,0.0,0.0,3.0,8.0,4.0,0.222,0.3,0.889,1.189,0.0,0.0,2.0,6.0,3.0,0.231,0.333,0.846,1.179,0.0,0.0,3.0,8.0,4.0
11,1477,2021-07-02,WSN,,LAD,"L,5-10",2-GF,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19,0.261,0.429,0.689,1,0.17,-0.011,0.2,-0.01%,0.52,0.0,0.0,PR LF,,2021-07-02,120,119,633404,2021,0.222,0.3,0.667,0.967,0.0,0.0,3.0,9.0,6.0,0.231,0.286,0.692,0.978,0.0,0.0,2.0,7.0,5.0,0.222,0.3,0.667,0.967,0.0,0.0,3.0,9.0,6.0
12,1478,2021-07-03,WSN,,LAD,"L,3-5",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.222,0.36,0.582,6,2.82,-0.278,2.92,-0.17%,-1.54,0.0,0.0,LF,,2021-07-03,120,119,633430,2021,0.19,0.261,0.571,0.832,0.0,0.0,3.0,9.0,7.0,0.25,0.308,0.75,1.058,0.0,0.0,2.0,7.0,4.0,0.19,0.261,0.571,0.832,0.0,0.0,3.0,9.0,7.0
13,1479,2021-07-04,WSN,,LAD,"L,1-5",7-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.214,0.346,0.56,9,2.66,-0.06,2.53,-0.03%,-0.35,0.0,0.0,CF,,2021-07-04,120,119,633398,2021,0.16,0.222,0.48,0.702,0.0,0.0,3.0,9.0,9.0,0.188,0.235,0.562,0.798,0.0,0.0,2.0,7.0,6.0,0.16,0.222,0.48,0.702,0.0,0.0,3.0,9.0,9.0
