Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,64 (63),2022-06-18,PIT,,SFG,"L,5-7",CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,8.0,1.78,0.043,0.29,0.00%,0.26,5.0,6.0,SS,,2022-06-18,134,137,661123
1,2,94 (93),2023-07-17,PIT,,CLE,"L,0-11",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.80,-0.062,.11,-0.01%,-0.82,0.00,0.00,SS,,2023-07-17,134,114,717371
2,3,95,2023-07-18,PIT,,CLE,"L,1-10",CG,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.14,-0.011,.01,0.00%,-0.66,0.00,0.00,SS,,2023-07-18,134,114,717364
3,4,98 (2),2023-07-22,PIT,@,LAA,"W,3-0",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.72,-0.078,.05,0.00%,-1.00,0.00,0.00,SS,,2023-07-22,134,108,717297
4,5,99,2023-07-23,PIT,@,LAA,"L,5-7",CG,4,4,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.071,.071,.143,.214,8,1.04,-0.068,.09,0.00%,1.13,9.00,12.70,SS,,2023-07-23,134,108,717278
5,6,100,2023-07-24,PIT,@,SDP,"W,8-4",CG,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.167,.167,.389,.556,9,.59,0.131,.04,0.01%,1.83,21.00,28.70,SS,,2023-07-24,134,135,717276
6,7,101,2023-07-25,PIT,@,SDP,"L,1-5",GS-7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.158,.200,.368,.568,8,1.48,0.017,.16,0.00%,0.03,2.00,3.00,SS,,2023-07-25,134,135,717258
7,8,103 (1),2023-07-28,PIT,,PHI,"L,1-2",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.158,.200,.368,.568,1,,,,,,0.00,0.00,SS,,2023-07-28,134,143,717234
8,9,104,2023-07-29,PIT,,PHI,"W,7-6",CG,4,4,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.261,.292,.565,.857,9,1.00,0.218,.05,0.01%,1.98,22.00,28.20,2B,,2023-07-29,134,143,717216
9,10,105,2023-07-30,PIT,,PHI,"W,6-4",GS-8,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.240,.296,.520,.816,7,1.70,-0.124,.12,-0.01%,-0.93,2.00,3.00,SS,,2023-07-30,134,143,717208
10,11,106,2023-08-01,PIT,,DET,"W,4-1",CG,3,3,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.250,.300,.607,.907,8,.66,0.136,.07,0.01%,1.26,16.00,22.20,2B,,2023-08-01,134,116,717178
11,12,107,2023-08-02,PIT,,DET,"L,3-6",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.300,.607,.907,7,,,,,,0.00,0.00,2B,,2023-08-02,134,116,717166
12,13,108,2023-08-03,PIT,@,MIL,"L,1-14",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.219,.265,.531,.796,8,.28,-0.029,.03,0.00%,-0.63,0.00,0.00,2B,,2023-08-03,134,158,717143
13,14,110 (1),2023-08-05,PIT,@,MIL,"L,2-3",CG(10),4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.222,.263,.500,.763,7,.84,-0.034,.11,0.00%,-0.43,10.00,12.20,2B,,2023-08-05,134,158,717116
14,15,111,2023-08-06,PIT,@,MIL,"W,4-1",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.205,.244,.462,.705,8,.92,-0.099,.08,-0.01%,-1.41,0.00,0.00,2B SS,,2023-08-06,134,158,717105
15,16,112,2023-08-07,PIT,,ATL,"W,7-6",CG,4,4,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.233,.267,.488,.755,8,.60,0.063,.07,0.00%,1.09,12.00,15.70,2B,,2023-08-07,134,144,717095
16,17,113,2023-08-08,PIT,,ATL,"L,6-8",CG,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.239,.271,.478,.749,7,.75,-0.039,.10,0.00%,-0.49,3.00,3.00,2B,,2023-08-08,134,144,717079
