Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,725.0,2021-04-01,ARI,@,SDP,"L,7-8",CG,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.44,-0.179,1.57,-0.12%,-1.45,0.0,0.0,LF,,2021-04-01,109,135,634618,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,726.0,2021-04-02,ARI,@,SDP,"L,2-4",7-GF,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.143,0.143,0.143,0.286,8.0,0.89,0.089,0.92,0.06%,0.63,0.0,0.0,PH LF,,2021-04-02,109,135,634576,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,727.0,2021-04-03,ARI,@,SDP,"L,0-7",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,0.37,-0.03,0.36,-0.02%,-0.54,0.0,0.0,LF,,2021-04-03,109,135,634623,2021,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,1.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,1.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,1.0
4.0,728.0,2021-04-04,ARI,@,SDP,"W,3-1",CG,4.0,4.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.214,0.214,0.357,0.571,4.0,1.07,0.22,1.01,0.12%,2.26,0.0,0.0,LF,,2021-04-04,109,135,634572,2021,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,3.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,3.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,3.0
5.0,729.0,2021-04-06,ARI,@,COL,"W,10-8",CG(13),6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,4.0,1.97,-0.081,1.83,-0.05%,-1.03,0.0,0.0,LF,,2021-04-06,109,115,634619,2021,0.214,0.214,0.429,0.643,0.0,0.0,1.0,5.0,3.0,0.214,0.214,0.429,0.643,0.0,0.0,1.0,5.0,3.0,0.214,0.214,0.429,0.643,0.0,0.0,1.0,5.0,3.0
6.0,730.0,2021-04-07,ARI,@,COL,"L,0-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.25,0.417,4.0,0.51,-0.068,0.5,-0.04%,-0.26,0.0,0.0,LF,,2021-04-07,109,115,634542,2021,0.2,0.2,0.35,0.55,0.0,0.0,1.0,6.0,5.0,0.2,0.2,0.35,0.55,0.0,0.0,1.0,6.0,5.0,0.2,0.2,0.35,0.55,0.0,0.0,1.0,6.0,5.0
7.0,731.0,2021-04-08,ARI,@,COL,"L,3-7",CG,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.179,0.321,0.5,4.0,0.38,-0.027,0.38,-0.02%,0.2,0.0,0.0,LF,,2021-04-08,109,115,634564,2021,0.167,0.167,0.292,0.458,0.0,0.0,1.0,6.0,6.0,0.211,0.211,0.368,0.579,0.0,0.0,1.0,6.0,5.0,0.167,0.167,0.292,0.458,0.0,0.0,1.0,6.0,6.0
8.0,732.0,2021-04-09,ARI,,CIN,"L,5-6",GS-7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.226,0.31,0.536,4.0,0.74,0.059,0.63,0.03%,0.43,0.0,0.0,LF,,2021-04-09,109,113,634540,2021,0.179,0.179,0.393,0.571,0.0,0.0,2.0,9.0,6.0,0.19,0.19,0.476,0.667,0.0,0.0,2.0,8.0,5.0,0.179,0.179,0.393,0.571,0.0,0.0,2.0,9.0,6.0
9.0,733.0,2021-04-10,ARI,,CIN,"W,8-3",CG,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.2,0.273,0.473,4.0,1.51,0.005,1.17,0.00%,-0.18,0.0,0.0,LF,,2021-04-10,109,113,634484,2021,0.172,0.226,0.379,0.605,0.0,0.0,2.0,9.0,6.0,0.211,0.286,0.526,0.812,0.0,0.0,2.0,8.0,3.0,0.172,0.226,0.379,0.605,0.0,0.0,2.0,9.0,6.0
10.0,734.0,2021-04-11,ARI,,CIN,"W,7-0",CG,5.0,4.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.25,0.405,0.655,4.0,0.51,0.188,0.4,0.09%,3.11,0.0,0.0,LF,,2021-04-11,109,113,632209,2021,0.152,0.2,0.333,0.533,0.0,0.0,2.0,9.0,7.0,0.105,0.19,0.263,0.454,0.0,0.0,1.0,4.0,4.0,0.152,0.2,0.333,0.533,0.0,0.0,2.0,9.0,7.0
11.0,735.0,2021-04-12,ARI,,OAK,"L,5-9",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.195,0.25,0.39,0.64,4.0,1.85,-0.067,1.45,-0.03%,-1.02,0.0,0.0,LF,,2021-04-12,109,133,632231,2021,0.189,0.25,0.514,0.764,0.0,0.0,4.0,15.0,7.0,0.176,0.3,0.706,1.006,0.0,0.0,3.0,9.0,2.0,0.189,0.25,0.514,0.764,0.0,0.0,4.0,15.0,7.0
12.0,736.0,2021-04-13,ARI,,OAK,"L,5-7",CG,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.25,0.364,0.614,6.0,1.1,-0.026,0.78,-0.01%,-0.1,0.0,0.0,LF,,2021-04-13,109,133,632206,2021,0.195,0.25,0.488,0.738,0.0,0.0,4.0,16.0,8.0,0.235,0.35,0.765,1.115,0.0,0.0,3.0,10.0,2.0,0.195,0.25,0.488,0.738,0.0,0.0,4.0,16.0,8.0
13.0,737.0,2021-04-16,ARI,@,WSN,"L,0-1",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.235,0.34,0.576,4.0,0.85,-0.07,0.65,-0.03%,-0.55,0.0,0.0,LF,,2021-04-16,109,120,634469,2021,0.182,0.25,0.455,0.705,0.0,0.0,4.0,16.0,9.0,0.188,0.35,0.562,0.912,0.0,0.0,2.0,7.0,3.0,0.182,0.25,0.455,0.705,0.0,0.0,4.0,16.0,9.0
14.0,738.0,2021-04-17,ARI,@,WSN,"L,2-6",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.236,0.333,0.57,4.0,0.87,-0.045,0.64,-0.02%,-0.5,0.0,0.0,LF,,2021-04-17,109,120,634507,2021,0.17,0.235,0.426,0.661,0.0,0.0,4.0,16.0,10.0,0.167,0.25,0.5,0.75,0.0,0.0,2.0,7.0,4.0,0.17,0.235,0.426,0.661,0.0,0.0,4.0,16.0,10.0
15.0,739.0,2021-04-18,ARI,@,WSN,"W,5-2",CG,5.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.267,0.364,0.63,4.0,0.63,0.022,0.42,0.01%,0.7,0.0,0.0,LF,,2021-04-18,109,120,634493,2021,0.176,0.236,0.412,0.648,0.0,0.0,4.0,17.0,10.0,0.222,0.3,0.556,0.856,0.0,0.0,2.0,8.0,3.0,0.176,0.236,0.412,0.648,0.0,0.0,4.0,17.0,10.0
16.0,740.0,2021-04-20,ARI,@,CIN,"W,5-4",GS-8,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.297,0.368,0.665,4.0,1.07,0.068,0.77,0.03%,1.2,0.0,0.0,LF,,2021-04-20,109,113,634408,2021,0.2,0.267,0.455,0.721,0.0,0.0,5.0,20.0,10.0,0.222,0.3,0.333,0.633,0.0,0.0,1.0,5.0,3.0,0.2,0.267,0.455,0.721,0.0,0.0,5.0,20.0,10.0
18.0,742.0,2021-04-22,ARI,@,CIN,"W,14-11",CG(10),6.0,6.0,2.0,5.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.269,0.347,0.478,0.824,4.0,2.17,0.582,1.79,0.29%,5.06,0.0,0.0,LF,,2021-04-22,109,113,634514,2021,0.211,0.297,0.456,0.753,0.0,0.0,5.0,21.0,11.0,0.25,0.4,0.375,0.775,0.0,0.0,1.0,5.0,3.0,0.211,0.297,0.456,0.753,0.0,0.0,5.0,21.0,11.0
19.0,743.0,2021-04-23,ARI,@,ATL,"L,4-5",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.342,0.465,0.807,4.0,1.41,-0.047,1.29,-0.03%,-0.28,0.0,0.0,LF,,2021-04-23,109,144,634415,2021,0.27,0.343,0.603,0.946,0.0,0.0,7.0,31.0,11.0,0.474,0.545,0.947,1.493,0.0,0.0,3.0,15.0,2.0,0.27,0.343,0.603,0.946,0.0,0.0,7.0,31.0,11.0
20.0,744.0,2021-04-25,ARI,@,ATL,"W,5-0",CG(7),4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.325,0.44,0.765,4.0,0.44,-0.047,0.37,-0.02%,-1.01,0.0,0.0,LF,1.0,2021-04-25,109,144,634404,2021,0.269,0.338,0.582,0.92,0.0,0.0,7.0,32.0,11.0,0.5,0.565,0.95,1.515,0.0,0.0,3.0,16.0,1.0,0.269,0.338,0.582,0.92,0.0,0.0,7.0,32.0,11.0
21.0,745.0,2021-04-25,ARI,@,ATL,"W,7-0",CG(7),4.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.322,0.468,0.79,6.0,0.33,0.132,0.29,0.07%,1.08,0.0,0.0,LF,2.0,2021-04-25,109,144,634380,2021,0.254,0.321,0.549,0.87,0.0,0.0,7.0,32.0,11.0,0.45,0.522,0.9,1.422,0.0,0.0,3.0,15.0,1.0,0.254,0.321,0.549,0.87,0.0,0.0,7.0,32.0,11.0
22.0,746.0,2021-04-27,ARI,,SDP,"W,5-1",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.319,0.458,0.777,4.0,0.76,0.012,0.77,0.01%,-0.42,0.0,0.0,LF,,2021-04-27,109,135,634364,2021,0.253,0.317,0.587,0.904,0.0,0.0,8.0,36.0,11.0,0.4,0.455,0.95,1.405,0.0,0.0,3.0,16.0,1.0,0.253,0.317,0.587,0.904,0.0,0.0,8.0,36.0,11.0
23.0,747.0,2021-04-28,ARI,,SDP,"L,3-12",CG,4.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.337,0.477,0.814,6.0,0.52,-0.01,0.58,-0.01%,0.38,0.0,0.0,LF,,2021-04-28,109,135,634322,2021,0.27,0.333,0.608,0.941,0.0,0.0,8.0,37.0,10.0,0.364,0.364,0.864,1.227,0.0,0.0,3.0,16.0,0.0,0.253,0.314,0.57,0.884,0.0,0.0,8.0,37.0,11.0
24.0,748.0,2021-04-29,ARI,,COL,"W,5-3",CG,5.0,5.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.286,0.35,0.505,0.855,4.0,0.73,0.128,0.73,0.08%,1.38,0.0,0.0,LF,,2021-04-29,109,115,634385,2021,0.28,0.349,0.64,0.989,0.0,0.0,9.0,39.0,11.0,0.263,0.3,0.579,0.879,0.0,0.0,2.0,9.0,1.0,0.268,0.333,0.598,0.931,0.0,0.0,9.0,40.0,12.0
