Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,578,1,2021-04-01,SDP,,ARI,"W,8-7",CG,5,4,0,1,0,0,0,0,0,0.0,1,1,0,0.0,0,0.0,0,0,0.25,0.4,0.25,0.65,1,1.18,0.074,1.26,0.05%,0.2,,,CF,,2021-04-01,135,109,634618
2,579,2,2021-04-02,SDP,,ARI,"W,4-2",CG,4,4,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.333,0.25,0.583,1,0.7,-0.031,0.79,-0.02%,-0.5,,,CF,,2021-04-02,135,109,634576
3,580,3,2021-04-03,SDP,,ARI,"W,7-0",CG,5,2,1,0,0,0,0,0,3,0.0,0,0,0,0.0,0,0.0,0,0,0.2,0.429,0.2,0.629,3,0.28,0.007,0.32,0.01%,0.63,,,CF,,2021-04-03,135,109,634623
4,581,4,2021-04-04,SDP,,ARI,"L,1-3",CG,4,3,0,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,1,0,0.231,0.444,0.231,0.675,5,1.09,0.059,1.26,0.04%,0.58,,,CF,,2021-04-04,135,109,634572
5,582,5,2021-04-05,SDP,,SFG,"L,2-3",CG,5,5,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,0,0,0.167,0.348,0.167,0.514,5,2.49,-0.248,2.92,-0.17%,-0.91,,,CF,,2021-04-05,135,137,634591
6,583,6,2021-04-06,SDP,,SFG,"W,3-1",CG,4,4,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.182,0.333,0.182,0.515,2,0.71,-0.03,0.79,-0.02%,-0.35,,,CF,,2021-04-06,135,137,634529
7,584,7,2021-04-07,SDP,,SFG,"L,2-3",8-9,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.174,0.321,0.174,0.495,9,2.46,-0.062,2.74,-0.04%,-0.22,,,PH,,2021-04-07,135,137,634563
8,585,8,2021-04-09,SDP,@,TEX,"W,3-0",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.148,0.281,0.148,0.429,7,0.65,0.023,0.61,0.01%,-0.32,,,LF,,2021-04-09,135,140,634478
9,586,9,2021-04-10,SDP,@,TEX,"W,7-4",CG,4,3,0,0,0,0,0,1,0,0.0,0,0,0,1.0,0,2.0,0,0,0.133,0.25,0.133,0.383,7,1.49,-0.183,1.46,-0.11%,-1.6,,,LF,,2021-04-10,135,140,632193
10,587,10,2021-04-11,SDP,@,TEX,"W,2-0",CG,4,3,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.121,0.25,0.121,0.371,7,0.83,-0.044,0.86,-0.03%,-0.79,,,LF,,2021-04-11,135,140,632233
11,588,11,2021-04-12,SDP,@,PIT,"W,6-2",CG,4,4,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.135,0.25,0.135,0.385,6,0.93,-0.071,1.0,-0.05%,-0.83,,,CF,,2021-04-12,135,134,632198
12,589,12,2021-04-13,SDP,@,PIT,"L,4-8",CG,5,2,0,0,0,0,0,0,2,0.0,0,1,0,0.0,0,0.0,0,0,0.128,0.286,0.128,0.414,6,2.31,-0.028,2.61,-0.02%,-0.23,,,LF,,2021-04-13,135,134,634535
13,590,13,2021-04-14,SDP,@,PIT,"L,1-5",CG,4,3,0,1,0,0,0,1,1,0.0,0,0,0,0.0,0,0.0,1,0,0.143,0.302,0.143,0.445,4,1.31,0.102,1.37,0.06%,0.7,,,LF,,2021-04-14,135,134,634523
14,591,15 (1),2021-04-16,SDP,,LAD,"L,6-11",4-5,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.14,0.296,0.14,0.436,9,1.86,-0.054,2.41,-0.04%,-0.58,,,PH,,2021-04-16,135,119,634531
15,592,16,2021-04-17,SDP,,LAD,"L,0-2",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.128,0.276,0.128,0.404,7,2.44,-0.272,3.1,-0.21%,-1.37,,,LF,,2021-04-17,135,119,634449
16,593,17,2021-04-18,SDP,,LAD,"W,5-2",CG,4,3,0,1,1,0,0,2,1,0.0,2,0,0,0.0,0,0.0,0,0,0.14,0.29,0.16,0.45,6,1.25,-0.007,1.56,-0.01%,1.11,,,LF,,2021-04-18,135,119,634488
17,594,18,2021-04-19,SDP,,MIL,"L,1-3",CG,3,2,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,1,0.135,0.292,0.154,0.446,7,1.08,-0.065,1.1,-0.04%,-0.47,,,CF,,2021-04-19,135,158,634399
18,595,19,2021-04-20,SDP,,MIL,"L,0-6",CG,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.143,0.29,0.161,0.451,6,0.34,0.0,0.35,0.00%,-0.17,,,LF,,2021-04-20,135,158,634392
19,596,20,2021-04-21,SDP,,MIL,"L,2-4",CG,4,3,0,1,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.153,0.301,0.169,0.471,6,2.08,-0.126,2.02,-0.07%,-0.43,,,LF,,2021-04-21,135,158,634476
20,597,22 (1),2021-04-23,SDP,@,LAD,"W,6-1",CG,4,4,1,1,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.159,0.299,0.175,0.473,7,0.59,-0.009,0.67,-0.01%,0.47,,,LF,,2021-04-23,135,119,634370
21,598,23,2021-04-24,SDP,@,LAD,"L,4-5",7-7,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.172,0.308,0.188,0.495,9,3.15,0.097,3.77,0.07%,0.67,,,PH,,2021-04-24,135,119,634361
22,599,24,2021-04-25,SDP,@,LAD,"W,8-7",GS-2,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.169,0.304,0.185,0.488,6,0.42,-0.011,0.48,-0.01%,-0.11,,,LF,,2021-04-25,135,119,634356
23,600,26 (1),2021-04-28,SDP,@,ARI,"W,12-3",5-5,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.182,0.313,0.197,0.509,9,1.6,0.084,1.73,0.05%,0.72,,,PH,,2021-04-28,135,109,634322
24,601,27,2021-04-30,SDP,,SFG,"W,3-2",7-8,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.179,0.309,0.194,0.503,9,0.37,-0.009,0.44,-0.01%,-0.22,,,PH,,2021-04-30,135,137,634303
25,602,28,2021-05-01,SDP,,SFG,"W,6-2",GS-8,3,2,0,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.188,0.321,0.203,0.524,7,0.65,0.013,0.85,0.01%,0.36,,,LF,,2021-05-01,135,137,634316
26,603,29,2021-05-02,SDP,,SFG,"L,1-7",CG,4,4,0,2,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.205,0.33,0.219,0.549,6,0.35,0.005,0.47,0.00%,-0.05,,,LF,,2021-05-02,135,137,634301
