Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,335.0,2021-04-03,MIL,,MIN,"L,0-2",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,,,,,,0.0,0.0,C,,2021-04-03,158,142,634575,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,336.0,2021-04-04,MIL,,MIN,"L,2-8",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.05,-0.061,0.95,-0.03%,-0.88,0.0,0.0,C,,2021-04-04,158,142,634597,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,337.0,2021-04-07,MIL,@,CHC,"W,4-2",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.13,-0.086,1.14,-0.05%,-0.64,0.0,0.0,C,,2021-04-07,158,112,634549,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,338.0,2021-04-11,MIL,@,STL,"W,9-3",CG,5.0,4.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.333,0.7,1.033,6.0,0.22,0.064,0.24,0.04%,2.94,0.0,0.0,C,,2021-04-11,158,138,632196,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,339.0,2021-04-13,MIL,,CHC,"L,2-3",GS-9,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.267,0.538,0.805,6.0,1.12,-0.076,1.34,-0.05%,-0.83,0.0,0.0,C,,2021-04-13,158,112,632194,2021,0.3,0.333,0.9,1.233,0.0,0.0,2.0,7.0,2.0,0.3,0.333,0.9,1.233,0.0,0.0,2.0,7.0,2.0,0.3,0.333,0.9,1.233,0.0,0.0,2.0,7.0,2.0
6.0,340.0,2021-04-18,MIL,,PIT,"L,5-6",CG(10),4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.263,0.438,0.701,7.0,0.93,-0.033,1.08,-0.02%,-0.3,0.0,0.0,C,,2021-04-18,158,134,634455,2021,0.231,0.267,0.692,0.959,0.0,0.0,2.0,7.0,2.0,0.231,0.267,0.692,0.959,0.0,0.0,2.0,7.0,2.0,0.231,0.267,0.692,0.959,0.0,0.0,2.0,7.0,2.0
7.0,341.0,2021-04-21,MIL,@,SDP,"W,4-2",8-8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.3,0.438,0.738,9.0,0.88,0.013,0.99,0.01%,0.33,0.0,0.0,PH,,2021-04-21,158,135,634476,2021,0.188,0.263,0.562,0.826,0.0,0.0,2.0,7.0,3.0,0.188,0.263,0.562,0.826,0.0,0.0,2.0,7.0,3.0,0.188,0.263,0.562,0.826,0.0,0.0,2.0,7.0,3.0
8.0,342.0,2021-04-23,MIL,@,CHC,"L,2-15",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.35,0.6,7.0,0.05,-0.005,0.07,0.00%,-1.07,0.0,0.0,C,,2021-04-23,158,112,634426,2021,0.188,0.3,0.562,0.862,0.0,0.0,2.0,7.0,3.0,0.231,0.375,0.692,1.067,0.0,0.0,2.0,7.0,2.0,0.188,0.3,0.562,0.862,0.0,0.0,2.0,7.0,3.0
9.0,343.0,2021-04-24,MIL,@,CHC,"W,4-3",7-7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.28,0.524,0.804,3.0,2.05,0.299,2.55,0.22%,1.74,0.0,0.0,PH,,2021-04-24,158,112,634416,2021,0.15,0.25,0.45,0.7,0.0,0.0,2.0,7.0,4.0,0.214,0.353,0.643,0.996,0.0,0.0,2.0,7.0,3.0,0.15,0.25,0.45,0.7,0.0,0.0,2.0,7.0,4.0
10.0,344.0,2021-04-26,MIL,,MIA,"L,0-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.241,0.44,0.681,4.0,0.78,-0.117,0.94,-0.09%,-1.47,0.0,0.0,C,,2021-04-26,158,146,634461,2021,0.19,0.28,0.667,0.947,0.0,0.0,3.0,11.0,4.0,0.091,0.231,0.455,0.685,0.0,0.0,1.0,4.0,2.0,0.19,0.28,0.667,0.947,0.0,0.0,3.0,11.0,4.0
11.0,345.0,2021-05-08,MIL,@,MIA,"W,6-2",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.242,0.414,0.656,7.0,0.95,-0.084,1.03,-0.06%,-0.78,0.0,0.0,C,,2021-05-08,158,146,634215,2021,0.16,0.241,0.56,0.801,0.0,0.0,3.0,11.0,6.0,0.083,0.214,0.417,0.631,0.0,0.0,1.0,4.0,4.0,0.16,0.241,0.56,0.801,0.0,0.0,3.0,11.0,6.0
12.0,346.0,2021-05-09,MIL,@,MIA,"W,2-1",10-GF(10),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.242,0.414,0.656,2.0,,,,,,0.0,0.0,C,,2021-05-09,158,146,634207,2021,0.172,0.242,0.517,0.76,0.0,0.0,3.0,12.0,7.0,0.154,0.214,0.462,0.676,0.0,0.0,1.0,5.0,4.0,0.172,0.242,0.517,0.76,0.0,0.0,3.0,12.0,7.0
13.0,347.0,2021-05-11,MIL,,STL,"L,1-6",CG(11),5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.263,0.375,0.638,6.0,1.23,-0.082,1.71,-0.07%,0.05,0.0,0.0,C,,2021-05-11,158,138,634159,2021,0.172,0.242,0.517,0.76,0.0,0.0,3.0,12.0,7.0,0.154,0.154,0.462,0.615,0.0,0.0,1.0,5.0,4.0,0.172,0.242,0.517,0.76,0.0,0.0,3.0,12.0,7.0
14.0,348.0,2021-05-12,MIL,,STL,"W,4-1",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.268,0.371,0.64,8.0,0.72,0.021,1.0,0.02%,0.12,0.0,0.0,C,,2021-05-12,158,138,634198,2021,0.156,0.263,0.469,0.732,0.0,0.0,3.0,12.0,8.0,0.167,0.286,0.5,0.786,0.0,0.0,1.0,5.0,4.0,0.156,0.263,0.469,0.732,0.0,0.0,3.0,12.0,8.0
15.0,349.0,2021-05-13,MIL,,STL,"L,0-2",9-GF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.286,0.371,0.657,5.0,1.85,0.092,2.76,0.08%,0.39,0.0,0.0,PH,,2021-05-13,158,138,634158,2021,0.171,0.268,0.457,0.725,0.0,0.0,3.0,13.0,8.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,2.0,4.0,0.171,0.268,0.457,0.725,0.0,0.0,3.0,13.0,8.0
16.0,350.0,2021-05-14,MIL,,ATL,"L,3-6",CG,4.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.326,0.474,0.8,7.0,0.74,0.063,0.79,0.04%,1.35,0.0,0.0,C,,2021-05-14,158,144,634118,2021,0.171,0.286,0.457,0.743,0.0,0.0,3.0,13.0,8.0,0.2,0.385,0.2,0.585,0.0,0.0,0.0,2.0,2.0,0.171,0.286,0.457,0.743,0.0,0.0,3.0,13.0,8.0
17.0,351.0,2021-05-18,MIL,@,KCR,"L,0-2",GS-8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.313,0.45,0.763,6.0,0.66,-0.034,0.72,-0.02%,-0.29,0.0,0.0,C,,2021-05-18,158,118,634043,2021,0.211,0.326,0.579,0.905,0.0,0.0,4.0,18.0,9.0,0.333,0.538,0.778,1.316,0.0,0.0,1.0,6.0,2.0,0.211,0.326,0.579,0.905,0.0,0.0,4.0,18.0,9.0
18.0,352.0,2021-05-24,MIL,,SDP,"W,5-3",CG,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.209,0.327,0.512,0.839,7.0,0.42,0.224,0.46,0.15%,2.32,0.0,0.0,C,,2021-05-24,158,135,633992,2021,0.2,0.312,0.55,0.862,0.0,0.0,4.0,18.0,9.0,0.273,0.467,0.636,1.103,0.0,0.0,1.0,6.0,2.0,0.2,0.312,0.55,0.862,0.0,0.0,4.0,18.0,9.0
19.0,353.0,2021-05-26,MIL,,SDP,"L,1-2",7-GF(10),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.315,0.489,0.804,4.0,2.2,-0.136,2.4,-0.09%,-0.75,0.0,0.0,PH C,,2021-05-26,158,135,633927,2021,0.209,0.327,0.628,0.955,0.0,0.0,5.0,22.0,10.0,0.364,0.5,1.091,1.591,0.0,0.0,2.0,10.0,2.0,0.209,0.327,0.628,0.955,0.0,0.0,5.0,22.0,10.0
