Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,497,1,2021-04-01,MIN,@,MIL,"L,5-6",CG(10),5,4,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.0,0.2,0.0,0.2,3,1.09,-0.058,0.99,-0.03%,-0.77,,,2B,,2021-04-01,142,158,634638
2,498,2,2021-04-03,MIN,@,MIL,"W,2-0",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.111,0.0,0.111,2,0.97,-0.099,0.8,-0.05%,-1.0,,,2B,,2021-04-03,142,158,634575
3,499,3,2021-04-04,MIN,@,MIL,"W,8-2",CG,5,4,2,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,1,0.0,0.143,0.0,0.143,2,0.94,-0.023,0.84,-0.01%,0.24,,,2B,,2021-04-04,142,158,634597
4,500,4,2021-04-05,MIN,@,DET,"W,15-6",GS-8,5,5,1,2,0,0,0,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.118,0.211,0.118,0.328,2,0.8,0.179,0.95,0.13%,0.96,,,2B,,2021-04-05,142,116,634588
5,501,5,2021-04-06,MIN,@,DET,"L,3-4",CG(10),5,5,0,0,0,0,0,0,0,0.0,1,0,0,0.0,1,0.0,1,0,0.091,0.167,0.091,0.258,2,1.12,-0.009,1.31,-0.01%,0.03,,,2B SS,,2021-04-06,142,116,634603
6,502,6,2021-04-07,MIN,@,DET,"W,3-2",CG,4,4,0,1,1,0,0,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.115,0.179,0.154,0.332,4,1.17,0.264,1.31,0.18%,1.31,,,2B,,2021-04-07,142,116,634598
7,503,7,2021-04-08,MIN,,SEA,"W,10-2",CG,5,4,1,1,1,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.133,0.212,0.2,0.412,1,0.5,0.037,0.54,0.02%,0.2,,,2B,,2021-04-08,142,136,634550
8,504,8,2021-04-10,MIN,,SEA,"L,3-4",CG(10),5,5,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.114,0.184,0.171,0.356,1,1.19,-0.157,1.3,-0.10%,-1.06,,,2B,,2021-04-10,142,136,632205
9,505,9,2021-04-11,MIN,,SEA,"L,6-8",CG,5,5,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.125,0.186,0.175,0.361,2,0.75,0.105,0.75,0.06%,1.0,,,2B,,2021-04-11,142,136,632215
10,506,10,2021-04-13,MIN,,BOS,"L,2-4",CG,4,2,0,0,0,0,0,1,0,0.0,0,1,0,1.0,0,0.0,0,0,0.119,0.191,0.167,0.358,4,1.39,-0.072,1.45,-0.05%,-0.38,,,2B,,2021-04-13,142,111,632190
