Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,548,2021-04-01,SDP,,ARI,"W,8-7",CG,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.25,7,1.68,-0.038,1.8,-0.02%,-0.42,0.0,0.0,LF,,2021-04-01,135,109,634618,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,549,2021-04-02,SDP,,ARI,"W,4-2",GS-5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,8,1.63,-0.006,1.83,0.00%,-0.4,0.0,0.0,LF,,2021-04-02,135,109,634576,2021,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
3,550,2021-04-03,SDP,,ARI,"W,7-0",7-GF,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.286,0.25,0.536,9,0.0,0.0,0.0,0.00%,0.12,0.0,0.0,1B,,2021-04-03,135,109,634623,2021,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0
4,551,2021-04-04,SDP,,ARI,"L,1-3",CG,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.455,0.429,0.883,8,1.04,0.063,1.21,0.04%,0.54,0.0,0.0,LF,,2021-04-04,135,109,634572,2021,0.25,0.286,0.25,0.536,0.0,0.0,0.0,1.0,0.0,0.25,0.286,0.25,0.536,0.0,0.0,0.0,1.0,0.0,0.25,0.286,0.25,0.536,0.0,0.0,0.0,1.0,0.0,0.25,0.286,0.25,0.536,0.0,0.0,0.0,1.0,0.0,0.25,0.286,0.25,0.536,0.0,0.0,0.0,1.0,0.0
5,552,2021-04-05,SDP,,SFG,"L,2-3",CG,4.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.364,0.4,0.545,0.945,7,2.02,-0.042,2.36,-0.03%,-0.32,0.0,0.0,LF,,2021-04-05,135,137,634591,2021,0.429,0.455,0.429,0.883,0.0,0.0,0.0,3.0,0.0,0.429,0.455,0.429,0.883,0.0,0.0,0.0,3.0,0.0,0.429,0.455,0.429,0.883,0.0,0.0,0.0,3.0,0.0,0.6,0.571,0.6,1.171,0.0,0.0,0.0,3.0,0.0,0.429,0.455,0.429,0.883,0.0,0.0,0.0,3.0,0.0
6,553,2021-04-06,SDP,,SFG,"W,3-1",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.333,0.429,0.762,6,1.37,-0.099,1.53,-0.07%,-0.79,0.0,0.0,LF,,2021-04-06,135,137,634529,2021,0.364,0.4,0.636,1.036,1.0,0.0,1.0,6.0,0.0,0.364,0.4,0.636,1.036,1.0,0.0,1.0,6.0,0.0,0.364,0.4,0.636,1.036,1.0,0.0,1.0,6.0,0.0,0.5,0.556,0.875,1.431,1.0,0.0,1.0,6.0,0.0,0.364,0.4,0.636,1.036,1.0,0.0,1.0,6.0,0.0
7,554,2021-04-07,SDP,,SFG,"L,2-3",CG(10),4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.364,0.412,0.775,6,1.23,-0.012,1.37,-0.01%,0.21,0.0,0.0,LF,,2021-04-07,135,137,634563,2021,0.286,0.333,0.5,0.833,1.0,0.0,1.0,6.0,1.0,0.286,0.333,0.5,0.833,1.0,0.0,1.0,6.0,1.0,0.333,0.357,0.583,0.94,1.0,0.0,1.0,6.0,1.0,0.3,0.364,0.6,0.964,1.0,0.0,1.0,5.0,1.0,0.286,0.333,0.5,0.833,1.0,0.0,1.0,6.0,1.0
8,555,2021-04-09,SDP,@,TEX,"W,3-0",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.346,0.381,0.727,2,0.64,-0.051,0.61,-0.03%,-0.81,0.0,0.0,1B,,2021-04-09,135,140,634478,2021,0.294,0.364,0.471,0.834,1.0,0.0,1.0,7.0,1.0,0.294,0.364,0.471,0.834,1.0,0.0,1.0,7.0,1.0,0.357,0.438,0.571,1.009,1.0,0.0,1.0,7.0,1.0,0.2,0.273,0.5,0.773,1.0,0.0,1.0,4.0,1.0,0.294,0.364,0.471,0.834,1.0,0.0,1.0,7.0,1.0
9,556,2021-04-10,SDP,@,TEX,"W,7-4",CG,5.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.387,0.423,0.81,2,1.07,-0.036,1.05,-0.02%,-0.07,0.0,0.0,RF,,2021-04-10,135,140,632193,2021,0.286,0.346,0.429,0.775,1.0,0.0,1.0,8.0,2.0,0.286,0.346,0.429,0.775,1.0,0.0,1.0,8.0,2.0,0.294,0.368,0.471,0.839,1.0,0.0,1.0,7.0,2.0,0.2,0.273,0.2,0.473,0.0,0.0,0.0,2.0,2.0,0.286,0.346,0.429,0.775,1.0,0.0,1.0,8.0,2.0
10,557,2021-04-11,SDP,@,TEX,"W,2-0",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.343,0.367,0.71,2,0.83,-0.071,0.86,-0.04%,-0.73,0.0,0.0,2B,,2021-04-11,135,140,632233,2021,0.346,0.387,0.462,0.849,1.0,0.0,1.0,11.0,2.0,0.346,0.387,0.462,0.849,1.0,0.0,1.0,11.0,2.0,0.316,0.35,0.474,0.824,1.0,0.0,1.0,8.0,2.0,0.417,0.462,0.417,0.878,0.0,0.0,0.0,5.0,1.0,0.346,0.387,0.462,0.849,1.0,0.0,1.0,11.0,2.0
11,558,2021-04-12,SDP,@,PIT,"W,6-2",CG,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.35,0.333,0.683,2,0.7,0.016,0.75,0.01%,0.24,0.0,0.0,LF,,2021-04-12,135,134,632198,2021,0.3,0.343,0.4,0.743,1.0,0.0,1.0,11.0,2.0,0.3,0.343,0.4,0.743,1.0,0.0,1.0,11.0,2.0,0.263,0.3,0.263,0.563,0.0,0.0,0.0,5.0,2.0,0.308,0.308,0.308,0.615,0.0,0.0,0.0,4.0,1.0,0.3,0.343,0.4,0.743,1.0,0.0,1.0,11.0,2.0
