Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,123,27 (26),2021-05-03,CLE,@,KCR,"W,8-6",CG,5,5,1,2,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.4,0.4,0.6,1.0,6,1.12,-0.045,1.45,-0.04%,-0.36,,,LF CF,,2021-05-03,114,118,634258
2,124,28,2021-05-04,CLE,@,KCR,"W,7-3",CG,4,4,1,2,1,0,0,2,0,0.0,0,0,0,0.0,0,0.0,0,0,0.444,0.444,0.667,1.111,5,2.01,0.258,2.66,0.21%,1.1,,,LF CF,,2021-05-04,114,118,634277
3,125,29,2021-05-05,CLE,@,KCR,"W,5-4",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.308,0.308,0.462,0.769,7,1.44,-0.133,1.95,-0.11%,-1.1,,,CF,,2021-05-05,114,118,634226
4,126,30,2021-05-06,CLE,@,KCR,"W,4-0",CG,4,4,1,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.294,0.294,0.471,0.765,5,0.65,0.008,0.93,0.01%,-0.17,,,CF,,2021-05-06,114,118,634233
5,127,31,2021-05-07,CLE,,CIN,"L,0-3",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.25,0.4,0.65,6,0.94,-0.073,1.15,-0.05%,-0.46,,,CF,,2021-05-07,114,113,634203
6,128,32,2021-05-08,CLE,,CIN,"W,9-2",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.25,0.25,0.4,0.65,4,,,,,,,,PR LF,,2021-05-08,114,113,634187
7,129,33,2021-05-11,CLE,,CHC,"W,3-2",CG,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.261,0.261,0.391,0.652,7,0.94,-0.027,1.11,-0.02%,-0.2,,,CF,,2021-05-11,114,112,634189
8,130,34,2021-05-12,CLE,,CHC,"W,2-1",10-GF(10),1,0,0,0,0,0,0,0,1,1.0,0,0,0,0.0,0,0.0,0,0,0.261,0.292,0.391,0.683,9,4.06,-0.011,5.03,-0.01%,0.17,,,PH,,2021-05-12,114,112,634129
9,131,35,2021-05-13,CLE,@,SEA,"W,4-2",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.231,0.259,0.346,0.605,7,0.52,-0.022,0.66,-0.02%,-0.27,,,CF,,2021-05-13,114,136,634135
10,132,36,2021-05-14,CLE,@,SEA,"L,3-7",9-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0,0,0.222,0.25,0.333,0.583,9,0.0,0.007,0.0,0.01%,0.18,,,PH,,2021-05-14,114,136,634110
11,133,37,2021-05-15,CLE,@,SEA,"L,3-7",CG,4,4,1,2,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.258,0.281,0.452,0.733,6,1.13,-0.001,1.44,0.00%,1.03,,,RF,,2021-05-15,114,136,634084
12,134,38,2021-05-16,CLE,@,SEA,"L,2-3",9-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.273,0.438,0.71,8,2.86,-0.073,3.83,-0.06%,-0.23,,,PH,,2021-05-16,114,136,634087
13,135,39,2021-05-17,CLE,@,LAA,"L,4-7",CG,4,4,1,2,0,0,1,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.278,0.297,0.528,0.825,6,0.78,0.002,0.95,0.00%,0.72,,,CF RF,,2021-05-17,114,108,634101
