Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,123,2021-05-03,CLE,@,KCR,"W,8-6",CG,5.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,6,1.12,-0.045,1.45,-0.04%,-0.36,0.0,0.0,LF CF,,2021-05-03,114,118,634258,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,124,2021-05-04,CLE,@,KCR,"W,7-3",CG,4.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.444,0.667,1.111,5,2.01,0.258,2.66,0.21%,1.1,0.0,0.0,LF CF,,2021-05-04,114,118,634277,2021,0.4,0.4,0.8,1.2,0.0,0.0,1.0,3.0,0.0,0.4,0.4,0.8,1.2,0.0,0.0,1.0,3.0,0.0,0.4,0.4,0.8,1.2,0.0,0.0,1.0,3.0,0.0
3,125,2021-05-05,CLE,@,KCR,"W,5-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.308,0.462,0.769,7,1.44,-0.133,1.95,-0.11%,-1.1,0.0,0.0,CF,,2021-05-05,114,118,634226,2021,0.444,0.444,0.889,1.333,0.0,0.0,2.0,6.0,0.0,0.444,0.444,0.889,1.333,0.0,0.0,2.0,6.0,0.0,0.444,0.444,0.889,1.333,0.0,0.0,2.0,6.0,0.0
4,126,2021-05-06,CLE,@,KCR,"W,4-0",CG,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.294,0.471,0.765,5,0.65,0.008,0.93,0.01%,-0.17,0.0,0.0,CF,,2021-05-06,114,118,634233,2021,0.308,0.308,0.615,0.923,0.0,0.0,2.0,6.0,1.0,0.308,0.308,0.615,0.923,0.0,0.0,2.0,6.0,1.0,0.308,0.308,0.615,0.923,0.0,0.0,2.0,6.0,1.0
5,127,2021-05-07,CLE,,CIN,"L,0-3",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.4,0.65,6,0.94,-0.073,1.15,-0.05%,-0.46,0.0,0.0,CF,,2021-05-07,114,113,634203,2021,0.294,0.294,0.647,0.941,0.0,0.0,3.0,8.0,2.0,0.294,0.294,0.647,0.941,0.0,0.0,3.0,8.0,2.0,0.294,0.294,0.647,0.941,0.0,0.0,3.0,8.0,2.0
6,128,2021-05-08,CLE,,CIN,"W,9-2",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.4,0.65,4,,,,,,0.0,0.0,PR LF,,2021-05-08,114,113,634187,2021,0.25,0.25,0.55,0.8,0.0,0.0,3.0,8.0,2.0,0.25,0.25,0.55,0.8,0.0,0.0,3.0,8.0,2.0,0.25,0.25,0.55,0.8,0.0,0.0,3.0,8.0,2.0
7,129,2021-05-11,CLE,,CHC,"W,3-2",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.261,0.391,0.652,7,0.94,-0.027,1.11,-0.02%,-0.2,0.0,0.0,CF,,2021-05-11,114,112,634189,2021,0.25,0.25,0.55,0.8,0.0,0.0,3.0,8.0,2.0,0.2,0.2,0.467,0.667,0.0,0.0,2.0,5.0,2.0,0.25,0.25,0.55,0.8,0.0,0.0,3.0,8.0,2.0
8,130,2021-05-12,CLE,,CHC,"W,2-1",10-GF(10),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.292,0.391,0.683,9,4.06,-0.011,5.03,-0.01%,0.17,0.0,0.0,PH,,2021-05-12,114,112,634129,2021,0.261,0.261,0.522,0.783,0.0,0.0,3.0,9.0,2.0,0.143,0.143,0.286,0.429,0.0,0.0,1.0,3.0,2.0,0.261,0.261,0.522,0.783,0.0,0.0,3.0,9.0,2.0
9,131,2021-05-13,CLE,@,SEA,"W,4-2",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.259,0.346,0.605,7,0.52,-0.022,0.66,-0.02%,-0.27,0.0,0.0,CF,,2021-05-13,114,136,634135,2021,0.261,0.292,0.522,0.813,0.0,0.0,3.0,9.0,2.0,0.2,0.273,0.4,0.673,0.0,0.0,1.0,3.0,1.0,0.261,0.292,0.522,0.813,0.0,0.0,3.0,9.0,2.0
10,132,2021-05-14,CLE,@,SEA,"L,3-7",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.222,0.25,0.333,0.583,9,0.0,0.007,0.0,0.01%,0.18,0.0,0.0,PH,,2021-05-14,114,136,634110,2021,0.231,0.259,0.462,0.721,0.0,0.0,3.0,9.0,4.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,2.0,0.231,0.259,0.462,0.721,0.0,0.0,3.0,9.0,4.0
