Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1252,2021-05-20,ARI,@,LAD,"L,2-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.24,-0.092,0.62,-0.03%,-0.48,0.0,0.0,RF,,2021-05-20,109,119,634059,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,1253,2021-05-21,ARI,@,COL,"L,1-7",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.125,0.25,0.375,6,0.61,-0.012,0.24,0.00%,-0.91,0.0,0.0,RF,,2021-05-21,109,115,634016,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,1254,2021-05-22,ARI,@,COL,"L,6-7",CG,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.154,0.308,0.462,5,2.17,-0.168,0.73,-0.03%,-0.38,0.0,0.0,CF,,2021-05-22,109,115,634010,2021,0.125,0.125,0.375,0.5,0.0,0.0,1.0,2.0,2.0,0.125,0.125,0.375,0.5,0.0,0.0,1.0,2.0,2.0,0.125,0.125,0.375,0.5,0.0,0.0,1.0,2.0,2.0
4,1255,2021-05-23,ARI,@,COL,"L,3-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.118,0.235,0.353,6,1.8,-0.312,0.54,-0.06%,-1.76,0.0,0.0,RF,,2021-05-23,109,115,633995,2021,0.154,0.154,0.462,0.615,0.0,0.0,2.0,4.0,3.0,0.154,0.154,0.462,0.615,0.0,0.0,2.0,4.0,3.0,0.154,0.154,0.462,0.615,0.0,0.0,2.0,4.0,3.0
5,1256,2021-05-25,ARI,,SFG,"L,0-8",9-GF,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.333,0.5,1,0.0,0.0,0.0,0.00%,0.22,0.0,0.0,PH,,2021-05-25,109,137,633979,2021,0.118,0.118,0.353,0.471,0.0,0.0,2.0,4.0,4.0,0.118,0.118,0.353,0.471,0.0,0.0,2.0,4.0,4.0,0.118,0.118,0.353,0.471,0.0,0.0,2.0,4.0,4.0
6,1257,2021-05-26,ARI,,SFG,"L,4-5",CG,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.227,0.364,0.591,6,0.68,0.014,0.15,0.00%,0.56,0.0,0.0,RF,,2021-05-26,109,137,633939,2021,0.167,0.167,0.5,0.667,0.0,0.0,3.0,6.0,4.0,0.167,0.167,0.5,0.667,0.0,0.0,3.0,6.0,4.0,0.167,0.167,0.5,0.667,0.0,0.0,3.0,6.0,4.0
7,1258,2021-05-27,ARI,,STL,"L,4-5",CG(10),4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.231,0.346,0.577,6,1.71,0.015,0.28,0.00%,0.09,0.0,0.0,RF,,2021-05-27,109,138,633914,2021,0.227,0.227,0.5,0.727,0.0,0.0,3.0,8.0,4.0,0.278,0.278,0.611,0.889,0.0,0.0,3.0,8.0,2.0,0.227,0.227,0.5,0.727,0.0,0.0,3.0,8.0,4.0
8,1259,2021-05-28,ARI,,STL,"L,6-8",CG,5.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.419,0.71,6,1.19,0.138,0.16,0.01%,1.34,0.0,0.0,RF,,2021-05-28,109,138,633987,2021,0.231,0.231,0.462,0.692,0.0,0.0,3.0,9.0,5.0,0.278,0.278,0.5,0.778,0.0,0.0,2.0,7.0,3.0,0.231,0.231,0.462,0.692,0.0,0.0,3.0,9.0,5.0
9,1260,2021-05-29,ARI,,STL,"L,4-7",8-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281,0.281,0.406,0.688,9,0.75,-0.022,0.08,0.00%,-0.23,0.0,0.0,PH,,2021-05-29,109,138,633913,2021,0.29,0.29,0.548,0.839,0.0,0.0,4.0,13.0,6.0,0.389,0.389,0.611,1.0,0.0,0.0,2.0,9.0,3.0,0.29,0.29,0.548,0.839,0.0,0.0,4.0,13.0,6.0
10,1261,2021-05-30,ARI,,STL,"W,9-2",CG,5.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.324,0.459,0.784,6,0.45,0.072,0.03,0.00%,1.48,0.0,0.0,RF,,2021-05-30,109,138,633946,2021,0.281,0.281,0.531,0.812,0.0,0.0,4.0,13.0,6.0,0.467,0.467,0.733,1.2,0.0,0.0,2.0,9.0,2.0,0.281,0.281,0.531,0.812,0.0,0.0,4.0,13.0,6.0
