Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2021-05-08,KCR,,CHW,"L,1-9",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.16,-0.016,0.21,-0.01%,-1.59,0.0,0.0,C,,2021-05-08,118,145,634197,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2021-05-11,KCR,@,DET,"L,7-8",7-GF,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.72,0.041,0.66,0.02%,-0.14,0.0,0.0,C,,2021-05-11,118,116,634179,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,3,2021-06-23,KCR,@,NYY,"L,5-6",4-GF,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.222,3,4.1,0.313,1.91,0.09%,1.09,0.0,0.0,C,,2021-06-23,118,147,633551,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4,4,2021-06-24,KCR,@,NYY,"L,1-8",CG,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.308,0.2,0.508,9,0.58,0.061,0.21,0.01%,0.82,0.0,0.0,C,,2021-06-24,118,147,633559,2021,0.0,0.222,0.0,0.222,0.0,0.0,0.0,0.0,4.0,0.0,0.222,0.0,0.222,0.0,0.0,0.0,0.0,4.0,0.0,0.222,0.0,0.222,0.0,0.0,0.0,0.0,4.0,0.0,0.222,0.0,0.222,0.0,0.0,0.0,0.0,4.0,0.0,0.222,0.0,0.222,0.0,0.0,0.0,0.0,4.0
5,5,2021-06-25,KCR,@,TEX,"L,4-9",7-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.286,0.182,0.468,9,0.06,-0.002,0.02,0.00%,-0.33,0.0,0.0,C,,2021-06-25,118,140,633556,2021,0.1,0.308,0.3,0.608,0.0,0.0,1.0,2.0,5.0,0.1,0.308,0.3,0.608,0.0,0.0,1.0,2.0,5.0,0.1,0.308,0.3,0.608,0.0,0.0,1.0,2.0,5.0,0.167,0.444,0.5,0.944,0.0,0.0,1.0,2.0,3.0,0.1,0.308,0.3,0.608,0.0,0.0,1.0,2.0,5.0
6,6,2021-07-01,KCR,@,BOS,"L,1-15",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.222,0.133,0.356,8,0.45,-0.06,0.05,0.00%,-1.5,0.0,0.0,C,,2021-07-01,118,111,633457,2021,0.091,0.286,0.273,0.558,0.0,0.0,1.0,2.0,6.0,0.091,0.286,0.273,0.558,0.0,0.0,1.0,2.0,6.0,0.091,0.286,0.273,0.558,0.0,0.0,1.0,2.0,6.0,0.2,0.5,0.6,1.1,0.0,0.0,1.0,2.0,3.0,0.091,0.286,0.273,0.558,0.0,0.0,1.0,2.0,6.0
7,7,2021-07-04,KCR,,MIN,"L,2-6",GS-9,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.286,0.176,0.462,8,0.73,0.019,0.09,0.00%,0.5,0.0,0.0,C,,2021-07-04,118,142,633431,2021,0.067,0.222,0.2,0.422,0.0,0.0,1.0,2.0,9.0,0.067,0.222,0.2,0.422,0.0,0.0,1.0,2.0,9.0,0.091,0.286,0.273,0.558,0.0,0.0,1.0,2.0,7.0,0.125,0.222,0.375,0.597,0.0,0.0,1.0,2.0,5.0,0.067,0.222,0.2,0.422,0.0,0.0,1.0,2.0,9.0
8,8,2021-07-10,KCR,@,CLE,"L,6-14",6-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.273,0.167,0.439,4,1.67,-0.044,0.08,0.00%,-0.45,0.0,0.0,C,,2021-07-10,118,114,633317,2021,0.118,0.286,0.235,0.521,0.0,0.0,1.0,3.0,9.0,0.118,0.286,0.235,0.521,0.0,0.0,1.0,3.0,9.0,0.182,0.4,0.364,0.764,0.0,0.0,1.0,3.0,6.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,4.0,0.118,0.286,0.235,0.521,0.0,0.0,1.0,3.0,9.0
9,9,2021-09-04,KCR,,CHW,"L,7-10",5-9,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.15,0.4,9,0.91,-0.047,0.0,0.00%,-0.42,0.0,0.0,C,,2021-09-04,118,145,632652,2021,0.111,0.273,0.222,0.495,0.0,0.0,1.0,3.0,9.0,0.111,0.273,0.222,0.495,0.0,0.0,1.0,3.0,9.0,0.182,0.308,0.364,0.671,0.0,0.0,1.0,3.0,5.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,3.0,0.111,0.273,0.222,0.495,0.0,0.0,1.0,3.0,9.0
10,10,2021-09-10,KCR,@,MIN,"W,6-4",GS-10,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.259,0.217,0.477,9,0.8,0.05,0.0,0.00%,0.41,0.0,0.0,C,,2021-09-10,118,142,632541,2021,0.1,0.25,0.2,0.45,0.0,0.0,1.0,3.0,11.0,0.1,0.25,0.2,0.45,0.0,0.0,1.0,3.0,11.0,0.1,0.182,0.1,0.282,0.0,0.0,0.0,1.0,6.0,0.2,0.333,0.2,0.533,0.0,0.0,0.0,1.0,2.0,0.1,0.25,0.2,0.45,0.0,0.0,1.0,3.0,11.0
11,11,2021-09-11,KCR,@,MIN,"L,2-9",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.259,0.217,0.477,3,,,,,,0.0,0.0,C,,2021-09-11,118,142,632527,2021,0.13,0.259,0.304,0.564,0.0,0.0,2.0,5.0,11.0,0.13,0.259,0.304,0.564,0.0,0.0,2.0,5.0,11.0,0.167,0.231,0.333,0.564,0.0,0.0,1.0,3.0,5.0,0.167,0.167,0.5,0.667,0.0,0.0,1.0,2.0,2.0,0.13,0.259,0.304,0.564,0.0,0.0,2.0,5.0,11.0
12,12,2021-09-12,KCR,@,MIN,"W,5-3",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.258,0.222,0.48,9,1.37,-0.072,0.0,0.00%,-0.94,0.0,0.0,C,,2021-09-12,118,142,632519,2021,0.13,0.259,0.304,0.564,0.0,0.0,2.0,5.0,11.0,0.158,0.304,0.368,0.673,0.0,0.0,2.0,5.0,9.0,0.25,0.333,0.5,0.833,0.0,0.0,1.0,3.0,2.0,0.2,0.2,0.6,0.8,0.0,0.0,1.0,2.0,2.0,0.13,0.259,0.304,0.564,0.0,0.0,2.0,5.0,11.0
