Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1266,2021-04-01,CHC,,PIT,"L,3-5",CG,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.25,0.667,0.917,3,1.15,0.015,1.17,0.01%,0.38,0.0,0.0,1B,,2021-04-01,112,134,634634,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,1267,2021-04-03,CHC,,PIT,"W,5-1",CG,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.375,0.5,0.875,3,0.71,-0.02,0.71,-0.01%,0.22,0.0,0.0,1B,,2021-04-03,112,134,634643,2021,0.333,0.25,1.0,1.25,0.0,0.0,1.0,2.0,1.0,0.333,0.25,1.0,1.25,0.0,0.0,1.0,2.0,1.0,0.333,0.25,1.0,1.25,0.0,0.0,1.0,2.0,1.0
3,1268,2021-04-04,CHC,,PIT,"W,4-3",CG,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.417,0.375,0.792,3,0.57,0.035,0.62,0.02%,0.34,0.0,0.0,1B,,2021-04-04,112,134,634613,2021,0.333,0.375,0.667,1.042,0.0,0.0,1.0,3.0,1.0,0.333,0.375,0.667,1.042,0.0,0.0,1.0,3.0,1.0,0.333,0.375,0.667,1.042,0.0,0.0,1.0,3.0,1.0
4,1269,2021-04-05,CHC,,MIL,"W,5-3",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.313,0.25,0.563,4,0.46,-0.047,0.51,-0.03%,-1.0,0.0,0.0,1B,,2021-04-05,112,158,634566,2021,0.25,0.417,0.5,0.917,1.0,0.0,1.0,3.0,1.0,0.25,0.417,0.5,0.917,1.0,0.0,1.0,3.0,1.0,0.25,0.417,0.5,0.917,1.0,0.0,1.0,3.0,1.0
5,1270,2021-04-06,CHC,,MIL,"L,0-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.25,0.188,0.438,3,0.58,-0.074,0.63,-0.05%,-1.24,0.0,0.0,1B,,2021-04-06,112,158,634559,2021,0.167,0.312,0.333,0.646,1.0,0.0,1.0,3.0,1.0,0.167,0.312,0.333,0.646,1.0,0.0,1.0,3.0,1.0,0.167,0.312,0.333,0.646,1.0,0.0,1.0,3.0,1.0
6,1271,2021-04-07,CHC,,MIL,"L,2-4",CG(10),4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.25,0.158,0.408,3,1.33,0.001,1.46,0.00%,-0.29,0.0,0.0,1B,,2021-04-07,112,158,634549,2021,0.125,0.25,0.25,0.5,1.0,0.0,1.0,3.0,3.0,0.125,0.25,0.25,0.5,1.0,0.0,1.0,3.0,3.0,0.125,0.25,0.25,0.5,1.0,0.0,1.0,3.0,3.0
7,1272,2021-04-08,CHC,@,PIT,"W,4-2",CG,4.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.286,0.348,0.634,3,0.87,0.126,0.89,0.08%,0.78,0.0,0.0,1B,,2021-04-08,112,134,634555,2021,0.105,0.25,0.211,0.461,1.0,0.0,1.0,3.0,4.0,0.062,0.25,0.062,0.312,1.0,0.0,0.0,1.0,3.0,0.105,0.25,0.211,0.461,1.0,0.0,1.0,3.0,4.0
8,1273,2021-04-10,CHC,@,PIT,"L,2-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.25,0.296,0.546,3,0.49,-0.048,0.5,-0.03%,-1.29,0.0,0.0,1B,,2021-04-10,112,134,632195,2021,0.174,0.286,0.435,0.72,1.0,0.0,2.0,8.0,4.0,0.118,0.25,0.353,0.603,1.0,0.0,1.0,5.0,3.0,0.174,0.286,0.435,0.72,1.0,0.0,2.0,8.0,4.0
9,1274,2021-04-11,CHC,@,PIT,"L,1-7",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.25,0.267,0.517,3,1.05,-0.1,1.06,-0.06%,-1.13,0.0,0.0,1B,,2021-04-11,112,134,632225,2021,0.148,0.25,0.37,0.62,1.0,0.0,2.0,8.0,5.0,0.105,0.15,0.316,0.466,0.0,0.0,1.0,5.0,4.0,0.148,0.25,0.37,0.62,1.0,0.0,2.0,8.0,5.0
10,1275,2021-04-12,CHC,@,MIL,"L,3-6",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.225,0.235,0.46,3,0.74,-0.076,0.73,-0.05%,-0.93,0.0,0.0,1B,,2021-04-12,112,158,632221,2021,0.133,0.25,0.333,0.583,1.0,0.0,2.0,8.0,6.0,0.111,0.2,0.333,0.533,0.0,0.0,1.0,5.0,5.0,0.133,0.25,0.333,0.583,1.0,0.0,2.0,8.0,6.0
