Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,89 (88),2022-07-12,SDP,@,COL,"L,3-5",CG,4,4,0,2,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,1,0.5,0.5,0.5,1.0,8,1.45,-0.054,1.49,-0.03%,0.27,8.0,9.5,LF CF,,2022-07-12,135,115,662984
2,2,90,2022-07-13,SDP,@,COL,"L,6-10",CG,4,4,0,1,0,1,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.375,0.375,0.625,1.0,9,0.97,-0.028,1.02,-0.02%,-0.49,8.0,9.0,LF,,2022-07-13,135,115,662895
3,3,91,2022-07-14,SDP,@,COL,"L,5-8",CG,4,4,1,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,1,0,0.333,0.333,0.583,0.917,8,0.89,0.017,0.96,0.01%,0.37,12.0,15.2,LF,,2022-07-14,135,115,661100
4,4,92,2022-07-15,SDP,,ARI,"W,5-3",CG,3,3,0,1,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.333,0.533,0.867,9,0.91,0.035,0.91,0.02%,0.28,5.0,6.5,CF RF,,2022-07-15,135,109,662197
5,5,93,2022-07-16,SDP,,ARI,"W,4-3",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.278,0.278,0.444,0.722,8,1.15,-0.088,1.12,-0.05%,-0.8,0.0,0.0,RF,,2022-07-16,135,109,662271
6,6,94,2022-07-17,SDP,,ARI,"L,1-3",7-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.263,0.263,0.421,0.684,8,0.58,-0.015,0.55,-0.01%,-0.1,0.0,0.0,PH CF,,2022-07-17,135,109,662269
7,7,95,2022-07-22,SDP,@,NYM,"W,4-1",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.263,0.263,0.421,0.684,4,,,,,,0.0,0.0,RF,,2022-07-22,135,121,662481
8,8,96,2022-07-23,SDP,@,NYM,"W,2-1",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.263,0.263,0.421,0.684,8,,,,,,0.0,0.0,CF,,2022-07-23,135,121,662495
9,9,97,2022-07-24,SDP,@,NYM,"L,5-8",CG,4,4,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,1,0.261,0.261,0.391,0.652,9,0.75,-0.071,0.69,-0.04%,-0.95,3.0,3.0,CF,,2022-07-24,135,121,662458
10,10,98,2022-07-25,SDP,@,DET,"L,4-12",7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.261,0.261,0.391,0.652,3,,,,,,0.0,0.0,LF,,2022-07-25,135,116,662809
