Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,6.0,31 (30),2021-05-05,STL,,NYM,"L,2-7",CG(7),3,3,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.333,0.333,0.667,1.0,8.0,0.64,-0.029,0.82,-0.02%,-0.53,,,C,2.0,2021-05-05,138,121,634239
2.0,7.0,132 (100),2021-09-01,STL,@,CIN,"L,2-12",5-GF(7),1,1,0,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.5,0.5,1.0,1.5,6.0,0.0,0.0,0.0,0.00%,0.23,,,C,2.0,2021-09-01,138,113,632731
1.0,8.0,76 (75),2024-06-22 00:00:00,MIA,,SEA,"L,0-9",9-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.00%,-0.17,0.0,0.0,PH,,2024-06-22,146,136,746048
2.0,9.0,77,2024-06-23 00:00:00,MIA,,SEA,"W,6-4",CG,3,2,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,9.0,0.44,-0.016,0.01,0.00%,-0.54,0.0,0.0,C,,2024-06-23,146,136,746051
3.0,10.0,79 (1),2024-06-25 00:00:00,MIA,@,KCR,"W,2-1",CG,4,3,0,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.167,0.286,0.167,0.452,9.0,1.0,0.066,0.01,0.00%,0.33,5.0,6.0,C,,2024-06-25,146,118,746293
4.0,11.0,81 (1),2024-06-27 00:00:00,MIA,@,PHI,"W,7-4",CG,4,3,1,2,0,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0,0,0.333,0.455,0.333,0.788,9.0,0.81,0.086,0.01,0.00%,0.6,10.0,12.2,C,,2024-06-27,146,143,745565
5.0,12.0,82,2024-06-28 00:00:00,MIA,@,PHI,"L,0-2",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.357,0.25,0.607,9.0,1.39,-0.148,0.02,0.00%,-1.18,0.0,0.0,C,,2024-06-28,146,143,745560
6.0,13.0,84 (1),2024-06-30 00:00:00,MIA,@,PHI,"L,6-7",CG,4,3,0,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.267,0.389,0.267,0.656,9.0,1.11,-0.053,0.01,0.00%,-0.32,5.0,6.0,C,,2024-06-30,146,143,745555
7.0,14.0,87 (2),2024-07-04 00:00:00,MIA,,BOS,"L,5-6",GS-8,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.235,0.35,0.235,0.585,9.0,0.74,-0.038,0.0,0.00%,-0.29,0.0,0.0,C,,2024-07-04,146,111,746043
8.0,15.0,89 (1),2024-07-06 00:00:00,MIA,,CHW,"W,4-3",CG,4,4,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.238,0.333,0.238,0.571,8.0,1.3,-0.055,0.0,0.00%,-0.49,3.0,3.0,C,,2024-07-06,146,145,746044
9.0,16.0,92 (2),2024-07-10 00:00:00,MIA,@,HOU,"L,1-9",CG,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,1.0,0,0,0.208,0.296,0.208,0.505,9.0,0.58,-0.052,0.0,0.00%,-1.13,0.0,0.0,C,,2024-07-10,146,117,746366
10.0,17.0,94 (1),2024-07-12 00:00:00,MIA,@,CIN,"L,4-7",CG,4,4,0,2,0,0,0,1,0,0.0,0,0,0,0.0,1,0.0,0,0,0.25,0.323,0.25,0.573,9.0,0.7,0.004,0.0,0.00%,0.93,8.0,9.5,C,,2024-07-12,146,113,746685
11.0,18.0,100 (5),2024-07-22 00:00:00,MIA,,NYM,"L,4-6",GS-9,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.226,0.294,0.226,0.52,9.0,1.24,-0.1,0.0,0.00%,-0.94,0.0,0.0,C,,2024-07-22,146,121,746034
12.0,19.0,101,2024-07-23 00:00:00,MIA,,BAL,"W,6-3",CG,3,2,0,0,0,0,0,0,0,0.0,2,0,1,0.0,0,0.0,0,0,0.212,0.278,0.212,0.49,9.0,0.81,-0.027,0.0,0.00%,-0.6,0.0,0.0,C,,2024-07-23,146,110,746036
13.0,20.0,102,2024-07-24 00:00:00,MIA,,BAL,"W,6-3",CG,3,2,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0,0.0,0,0,0.2,0.263,0.2,0.463,9.0,1.33,-0.032,0.0,0.00%,-0.59,0.0,0.0,C,,2024-07-24,146,110,746035
14.0,21.0,103,2024-07-25 00:00:00,MIA,,BAL,"L,6-7",10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.2,0.263,0.2,0.463,4.0,5.12,0.02,0.0,0.00%,0.04,0.0,0.0,C,,2024-07-25,146,110,746037
15.0,22.0,106 (2),2024-07-28 00:00:00,MIA,@,MIL,"L,2-6",GS-9,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.184,0.244,0.184,0.428,9.0,0.76,-0.058,0.0,0.00%,-0.66,0.0,0.0,C,,2024-07-28,146,158,745961
16.0,23.0,108 (1),2024-07-31 00:00:00,MIA,@,TBR,"W,6-2",CG,4,2,1,0,0,0,0,0,1,0.0,1,0,1,0.0,0,0.0,0,1,0.175,0.25,0.175,0.425,9.0,0.7,0.057,0.0,0.00%,0.47,4.0,6.2,C,,2024-07-31,146,139,745061
17.0,24.0,110 (1),2024-08-02 00:00:00,MIA,@,ATL,"L,3-5",GS-9,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.163,0.234,0.163,0.397,9.0,0.45,-0.036,0.0,0.00%,-0.45,0.0,0.0,C,,2024-08-02,146,144,747089
18.0,25.0,112 (1),2024-08-04 00:00:00,MIA,@,ATL,"W,7-0",CG,4,3,1,1,0,0,0,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.174,0.255,0.174,0.429,9.0,0.69,0.106,0.0,0.00%,1.11,9.0,12.7,C,,2024-08-04,146,144,747088
19.0,26.0,113,2024-08-05 00:00:00,MIA,,CIN,"L,3-10",7-GF,1,1,1,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.17,0.25,0.17,0.42,9.0,0.43,-0.011,0.0,0.00%,-0.31,2.0,3.2,PR C,,2024-08-05,146,113,746038
20.0,27.0,114,2024-08-06 00:00:00,MIA,,CIN,"L,2-8",CG,3,3,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.18,0.255,0.18,0.435,9.0,0.43,-0.02,0.0,0.00%,0.05,3.0,3.0,C,,2024-08-06,146,113,746033
21.0,28.0,115,2024-08-07 00:00:00,MIA,,CIN,"W,6-4",CG,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0,0,0.17,0.241,0.17,0.411,9.0,0.18,-0.015,0.0,0.00%,-1.32,0.0,0.0,C,,2024-08-07,146,113,746031
22.0,29.0,117 (1),2024-08-09 00:00:00,MIA,,SDP,"L,2-6",GS-10,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.161,0.23,0.161,0.39,9.0,0.58,-0.045,0.0,0.00%,-0.6,0.0,0.0,C,,2024-08-09,146,135,746032
23.0,30.0,119 (1),2024-08-11 00:00:00,MIA,,SDP,"W,7-6",CG,4,3,0,0,0,0,0,0,0,0.0,1,0,1,0.0,0,0.0,0,0,0.153,0.219,0.153,0.371,9.0,0.63,-0.067,0.0,0.00%,-1.24,0.0,0.0,C,,2024-08-11,146,135,746025
24.0,31.0,120,2024-08-13 00:00:00,MIA,@,PHI,"W,5-0",CG,4,4,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.159,0.221,0.175,0.395,9.0,0.36,-0.018,0.0,0.00%,-0.37,5.0,6.0,C,,2024-08-13,146,143,745548
25.0,32.0,121,2024-08-14 00:00:00,MIA,@,PHI,"L,5-9",GS-8,3,3,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.152,0.211,0.167,0.378,9.0,1.1,-0.088,0.0,0.00%,-0.84,0.0,0.0,C,,2024-08-14,146,143,745544
26.0,33.0,122,2024-08-16 00:00:00,MIA,@,NYM,"L,3-7",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.145,0.203,0.159,0.362,9.0,0.45,-0.034,0.0,0.00%,-0.48,0.0,0.0,C,,2024-08-16,146,121,745784
