Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,6.0,2021-05-05,STL,,NYM,"L,2-7",CG(7),3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,1.0,8.0,0.64,-0.029,0.82,-0.02%,-0.53,0.0,0.0,C,2.0,2021-05-05,138,121,634239,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,7.0,2021-09-01,STL,@,CIN,"L,2-12",5-GF(7),1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,6.0,0.0,0.0,0.0,0.00%,0.23,0.0,0.0,C,2.0,2021-09-01,138,113,632731,2021,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,0.0,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,0.0,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,0.0,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,0.0,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,0.0
1.0,8.0,2024-06-22 00:00:00,MIA,,SEA,"L,0-9",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.00%,-0.17,0.0,0.0,PH,,2024-06-22,146,136,746048,2024,0.5,0.5,1.5,2.0,0.0,0.0,2.0,4.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,2.0,4.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,2.0,4.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,2.0,4.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,9.0,2024-06-23 00:00:00,MIA,,SEA,"W,6-4",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.44,-0.016,0.01,0.00%,-0.54,0.0,0.0,C,,2024-06-23,146,136,746051,2024,0.4,0.4,1.2,1.6,0.0,0.0,2.0,4.0,1.0,0.4,0.4,1.2,1.6,0.0,0.0,2.0,4.0,1.0,0.4,0.4,1.2,1.6,0.0,0.0,2.0,4.0,1.0,0.4,0.4,1.2,1.6,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.0,10.0,2024-06-25 00:00:00,MIA,@,KCR,"W,2-1",CG,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.286,0.167,0.452,9.0,1.0,0.066,0.01,0.00%,0.33,5.0,6.0,C,,2024-06-25,146,118,746293,2024,0.286,0.286,0.857,1.143,0.0,0.0,2.0,4.0,2.0,0.286,0.286,0.857,1.143,0.0,0.0,2.0,4.0,2.0,0.286,0.286,0.857,1.143,0.0,0.0,2.0,4.0,2.0,0.25,0.25,0.75,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
4.0,11.0,2024-06-27 00:00:00,MIA,@,PHI,"W,7-4",CG,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.455,0.333,0.788,9.0,0.81,0.086,0.01,0.00%,0.6,10.0,12.2,C,,2024-06-27,146,143,745565,2024,0.3,0.364,0.7,1.064,0.0,0.0,2.0,5.0,3.0,0.3,0.364,0.7,1.064,0.0,0.0,2.0,5.0,3.0,0.3,0.364,0.7,1.064,0.0,0.0,2.0,5.0,3.0,0.167,0.286,0.167,0.452,0.0,0.0,0.0,1.0,3.0,0.167,0.286,0.167,0.452,0.0,0.0,0.0,1.0,3.0
5.0,12.0,2024-06-28 00:00:00,MIA,@,PHI,"L,0-2",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.357,0.25,0.607,9.0,1.39,-0.148,0.02,0.00%,-1.18,0.0,0.0,C,,2024-06-28,146,143,745560,2024,0.385,0.467,0.692,1.159,0.0,0.0,2.0,7.0,3.0,0.385,0.467,0.692,1.159,0.0,0.0,2.0,7.0,3.0,0.4,0.5,0.6,1.1,0.0,0.0,1.0,5.0,3.0,0.375,0.5,0.375,0.875,0.0,0.0,0.0,3.0,2.0,0.333,0.455,0.333,0.788,0.0,0.0,0.0,3.0,3.0
6.0,13.0,2024-06-30 00:00:00,MIA,@,PHI,"L,6-7",CG,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.389,0.267,0.656,9.0,1.11,-0.053,0.01,0.00%,-0.32,5.0,6.0,C,,2024-06-30,146,143,745555,2024,0.312,0.389,0.562,0.951,0.0,0.0,2.0,7.0,4.0,0.312,0.389,0.562,0.951,0.0,0.0,2.0,7.0,4.0,0.25,0.357,0.25,0.607,0.0,0.0,0.0,3.0,4.0,0.333,0.455,0.333,0.788,0.0,0.0,0.0,3.0,2.0,0.25,0.357,0.25,0.607,0.0,0.0,0.0,3.0,4.0
7.0,14.0,2024-07-04 00:00:00,MIA,,BOS,"L,5-6",GS-8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.35,0.235,0.585,9.0,0.74,-0.038,0.0,0.00%,-0.29,0.0,0.0,C,,2024-07-04,146,111,746043,2024,0.316,0.409,0.526,0.935,0.0,0.0,2.0,8.0,5.0,0.316,0.409,0.526,0.935,0.0,0.0,2.0,8.0,5.0,0.286,0.412,0.286,0.697,0.0,0.0,0.0,4.0,4.0,0.333,0.455,0.333,0.788,0.0,0.0,0.0,3.0,2.0,0.267,0.389,0.267,0.656,0.0,0.0,0.0,4.0,5.0
8.0,15.0,2024-07-06 00:00:00,MIA,,CHW,"W,4-3",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.333,0.238,0.571,8.0,1.3,-0.055,0.0,0.00%,-0.49,3.0,3.0,C,,2024-07-06,146,145,746044,2024,0.286,0.375,0.476,0.851,0.0,0.0,2.0,8.0,5.0,0.286,0.375,0.476,0.851,0.0,0.0,2.0,8.0,5.0,0.286,0.412,0.286,0.697,0.0,0.0,0.0,4.0,3.0,0.125,0.222,0.125,0.347,0.0,0.0,0.0,1.0,2.0,0.235,0.35,0.235,0.585,0.0,0.0,0.0,4.0,5.0
9.0,16.0,2024-07-10 00:00:00,MIA,@,HOU,"L,1-9",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.208,0.296,0.208,0.505,9.0,0.58,-0.052,0.0,0.00%,-1.13,0.0,0.0,C,,2024-07-10,146,117,746366,2024,0.28,0.357,0.44,0.797,0.0,0.0,2.0,9.0,6.0,0.28,0.357,0.44,0.797,0.0,0.0,2.0,9.0,6.0,0.267,0.353,0.267,0.62,0.0,0.0,0.0,4.0,3.0,0.222,0.3,0.222,0.522,0.0,0.0,0.0,2.0,2.0,0.238,0.333,0.238,0.571,0.0,0.0,0.0,5.0,6.0
10.0,17.0,2024-07-12 00:00:00,MIA,@,CIN,"L,4-7",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.323,0.25,0.573,9.0,0.7,0.004,0.0,0.00%,0.93,8.0,9.5,C,,2024-07-12,146,113,746685,2024,0.25,0.323,0.393,0.715,0.0,0.0,2.0,9.0,8.0,0.24,0.321,0.32,0.641,0.0,0.0,1.0,7.0,8.0,0.133,0.188,0.133,0.321,0.0,0.0,0.0,2.0,5.0,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,3.0,0.208,0.296,0.208,0.505,0.0,0.0,0.0,5.0,8.0
11.0,18.0,2024-07-22 00:00:00,MIA,,NYM,"L,4-6",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.294,0.226,0.52,9.0,1.24,-0.1,0.0,0.00%,-0.94,0.0,0.0,C,,2024-07-22,146,121,746034,2024,0.281,0.343,0.406,0.749,0.0,0.0,2.0,11.0,8.0,0.25,0.323,0.25,0.573,0.0,0.0,0.0,7.0,8.0,0.25,0.294,0.25,0.544,0.0,0.0,0.0,4.0,4.0,0.273,0.273,0.273,0.545,0.0,0.0,0.0,3.0,3.0,0.25,0.323,0.25,0.573,0.0,0.0,0.0,7.0,8.0
12.0,19.0,2024-07-23 00:00:00,MIA,,BAL,"W,6-3",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.212,0.278,0.212,0.49,9.0,0.81,-0.027,0.0,0.00%,-0.6,0.0,0.0,C,,2024-07-23,146,110,746036,2024,0.257,0.316,0.371,0.687,0.0,0.0,2.0,11.0,8.0,0.233,0.303,0.233,0.536,0.0,0.0,0.0,7.0,7.0,0.188,0.188,0.188,0.375,0.0,0.0,0.0,3.0,3.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,2.0,2.0,0.226,0.294,0.226,0.52,0.0,0.0,0.0,7.0,8.0
13.0,20.0,2024-07-24 00:00:00,MIA,,BAL,"W,6-3",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.263,0.2,0.463,9.0,1.33,-0.032,0.0,0.00%,-0.59,0.0,0.0,C,,2024-07-24,146,110,746035,2024,0.243,0.3,0.351,0.651,0.0,0.0,2.0,11.0,10.0,0.233,0.303,0.233,0.536,0.0,0.0,0.0,7.0,8.0,0.188,0.188,0.188,0.375,0.0,0.0,0.0,3.0,5.0,0.222,0.222,0.222,0.444,0.0,0.0,0.0,2.0,2.0,0.212,0.278,0.212,0.49,0.0,0.0,0.0,7.0,10.0
14.0,21.0,2024-07-25 00:00:00,MIA,,BAL,"L,6-7",10-GF(10),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.263,0.2,0.463,4.0,5.12,0.02,0.0,0.00%,0.04,0.0,0.0,C,,2024-07-25,146,110,746037,2024,0.231,0.286,0.333,0.619,0.0,0.0,2.0,11.0,11.0,0.207,0.258,0.207,0.465,0.0,0.0,0.0,6.0,8.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.263,0.2,0.463,0.0,0.0,0.0,7.0,11.0
15.0,22.0,2024-07-28 00:00:00,MIA,@,MIL,"L,2-6",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.244,0.184,0.428,9.0,0.76,-0.058,0.0,0.00%,-0.66,0.0,0.0,C,,2024-07-28,146,158,745961,2024,0.231,0.286,0.333,0.619,0.0,0.0,2.0,11.0,11.0,0.154,0.185,0.154,0.339,0.0,0.0,0.0,4.0,8.0,0.182,0.182,0.182,0.364,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.263,0.2,0.463,0.0,0.0,0.0,7.0,11.0
16.0,23.0,2024-07-31 00:00:00,MIA,@,TBR,"W,6-2",CG,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.175,0.25,0.175,0.425,9.0,0.7,0.057,0.0,0.00%,0.47,4.0,6.2,C,,2024-07-31,146,139,745061,2024,0.214,0.267,0.31,0.576,0.0,0.0,2.0,11.0,12.0,0.154,0.185,0.154,0.339,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.184,0.244,0.184,0.428,0.0,0.0,0.0,7.0,12.0
17.0,24.0,2024-08-02 00:00:00,MIA,@,ATL,"L,3-5",GS-9,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.234,0.163,0.397,9.0,0.45,-0.036,0.0,0.00%,-0.45,0.0,0.0,C,,2024-08-02,146,144,747089,2024,0.205,0.271,0.295,0.566,0.0,1.0,2.0,11.0,13.0,0.12,0.154,0.12,0.274,0.0,1.0,0.0,3.0,8.0,0.0,0.1,0.0,0.1,0.0,1.0,0.0,0.0,5.0,0.0,0.167,0.0,0.167,0.0,1.0,0.0,0.0,2.0,0.175,0.25,0.175,0.425,0.0,1.0,0.0,7.0,13.0
18.0,25.0,2024-08-04 00:00:00,MIA,@,ATL,"W,7-0",CG,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.255,0.174,0.429,9.0,0.69,0.106,0.0,0.00%,1.11,9.0,12.7,C,,2024-08-04,146,144,747088,2024,0.191,0.255,0.277,0.531,0.0,1.0,2.0,11.0,14.0,0.115,0.148,0.115,0.264,0.0,1.0,0.0,3.0,9.0,0.0,0.091,0.0,0.091,0.0,1.0,0.0,0.0,4.0,0.0,0.111,0.0,0.111,0.0,1.0,0.0,0.0,3.0,0.163,0.234,0.163,0.397,0.0,1.0,0.0,7.0,14.0
19.0,26.0,2024-08-05 00:00:00,MIA,,CIN,"L,3-10",7-GF,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.25,0.17,0.42,9.0,0.43,-0.011,0.0,0.00%,-0.31,2.0,3.2,PR C,,2024-08-05,146,113,746038,2024,0.2,0.273,0.28,0.553,0.0,1.0,2.0,12.0,14.0,0.12,0.185,0.12,0.305,0.0,1.0,0.0,3.0,8.0,0.091,0.231,0.091,0.322,0.0,1.0,0.0,1.0,3.0,0.125,0.3,0.125,0.425,0.0,1.0,0.0,1.0,2.0,0.174,0.255,0.174,0.429,0.0,1.0,0.0,8.0,14.0
