Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,658,2022-06-29,BOS,@,TOR,"W,6-5",GS-9,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,8,1.7,-0.001,1.67,0.00%,-0.08,2.0,3.0,2B,,2022-06-29,111,141,661727,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,659,2022-07-22,BOS,,TOR,"L,5-28",7-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,4,0.0,0.0,0.0,0.00%,-0.11,0.0,0.0,P 2B,,2022-07-22,111,141,663222,2022,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3,660,2022-07-23,BOS,,TOR,"L,1-4",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.286,8,0.96,-0.011,0.86,-0.01%,-0.34,2.0,3.0,2B,,2022-07-23,111,141,663221,2022,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,1.0
4,661,2022-07-24,BOS,,TOR,"L,4-8",CG,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.143,0.455,0.143,0.597,8,0.67,0.045,0.58,0.02%,0.7,9.0,12.5,2B,,2022-07-24,111,141,663220,2022,0.0,0.286,0.0,0.286,0.0,0.0,0.0,0.0,2.0,0.0,0.286,0.0,0.286,0.0,0.0,0.0,0.0,2.0,0.0,0.286,0.0,0.286,0.0,0.0,0.0,0.0,2.0
5,662,2022-07-25,BOS,,CLE,"W,3-1",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.429,0.2,0.629,9,0.87,-0.006,0.67,0.00%,-0.27,5.0,6.5,2B,,2022-07-25,111,114,663219,2022,0.143,0.455,0.143,0.597,0.0,1.0,0.0,1.0,3.0,0.143,0.455,0.143,0.597,0.0,1.0,0.0,1.0,3.0,0.143,0.455,0.143,0.597,0.0,1.0,0.0,1.0,3.0
6,663,2022-07-26,BOS,,CLE,"L,3-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.333,0.143,0.476,7,0.56,-0.056,0.45,-0.03%,-0.97,0.0,0.0,2B,,2022-07-26,111,114,663203,2022,0.2,0.429,0.2,0.629,0.0,1.0,0.0,2.0,3.0,0.2,0.429,0.2,0.629,0.0,1.0,0.0,2.0,3.0,0.2,0.429,0.2,0.629,0.0,1.0,0.0,2.0,3.0
7,664,2022-07-27,BOS,,CLE,"L,6-7",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.273,0.111,0.384,9,1.38,-0.14,0.98,-0.06%,-0.75,0.0,0.0,2B,,2022-07-27,111,114,663191,2022,0.143,0.333,0.143,0.476,0.0,1.0,0.0,2.0,4.0,0.154,0.312,0.154,0.466,0.0,1.0,0.0,2.0,4.0,0.143,0.333,0.143,0.476,0.0,1.0,0.0,2.0,4.0
8,665,2022-07-28,BOS,,CLE,"W,4-2",9-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.273,0.111,0.384,6,,,,,,0.0,0.0,2B,,2022-07-28,111,114,663200,2022,0.111,0.273,0.111,0.384,0.0,1.0,0.0,2.0,5.0,0.125,0.263,0.125,0.388,0.0,1.0,0.0,2.0,4.0,0.111,0.273,0.111,0.384,0.0,1.0,0.0,2.0,5.0
9,666,2022-07-29,BOS,,MIL,"L,1-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.231,0.091,0.322,9,1.68,-0.175,1.14,-0.07%,-1.16,0.0,0.0,2B,,2022-07-29,111,158,663190,2022,0.111,0.273,0.111,0.384,0.0,1.0,0.0,2.0,5.0,0.154,0.267,0.154,0.421,0.0,1.0,0.0,2.0,3.0,0.111,0.273,0.111,0.384,0.0,1.0,0.0,2.0,5.0
10,667,2022-07-31,BOS,,MIL,"W,7-2",CG,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.2,0.077,0.277,8,0.85,0.054,0.45,0.02%,-0.17,2.0,3.2,2B,,2022-07-31,111,158,663189,2022,0.091,0.231,0.091,0.322,0.0,1.0,0.0,2.0,8.0,0.067,0.067,0.067,0.133,0.0,0.0,0.0,1.0,5.0,0.091,0.231,0.091,0.322,0.0,1.0,0.0,2.0,8.0
