Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,123 (122),2023-08-18,LAA,,TBR,"L,6-9",CG(10),5,4,2,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.4,0.25,0.65,1,1.7,0.062,0.19,0.01%,0.44,9.0,12.4,1B,,2023-08-18,108,139,716945
2,2,124,2023-08-19,LAA,,TBR,"W,7-6",CG,4,4,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.333,0.25,0.583,1,1.28,0.05,0.11,0.00%,0.47,5.0,6.2,1B,1.0,2023-08-19,108,139,716915
3,3,125,2023-08-19,LAA,,TBR,"L,4-18",CG,5,4,1,1,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.357,0.25,0.607,1,0.55,-0.074,0.06,-0.01%,-0.34,7.0,9.2,1B,2.0,2023-08-19,108,139,716925
4,4,126,2023-08-22,LAA,,CIN,"L,3-4",GS-8,3,3,0,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.267,0.353,0.267,0.62,1,1.03,-0.027,0.05,0.00%,-0.11,3.0,3.0,1B,,2023-08-22,108,113,716892
5,5,127,2023-08-23,LAA,,CIN,"L,4-9",3-GF,4,1,0,1,0,0,0,0,3,0.0,0,0,0,0.0,0,0.0,0,0,0.313,0.476,0.313,0.789,2,0.95,0.112,0.03,0.00%,0.86,9.0,12.0,PH DH,1.0,2023-08-23,108,113,716890
6,6,128,2023-08-23,LAA,,CIN,"L,3-7",CG,5,3,1,2,0,0,0,1,2,0.0,0,0,0,0.0,0,0.0,0,0,0.368,0.538,0.368,0.907,1,1.36,0.107,0.02,0.00%,1.53,14.0,18.7,1B,2.0,2023-08-23,108,113,716903
7,7,129,2023-08-25,LAA,@,NYM,"W,3-1",CG,5,4,1,1,0,0,0,1,0,0.0,2,1,0,0.0,0,0.0,0,0,0.348,0.516,0.348,0.864,1,0.94,0.07,0.01,0.00%,0.8,9.0,12.7,1B,,2023-08-25,108,121,716855
8,8,132 (2),2023-08-28,LAA,@,PHI,"L,4-6",CG,5,4,2,1,1,0,0,0,0,0.0,0,1,0,0.0,0,0.0,0,0,0.333,0.5,0.37,0.87,1,0.95,0.006,0.01,0.00%,0.32,11.0,15.4,1B,,2023-08-28,108,143,716817
9,9,133,2023-08-29,LAA,@,PHI,"L,7-12",CG,5,5,1,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.344,0.488,0.375,0.863,1,0.88,-0.048,0.01,0.00%,0.6,8.0,9.2,1B,,2023-08-29,108,143,716806
10,10,134,2023-08-30,LAA,@,PHI,"W,10-8",CG,5,5,2,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.324,0.457,0.351,0.808,1,1.82,0.148,0.0,0.00%,-0.23,7.0,9.4,1B,,2023-08-30,108,143,716787
11,11,135,2023-09-01,LAA,@,OAK,"L,2-9",CG,5,4,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.293,0.431,0.317,0.748,1,0.59,-0.034,0.0,0.00%,-0.65,2.0,3.0,1B,,2023-09-01,108,133,716758
12,12,136,2023-09-02,LAA,@,OAK,"L,1-2",CG,5,3,1,0,0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,0,0,0.273,0.429,0.295,0.724,1,2.04,-0.083,0.01,0.00%,-0.29,6.0,9.2,1B,,2023-09-02,108,133,716755
13,13,138 (1),2023-09-04,LAA,,BAL,"L,3-6",CG,4,3,0,1,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.277,0.433,0.298,0.731,1,0.98,0.026,0.0,0.00%,0.29,5.0,6.0,1B,,2023-09-04,108,110,716713
14,14,139,2023-09-05,LAA,,BAL,"L,4-5",CG(10),6,5,1,2,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.288,0.439,0.308,0.747,1,1.59,-0.127,0.0,0.00%,-0.34,10.0,12.2,1B,,2023-09-05,108,110,716706
15,15,140,2023-09-06,LAA,,BAL,"L,3-10",CG,4,4,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.286,0.429,0.304,0.732,1,0.84,-0.039,0.0,0.00%,-0.36,3.0,3.0,1B,,2023-09-06,108,110,716690
16,16,141,2023-09-07,LAA,,CLE,"W,3-2",CG,5,4,0,1,0,0,0,0,1,1.0,2,0,0,0.0,0,0.0,0,0,0.283,0.427,0.3,0.727,1,1.94,-0.062,0.0,0.00%,-0.54,5.0,6.0,1B,,2023-09-07,108,114,716684
17,17,142,2023-09-08,LAA,,CLE,"L,3-6",GS-9,4,3,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.27,0.418,0.286,0.703,1,1.21,-0.054,0.0,0.00%,-0.28,2.0,3.0,1B,,2023-09-08,108,114,716667
