Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,12,13 (12),2021-04-16,CIN,,CLE,"W,10-3",7-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,.00,0.000,.00,0.00%,0.22,,,PH 3B,,2021-04-16,113,114,634482
2,13,14,2021-04-17,CIN,,CLE,"W,3-2",6-9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.333,.333,.333,.667,9,1.72,0.057,1.84,0.04%,-0.02,,,PH 3B,,2021-04-17,113,114,634460
3,14,15,2021-04-18,CIN,,CLE,"L,3-6",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,.143,.143,.143,.286,6,.97,0.034,1.06,0.02%,0.17,,,2B 3B,,2021-04-18,113,114,634487
4,15,16,2021-04-20,CIN,,ARI,"L,4-5",4-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.125,.125,.250,9,2.16,-0.058,2.41,-0.04%,-0.47,,,PH,,2021-04-20,113,109,634408
5,16,18 (1),2021-04-22,CIN,,ARI,"L,11-14",9-GF(10),1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.111,.111,.111,.222,5,1.49,-0.040,1.51,-0.02%,-0.12,,,3B,,2021-04-22,113,109,634514
6,17,42 (23),2021-05-20,CIN,,SFG,"L,4-19",7-GF,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.182,.182,.182,.364,1,.01,-0.001,.01,0.00%,-0.51,,,PH P 1B,,2021-05-20,113,137,634020
7,18,45 (2),2021-05-23,CIN,,MIL,"L,4-9",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.133,.133,.133,.267,7,.73,-0.071,.62,-0.04%,-1.07,,,2B,,2021-05-23,113,158,633989
8,19,47 (1),2021-05-26,CIN,@,WSN,"L,3-5",6-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.125,.125,.125,.250,9,.28,-0.008,.23,0.00%,-0.32,,,1B,,2021-05-26,113,120,633890
9,20,48,2021-05-27,CIN,@,WSN,"W,3-0",CG(7),3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.211,.263,.474,7,.57,0.022,.41,0.01%,0.31,,,2B,,2021-05-27,113,120,633890
10,21,49,2021-05-28,CIN,@,CHC,"L,0-1",CG,4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.227,.261,.318,.579,7,.86,0.008,.77,0.00%,0.14,,,3B,,2021-05-28,113,112,634024
11,22,50,2021-05-29,CIN,@,CHC,"L,2-10",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.192,.222,.269,.491,6,.96,-0.156,.74,-0.07%,-1.39,,,2B 3B,,2021-05-29,113,112,633875
12,23,52 (1),2021-05-31,CIN,,PHI,"W,11-1",GS-7,4,4,2,3,1,1,1,3,0,0,1,0,0,0,0,0,0,0,.267,.290,.533,.824,5,.52,0.167,.32,0.06%,3.73,,,2B,,2021-05-31,113,143,633983
13,24,98 (45),2021-07-24,CIN,,STL,"W,5-3",8-9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.258,.281,.516,.797,9,.27,-0.008,.29,-0.01%,-0.25,,,PH,,2021-07-24,113,138,633175
14,25,99,2021-07-25,CIN,,STL,"L,6-10",4-GF,4,3,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.265,.306,.529,.835,9,.53,0.053,.57,0.04%,1.36,,,PH 2B,,2021-07-25,113,138,633177
15,26,100,2021-07-26,CIN,@,CHC,"L,5-6",8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.257,.297,.514,.812,9,2.37,-0.072,2.39,-0.04%,-0.81,,,PH,,2021-07-26,113,112,633182
16,27,102 (1),2021-07-28,CIN,@,CHC,"W,8-2",8-8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.257,.316,.514,.830,8,.23,0.000,.21,0.00%,0.17,,,PH,,2021-07-28,113,112,633103
17,28,103,2021-07-29,CIN,@,CHC,"W,7-4",8-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.250,.308,.500,.808,9,.17,-0.004,.17,0.00%,-0.30,,,PH,,2021-07-29,113,112,633124
18,29,104,2021-07-30,CIN,@,NYM,"W,6-2",7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.243,.300,.486,.786,9,.59,-0.015,.61,-0.01%,-0.23,,,PH,,2021-07-30,113,121,633100
19,30,105,2021-07-31,CIN,@,NYM,"L,4-5",10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.243,.300,.486,.786,6,,,,,,,,3B,,2021-07-31,113,121,633063
20,31,106,2021-08-01,CIN,@,NYM,"W,7-1",CG,5,5,3,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.333,.378,.619,.997,5,.41,0.199,.45,0.13%,2.78,,,1B,,2021-08-01,113,121,633129
21,32,107,2021-08-03,CIN,,MIN,"L,5-7",GS-8,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.318,.375,.591,.966,5,.73,-0.002,.76,0.00%,-0.05,,,RF,,2021-08-03,113,142,633045
22,33,108,2021-08-04,CIN,,MIN,"W,6-5",6-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.311,.367,.578,.945,9,.16,-0.004,.16,0.00%,-0.18,,,PH,,2021-08-04,113,142,633071
23,34,128 (19),2021-08-25,CIN,@,MIL,"L,1-4",8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.304,.360,.565,.925,9,.98,-0.024,1.28,-0.02%,-0.16,,,PH,,2021-08-25,113,158,632761
24,35,130 (1),2021-08-27,CIN,@,MIA,"W,6-0",GS-6,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,.298,.365,.553,.919,8,.76,-0.002,.78,0.00%,0.03,,,LF,,2021-08-27,113,146,632742
25,36,131,2021-08-28,CIN,@,MIA,"L,1-6",GS-9,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.320,.382,.560,.942,8,.58,0.044,.65,0.03%,0.54,,,LF,,2021-08-28,113,146,632757
26,37,132,2021-08-29,CIN,@,MIA,"L,1-2",7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.320,.382,.560,.942,6,,,,,,,,3B,,2021-08-29,113,146,632684
27,38,134 (1),2021-09-01,CIN,,STL,"L,4-5",GS-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.314,.375,.549,.924,8,2.52,-0.059,3.24,-0.05%,-0.51,,,LF,1.0,2021-09-01,113,138,632699
28,39,135,2021-09-01,CIN,,STL,"W,12-2",6-GF(7),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.314,.375,.549,.924,4,,,,,,,,1B,2.0,2021-09-01,113,138,632731
29,40,136,2021-09-03,CIN,,DET,"L,5-15",5-GF,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.333,.390,.556,.945,8,.45,0.058,.50,0.04%,0.81,,,PH P LF,,2021-09-03,113,116,632654
30,41,137,2021-09-04,CIN,,DET,"W,7-4",6-7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.345,.400,.564,.964,9,.67,0.024,.74,0.02%,0.28,,,PH,,2021-09-04,113,116,632649
31,42,138,2021-09-05,CIN,,DET,"L,1-4",CG,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.397,.544,.941,8,1.38,-0.019,1.61,-0.01%,0.26,,,LF,,2021-09-05,113,116,632618
32,43,139,2021-09-06,CIN,@,CHC,"L,3-4",6-GF,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.339,.400,.559,.959,8,2.43,0.132,2.62,0.09%,1.00,,,PH LF,,2021-09-06,113,112,632597
33,44,140,2021-09-07,CIN,@,CHC,"W,4-3",GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.323,.382,.532,.915,8,.89,-0.068,.94,-0.04%,-0.76,,,LF,,2021-09-07,113,112,632637
34,45,141,2021-09-08,CIN,@,CHC,"L,1-4",CG(10),4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.318,.375,.515,.890,8,2.09,-0.168,2.49,-0.12%,-0.60,,,3B LF,,2021-09-08,113,112,632566
35,46,143 (1),2021-09-11,CIN,@,STL,"L,4-6",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.314,.368,.500,.868,2,.80,-0.061,1.20,-0.05%,-0.47,,,LF,,2021-09-11,113,138,632525
36,47,144,2021-09-12,CIN,@,STL,"L,0-2",7-GF,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.319,.372,.500,.872,6,1.08,0.003,1.75,0.00%,-0.06,,,PH LF,,2021-09-12,113,138,632516
37,48,145,2021-09-14,CIN,@,PIT,"L,5-6",6-8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.329,.380,.507,.887,7,.66,0.024,.87,0.02%,0.66,,,PH LF,,2021-09-14,113,134,632503
38,49,146,2021-09-15,CIN,@,PIT,"L,4-5",CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.329,.386,.500,.886,2,1.38,0.056,1.70,0.04%,0.52,,,LF,,2021-09-15,113,134,632487
39,50,147,2021-09-16,CIN,@,PIT,"W,1-0",GS-8,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.329,.384,.494,.877,2,.64,-0.008,.63,-0.01%,-0.01,,,LF,,2021-09-16,113,134,632462
