Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,14 (13),2024-04-12,OAK,,WSN,"W,2-1",10-GF(10),0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,5,,0.0,,0.00%,0.0,2.0,3.2,PR,,2024-04-12,133,120,745679
2,2,15,2024-04-13,OAK,,WSN,"L,1-3",GS-9,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,1.0,0,0,0.0,0.0,0.0,0.0,7,1.19,-0.128,0.97,-0.06%,-1.07,0.0,0.0,CF 3B,,2024-04-13,133,120,745676
3,3,16,2024-04-14,OAK,,WSN,"W,7-6",7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.0,0.0,0.0,0.0,5,,,,,,0.0,0.0,PR 3B,,2024-04-14,133,120,745681
4,4,17,2024-04-15,OAK,,STL,"L,1-3",8-GF,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,9,1.1,-0.027,0.88,-0.01%,-0.15,0.0,0.0,PH RF,,2024-04-15,133,138,745677
5,5,19 (1),2024-04-17,OAK,,STL,"W,6-3",GS-6,2,1,1,0,0,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0.167,0.0,0.167,9,1.79,-0.051,1.31,-0.02%,-0.3,4.0,6.2,LF,,2024-04-17,133,138,745671
6,6,21 (1),2024-04-20,OAK,@,CLE,"L,3-6",GS-9,3,2,1,1,0,0,1,1,1,0.0,0,0,0,0.0,0,0.0,1,0,0.143,0.333,0.571,0.905,9,1.14,0.189,0.92,0.09%,1.12,21.0,27.7,3B SS,,2024-04-20,133,114,746651
7,7,23 (1),2024-04-22,OAK,@,NYY,"W,2-0",GS-8,2,2,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.111,0.273,0.444,0.717,9,0.79,-0.044,0.53,-0.02%,-0.35,0.0,0.0,LF,,2024-04-22,133,147,745757
8,8,24,2024-04-23,OAK,@,NYY,"L,3-4",7-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.1,0.25,0.4,0.65,9,1.44,-0.038,1.06,-0.02%,-0.11,0.0,0.0,SS,,2024-04-23,133,147,745754
9,9,26 (1),2024-04-25,OAK,@,NYY,"W,3-1",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.077,0.2,0.308,0.508,7,0.82,-0.066,0.49,-0.02%,-0.74,0.0,0.0,2B,,2024-04-25,133,147,745755
10,10,27,2024-04-26,OAK,@,BAL,"W,3-2",GS-7,2,2,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.133,0.235,0.333,0.569,9,0.48,0.008,0.34,0.00%,0.02,3.0,3.0,2B,,2024-04-26,133,110,747050
