Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,7,2021-06-30,OAK,,TEX,"W,3-1",GS-7,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,2.5,8,0.56,0.16,0.84,0.14%,1.65,0.0,0.0,DH,,2021-06-30,133,140,633461,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,8,2021-07-01,OAK,,TEX,"L,3-8",8-GF,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,1.333,1.667,3,0.0,0.012,0.0,0.01%,1.36,0.0,0.0,PH 1B,,2021-07-01,133,140,633405,2021,0.5,0.5,2.5,3.0,0.0,0.0,1.0,4.0,1.0,0.5,0.5,2.5,3.0,0.0,0.0,1.0,4.0,1.0,0.5,0.5,2.5,3.0,0.0,0.0,1.0,4.0,1.0
3,9,2021-07-02,OAK,,BOS,"L,2-3",CG(10),4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.714,1.0,8,2.01,-0.165,3.11,-0.15%,-0.45,0.0,0.0,DH,,2021-07-02,133,111,633452,2021,0.333,0.333,1.667,2.0,0.0,0.0,1.0,4.0,1.0,0.333,0.333,1.667,2.0,0.0,0.0,1.0,4.0,1.0,0.333,0.333,1.667,2.0,0.0,0.0,1.0,4.0,1.0
4,10,2021-07-03,OAK,,BOS,"W,7-6",2-9,4.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.273,0.636,0.909,5,1.87,0.05,2.84,0.05%,0.28,0.0,0.0,PH DH,,2021-07-03,133,111,633401,2021,0.286,0.286,0.857,1.143,0.0,0.0,1.0,5.0,1.0,0.286,0.286,0.857,1.143,0.0,0.0,1.0,5.0,1.0,0.286,0.286,0.857,1.143,0.0,0.0,1.0,5.0,1.0
5,11,2021-07-06,OAK,@,HOU,"L,6-9",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.467,0.667,9,0.79,-0.091,1.48,-0.10%,-1.04,0.0,0.0,DH,,2021-07-06,133,117,633406,2021,0.273,0.273,0.818,1.091,0.0,0.0,2.0,7.0,2.0,0.273,0.273,0.818,1.091,0.0,0.0,2.0,7.0,2.0,0.273,0.273,0.818,1.091,0.0,0.0,2.0,7.0,2.0
6,12,2021-07-07,OAK,@,HOU,"L,3-4",7-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.188,0.188,0.438,0.625,8,1.54,0.059,2.72,0.06%,0.39,0.0,0.0,PH,,2021-07-07,133,117,633368,2021,0.2,0.2,0.6,0.8,0.0,0.0,2.0,7.0,4.0,0.2,0.2,0.6,0.8,0.0,0.0,2.0,7.0,4.0,0.2,0.2,0.6,0.8,0.0,0.0,2.0,7.0,4.0
7,13,2021-07-09,OAK,@,TEX,"L,2-3",7-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.176,0.412,0.588,7,1.73,-0.044,2.37,-0.04%,-0.25,0.0,0.0,PH,,2021-07-09,133,140,633345,2021,0.188,0.188,0.562,0.75,0.0,0.0,2.0,7.0,4.0,0.143,0.143,0.286,0.429,0.0,0.0,1.0,3.0,3.0,0.188,0.188,0.562,0.75,0.0,0.0,2.0,7.0,4.0
8,14,2021-07-11,OAK,@,TEX,"W,4-1",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.15,0.35,0.5,9,0.45,-0.017,0.65,-0.02%,-0.02,0.0,0.0,DH,,2021-07-11,133,140,633297,2021,0.176,0.176,0.529,0.706,0.0,0.0,2.0,7.0,4.0,0.143,0.143,0.286,0.429,0.0,0.0,1.0,3.0,3.0,0.176,0.176,0.529,0.706,0.0,0.0,2.0,7.0,4.0
9,15,2021-07-30,CHC,@,WSN,"L,3-4",5-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.333,0.476,9,1.7,-0.04,0.42,-0.01%,-0.29,0.0,0.0,PH,,2021-07-30,112,120,633094,2021,0.15,0.15,0.45,0.6,0.0,0.0,2.0,7.0,5.0,0.077,0.077,0.231,0.308,0.0,0.0,1.0,2.0,4.0,0.15,0.15,0.45,0.6,0.0,0.0,2.0,7.0,5.0
10,16,2021-08-03,CHC,@,COL,"L,6-13",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.36,0.52,6,0.43,0.07,0.07,0.01%,0.2,0.0,0.0,1B,,2021-08-03,112,115,633038,2021,0.143,0.143,0.429,0.571,0.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.143,0.143,0.429,0.571,0.0,0.0,2.0,7.0,5.0
