Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,542,1,2021-04-01,LAD,@,COL,"L,5-8",CG,5,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.667,0.8,0.667,1.467,2,1.34,0.114,1.41,0.07%,1.41,,,SS,,2021-04-01,119,115,634615
2,543,2,2021-04-02,LAD,@,COL,"W,11-6",CG,6,5,3,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.625,0.727,0.75,1.477,2,0.38,0.108,0.39,0.07%,1.62,,,SS,,2021-04-02,119,115,634653
3,544,3,2021-04-03,LAD,@,COL,"W,6-5",CG,5,4,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.667,0.75,0.833,1.583,2,0.96,0.137,1.0,0.09%,1.4,,,SS,,2021-04-03,119,115,634633
4,545,5 (1),2021-04-05,LAD,@,OAK,"W,10-3",CG,6,5,0,1,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0.529,0.636,0.706,1.342,2,0.6,0.229,0.62,0.14%,1.48,,,SS,,2021-04-05,119,133,634600
5,546,6,2021-04-06,LAD,@,OAK,"W,5-1",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.409,0.519,0.545,1.064,2,0.78,-0.105,0.85,-0.07%,-1.51,,,SS,,2021-04-06,119,133,634628
6,547,7,2021-04-07,LAD,@,OAK,"L,3-4",CG(10),5,4,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.423,0.531,0.538,1.07,2,1.41,0.036,1.55,0.02%,0.69,,,SS,,2021-04-07,119,133,634567
7,548,8,2021-04-09,LAD,,WSN,"W,1-0",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.367,0.472,0.467,0.939,2,0.71,-0.075,0.8,-0.05%,-0.69,,,SS,,2021-04-09,119,120,634533
8,549,9,2021-04-10,LAD,,WSN,"W,9-5",CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.353,0.463,0.441,0.905,2,0.23,-0.019,0.26,-0.01%,0.03,,,SS,,2021-04-10,119,120,632191
9,550,10,2021-04-11,LAD,,WSN,"W,3-0",CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.342,0.444,0.447,0.892,2,0.38,-0.005,0.45,0.00%,-0.17,,,SS,,2021-04-11,119,120,632214
10,551,11,2021-04-13,LAD,,COL,"W,7-0",GS-8,4,3,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.366,0.469,0.561,1.03,2,0.36,0.13,0.45,0.10%,1.28,,,SS,,2021-04-13,119,115,632212
11,552,12,2021-04-14,LAD,,COL,"W,4-2",CG,5,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.356,0.463,0.556,1.019,2,1.01,0.09,1.28,0.07%,0.72,,,SS,,2021-04-14,119,115,634614
12,553,13,2021-04-15,LAD,,COL,"W,7-5",8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0.455,0.543,0.998,9,0.2,-0.005,0.25,0.00%,-0.17,,,SS,,2021-04-15,119,115,634547
13,554,14,2021-04-16,LAD,@,SDP,"W,11-6",CG(12),6,5,1,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0.333,0.443,0.569,1.011,2,1.85,0.18,2.58,0.15%,0.25,,,SS,,2021-04-16,119,135,634531
