Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,169,2021-04-04,BAL,@,BOS,"W,11-3",CG,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,9,0.15,0.003,0.18,0.00%,-1.01,0.0,0.0,C,,2021-04-04,110,111,634610,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,170,2021-04-06,BAL,@,NYY,"L,2-7",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.25,9,0.65,-0.05,0.73,-0.03%,-0.58,0.0,0.0,DH,,2021-04-06,110,147,634599,2021,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,4.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,4.0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,1.0,4.0
3,171,2021-04-07,BAL,@,NYY,"W,4-3",11-11,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.222,0.222,0.444,9,6.09,0.15,6.99,0.10%,0.58,0.0,0.0,PH,,2021-04-07,110,147,634539,2021,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,6.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,6.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,1.0,6.0
4,172,2021-04-10,BAL,,BOS,"L,4-6",GS-8,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,9,1.43,-0.114,1.67,-0.08%,-0.83,0.0,0.0,C,,2021-04-10,110,111,634491,2021,0.222,0.222,0.222,0.444,0.0,0.0,0.0,2.0,6.0,0.222,0.222,0.222,0.444,0.0,0.0,0.0,2.0,6.0,0.222,0.222,0.222,0.444,0.0,0.0,0.0,2.0,6.0
5,173,2021-04-11,NYM,,MIA,"W,6-5",7-GF,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.214,0.154,0.368,9,0.52,-0.006,0.54,0.00%,0.03,0.0,0.0,C,,2021-04-11,121,146,632192,2021,0.167,0.167,0.167,0.333,0.0,0.0,0.0,2.0,6.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,2.0,6.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,2.0,6.0
6,174,2021-04-13,BAL,,SEA,"W,7-6",CG(7),3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.235,0.188,0.423,8,1.0,0.003,0.91,0.00%,-0.05,0.0,0.0,C,2.0,2021-04-13,110,136,632224,2021,0.154,0.214,0.154,0.368,0.0,0.0,0.0,2.0,6.0,0.154,0.214,0.154,0.368,0.0,0.0,0.0,2.0,6.0,0.154,0.214,0.154,0.368,0.0,0.0,0.0,2.0,6.0
7,175,2021-04-15,BAL,,SEA,"L,1-2",CG(7),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.211,0.167,0.377,9,1.3,-0.066,1.16,-0.04%,-0.42,0.0,0.0,C,2.0,2021-04-15,110,136,634472,2021,0.188,0.235,0.188,0.423,0.0,0.0,0.0,3.0,7.0,0.182,0.25,0.182,0.432,0.0,0.0,0.0,2.0,3.0,0.188,0.235,0.188,0.423,0.0,0.0,0.0,3.0,7.0
8,176,2021-04-18,BAL,@,TEX,"L,0-1",CG(10),3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.182,0.143,0.325,8,0.99,-0.076,0.92,-0.04%,-0.52,0.0,0.0,C,,2021-04-18,110,140,634511,2021,0.167,0.211,0.167,0.377,0.0,0.0,0.0,3.0,7.0,0.2,0.273,0.2,0.473,0.0,0.0,0.0,2.0,1.0,0.167,0.211,0.167,0.377,0.0,0.0,0.0,3.0,7.0
9,177,2021-04-20,BAL,@,MIA,"W,7-5",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.192,0.125,0.317,8,0.52,-0.008,0.44,0.00%,-0.24,0.0,0.0,C,,2021-04-20,110,146,634427,2021,0.143,0.182,0.143,0.325,0.0,0.0,0.0,3.0,10.0,0.083,0.154,0.083,0.237,0.0,0.0,0.0,1.0,4.0,0.143,0.182,0.143,0.325,0.0,0.0,0.0,3.0,10.0
10,178,2021-04-24,BAL,,OAK,"L,2-7",CG,4.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.233,0.214,0.448,9,0.73,0.003,0.61,0.00%,0.14,0.0,0.0,C,,2021-04-24,110,133,634367,2021,0.125,0.192,0.125,0.317,0.0,0.0,0.0,3.0,10.0,0.083,0.214,0.083,0.298,0.0,0.0,0.0,1.0,4.0,0.125,0.192,0.125,0.317,0.0,0.0,0.0,3.0,10.0
