Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,26,32 (31),2021-05-12,NYM,,BAL,"W,7-1",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-05-12,121,110,634128
2,27,38 (5),2021-05-19,NYM,@,ATL,"L,4-5",5-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,,,,,,,P,,2021-05-19,121,144,634066
3,28,39,2021-05-21,NYM,@,MIA,"W,6-5",11-12,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,,,,,,,P,,2021-05-21,121,146,634089
4,29,40,2021-05-22,NYM,@,MIA,"L,1-3",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-05-22,121,146,633999
5,30,45 (4),2021-05-27,NYM,,COL,"W,4-2",4-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,2.0,2021-05-27,121,115,633912
6,31,51 (5),2021-06-04,NYM,@,SDP,"L,0-2",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-06-04,121,135,633816
7,32,58 (6),2021-06-13,NYM,,SDP,"L,3-7",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,1,,,,,,,,P,,2021-06-13,121,135,633722
8,33,61 (2),2021-06-16,NYM,,CHC,"W,6-3",9-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-06-16,121,112,633630
9,34,66 (4),2021-06-20,NYM,@,WSN,"L,2-5",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,8,,,,,,,,P,,2021-06-20,121,120,633557
10,35,69 (2),2021-06-22,NYM,,ATL,"L,0-3",4-5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-06-22,121,144,633750
11,36,71 (1),2021-06-25,NYM,,PHI,"W,2-1",7-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,1.0,2021-06-25,121,143,633545
12,37,74 (2),2021-06-27,NYM,,PHI,"L,2-4",8-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-06-27,121,143,633504
13,38,76 (1),2021-06-29,NYM,@,ATL,"W,4-3",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-06-29,121,144,633587
14,39,84 (7),2021-07-07,NYM,,MIL,"L,0-5",5-6,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,2.0,2021-07-07,121,158,633342
15,40,86 (1),2021-07-10,NYM,,PIT,"L,2-6",7-GF(7),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,7,,,,,,,,P,1.0,2021-07-10,121,134,633295
16,41,88 (1),2021-07-11,NYM,,PIT,"L,5-6",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,8,,,,,,,,P,,2021-07-11,121,134,633325
17,42,89,2021-07-16,NYM,@,PIT,"L,1-4",6-7,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,,,,,9,,,,,,,,P,,2021-07-16,121,134,633346
18,43,91 (1),2021-07-18,NYM,@,PIT,"W,7-6",1-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.15,-0.004,.23,0.00%,-0.11,,,P,,2021-07-18,121,134,633235
19,44,93 (1),2021-07-20,NYM,@,CIN,"L,3-4",8-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,8,,,,,,,,P,,2021-07-20,121,113,633234
20,45,96 (2),2021-07-24,NYM,,TOR,"L,3-10",7-9,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-07-24,121,141,633272
21,46,100 (3),2021-07-27,NYM,,ATL,"L,5-12",7-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,6,,,,,,,,P,,2021-07-27,121,144,633147
22,47,103 (2),2021-07-30,NYM,,CIN,"L,2-6",6-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.000,.000,.000,.000,9,,,,,,,,P,,2021-07-30,121,113,633100
