Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1.0,1.0,145 (144),2022-09-17,LAA,,SEA,"W,2-1",5-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,0.39,-0.01,0.0,0.00%,-0.16,0.0,0.0,PR SS,,2022-09-17,108,136,663426
2.0,2.0,146,2022-09-18,LAA,,SEA,"W,5-1",CG,3,3,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0.5,0.5,1.25,1.75,9.0,0.69,0.104,0.0,0.00%,1.89,21.0,28.4,SS,,2022-09-18,108,136,663425
3.0,3.0,147,2022-09-19,LAA,,SEA,"L,1-9",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.375,0.375,0.75,1.125,8.0,0.3,0.02,0.0,0.00%,-0.58,3.0,3.0,SS,,2022-09-19,108,136,663423
4.0,4.0,148,2022-09-20,LAA,@,TEX,"W,5-2",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.25,0.5,0.75,9.0,0.63,-0.066,0.0,0.00%,-1.0,0.0,0.0,SS,,2022-09-20,108,140,661837
5.0,5.0,149,2022-09-21,LAA,@,TEX,"L,2-7",GS-8,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.214,0.214,0.429,0.643,9.0,1.22,-0.062,0.0,0.00%,-0.46,0.0,0.0,SS,,2022-09-21,108,140,661783
6.0,6.0,150,2022-09-22,LAA,@,TEX,"L,3-5",6-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,8.0,1.47,-0.037,0.0,0.00%,-0.23,0.0,0.0,SS,,2022-09-22,108,140,661806
7.0,7.0,151,2022-09-23,LAA,@,MIN,"W,4-2",CG,4,3,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.278,0.316,0.5,0.816,9.0,0.87,0.19,0.0,0.00%,1.68,12.0,15.2,SS,,2022-09-23,108,142,661668
8.0,8.0,152,2022-09-24,LAA,@,MIN,"L,4-8",CG,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333,0.391,0.524,0.915,9.0,0.49,0.058,0.0,0.00%,0.8,10.0,12.2,SS,,2022-09-24,108,142,661656
9.0,9.0,153,2022-09-25,LAA,@,MIN,"W,10-3",CG,5,5,1,2,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0.346,0.393,0.538,0.931,8.0,0.55,-0.025,0.0,0.00%,1.17,19.0,25.2,SS,,2022-09-25,108,142,661667
10.0,10.0,154,2022-09-27,LAA,,OAK,"W,4-3",CG,4,3,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.379,0.406,0.621,1.027,9.0,1.0,0.043,0.0,0.00%,0.09,13.0,15.5,SS,,2022-09-27,108,133,663422
11.0,11.0,155,2022-09-28,LAA,,OAK,"W,4-1",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.344,0.371,0.563,0.934,9.0,1.18,-0.087,0.0,0.00%,-1.28,0.0,0.0,SS,,2022-09-28,108,133,663421
12.0,12.0,156,2022-09-29,LAA,,OAK,"W,4-2",CG,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.361,0.385,0.556,0.94,8.0,0.33,0.022,0.0,0.00%,0.61,6.0,6.0,SS,,2022-09-29,108,133,663420
13.0,13.0,157,2022-09-30,LAA,,TEX,"W,4-1",CG,4,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.333,0.357,0.513,0.87,7.0,0.48,-0.03,0.0,0.00%,0.18,2.0,3.5,SS,,2022-09-30,108,140,663406
14.0,14.0,158,2022-10-01,LAA,,TEX,"W,3-2",CG,3,3,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.381,0.4,0.595,0.995,8.0,1.71,0.198,0.0,0.00%,1.08,17.0,21.7,3B SS,,2022-10-01,108,140,663405
15.0,15.0,159,2022-10-02,LAA,,TEX,"W,8-3",CG,4,4,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.413,0.429,0.63,1.059,7.0,0.65,0.093,0.0,0.00%,0.64,17.0,22.2,SS,,2022-10-02,108,140,663419
16.0,16.0,160,2022-10-03,LAA,@,OAK,"L,4-5",CG(10),5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.412,0.426,0.608,1.034,1.0,0.71,0.003,0.0,0.00%,0.08,8.0,9.2,SS,,2022-10-03,108,133,662431
17.0,17.0,161,2022-10-04,LAA,@,OAK,"L,1-2",7-GF(10),1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423,0.436,0.615,1.052,5.0,2.78,0.313,0.0,0.00%,0.91,5.0,6.2,SS,,2022-10-04,108,133,662429
18.0,18.0,162,2022-10-05,LAA,@,OAK,"L,2-3",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0.414,0.582,0.996,7.0,1.39,-0.143,0.0,0.00%,-0.83,0.0,0.0,SS,,2022-10-05,108,133,662421
1,19,45 (44),2023-05-18,LAA,@,BAL,"W,6-5",GS-6,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,.67,0.052,.64,0.03%,0.76,7.00,9.20,2B,,2023-05-18,108,110,718128
2,20,54 (8),2023-05-28,LAA,,MIA,"L,0-2",GS-7,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.500,.750,.500,1.250,9,1.46,0.002,1.33,0.00%,-0.01,2.00,3.00,SS,,2023-05-28,108,146,717984
3,21,57 (2),2023-05-31,LAA,@,CHW,"W,12-5",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.333,.500,.333,.833,9,.26,-0.029,.22,-0.01%,-0.71,3.00,3.00,2B,,2023-05-31,108,145,717943
4,22,60 (2),2023-06-03,LAA,@,HOU,"L,6-9",CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.222,.417,.222,.639,9,.86,-0.025,.78,-0.01%,-0.07,4.00,6.20,SS,,2023-06-03,108,117,717908
