Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,796,23 (22),2021-04-28,TOR,,WSN,"L,2-8",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,0.62,-0.063,0.61,-0.04%,-1.2,,,DH,,2021-04-28,141,120,634348
2,797,24,2021-04-30,TOR,,ATL,"W,13-5",CG,6,3,1,1,0,0,0,0,2,0.0,2,0,0,0.0,0,0.0,1,0,0.143,0.333,0.143,0.476,1,0.43,0.073,0.41,0.04%,1.46,,,DH,,2021-04-30,141,144,634280
3,798,25,2021-05-01,TOR,,ATL,"W,6-5",GS-10,5,5,2,2,0,0,2,3,0,0.0,0,0,0,0.0,0,0.0,0,0,0.25,0.357,0.75,1.107,1,1.34,0.249,1.26,0.14%,1.93,,,DH,,2021-05-01,141,144,634312
4,799,26,2021-05-02,TOR,,ATL,"W,7-2",GS-6,3,3,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.2,0.294,0.6,0.894,1,1.14,-0.092,1.16,-0.06%,-1.09,,,DH,,2021-05-02,141,144,634256
5,800,71 (44),2021-06-22,TOR,@,MIA,"W,2-1",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.158,0.238,0.474,0.712,5,1.42,-0.153,1.0,-0.07%,-0.96,,,CF,,2021-06-22,141,146,633571
6,801,72,2021-06-23,TOR,@,MIA,"W,3-1",CG,4,3,0,0,0,0,0,1,1,0.0,1,0,0,0.0,0,0.0,0,0,0.136,0.24,0.409,0.649,5,0.76,-0.012,0.62,-0.01%,-0.19,,,CF,,2021-06-23,141,146,633513
7,802,74 (1),2021-06-25,TOR,,BAL,"L,5-6",CG(10),4,3,1,1,0,0,1,1,1,0.0,1,0,0,0.0,0,0.0,0,0,0.16,0.276,0.52,0.796,5,1.0,0.046,0.89,0.03%,0.76,,,CF,,2021-06-25,141,110,633536
8,803,75,2021-06-26,TOR,,BAL,"W,12-4",CG,5,5,1,2,0,0,0,2,0,0.0,1,0,0,0.0,0,0.0,0,0,0.2,0.294,0.5,0.794,5,0.26,0.011,0.21,0.01%,1.67,,,CF,,2021-06-26,141,110,633520
9,804,76,2021-06-27,TOR,,BAL,"W,5-2",CG,4,2,0,0,0,0,0,0,2,0.0,2,0,0,0.0,0,0.0,0,0,0.188,0.316,0.469,0.785,5,1.02,-0.012,0.88,-0.01%,-0.26,,,DH,,2021-06-27,141,110,633515
10,805,77,2021-06-29,TOR,,SEA,"W,9-3",CG,5,4,0,1,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.194,0.326,0.444,0.77,5,0.85,-0.002,0.83,0.00%,0.02,,,CF RF,,2021-06-29,141,136,633497
