Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2023-04-18,SDP,,ATL,"L,1-8",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.76,-0.057,0.67,-0.03%,-0.63,0.0,0.0,C,,2023-04-18,135,144,718519,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2023-04-21,SDP,@,ARI,"L,0-9",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.53,-0.04,0.54,-0.02%,-0.58,0.0,0.0,C,,2023-04-21,135,109,718484,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,2023-04-26,SDP,@,CHC,"W,5-3",7-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.98,-0.024,0.93,-0.01%,-0.33,0.0,0.0,C,,2023-04-26,135,112,718407,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,4.0,2023-04-27,SDP,@,CHC,"L,2-5",GS-9,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,9.0,0.96,-0.049,0.96,-0.03%,-0.41,3.0,3.0,C,,2023-04-27,135,112,718406,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,5.0,2023-05-01,SDP,,CIN,"W,8-3",CG,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.214,0.154,0.368,9.0,0.65,0.056,0.68,0.04%,0.85,7.0,9.2,C,,2023-05-01,135,113,718345,2023,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,1.0,1.0
6.0,6.0,2023-05-02,SDP,,CIN,"L,1-2",10-GF(10),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.214,0.154,0.368,8.0,,,,,,0.0,0.0,PR,,2023-05-02,135,113,718335,2023,0.154,0.214,0.154,0.368,0.0,0.0,0.0,2.0,2.0,0.154,0.214,0.154,0.368,0.0,0.0,0.0,2.0,2.0,0.154,0.214,0.154,0.368,0.0,0.0,0.0,2.0,2.0
7.0,7.0,2023-05-03,SDP,,CIN,"W,7-1",CG,4.0,4.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,0.278,0.471,0.748,9.0,0.76,0.295,0.76,0.18%,2.55,25.0,35.2,C,,2023-05-03,135,113,718330,2023,0.154,0.214,0.154,0.368,0.0,0.0,0.0,2.0,2.0,0.2,0.273,0.2,0.473,0.0,0.0,0.0,2.0,2.0,0.154,0.214,0.154,0.368,0.0,0.0,0.0,2.0,2.0
8.0,8.0,2023-05-06,SDP,,LAD,"L,1-2",CG,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.286,0.5,0.786,9.0,1.18,0.058,1.47,0.04%,0.23,7.0,9.2,C,,2023-05-06,135,119,718279,2023,0.235,0.278,0.588,0.866,0.0,0.0,2.0,8.0,2.0,0.364,0.417,0.909,1.326,0.0,0.0,2.0,8.0,1.0,0.235,0.278,0.588,0.866,0.0,0.0,2.0,8.0,2.0
9.0,9.0,2023-05-07,SDP,,LAD,"L,2-5",6-GF(10),2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.261,0.455,0.715,8.0,1.69,-0.085,1.98,-0.06%,-0.6,0.0,0.0,PH C,,2023-05-07,135,119,718266,2023,0.25,0.286,0.65,0.936,0.0,0.0,3.0,10.0,3.0,0.385,0.429,1.0,1.429,0.0,0.0,3.0,10.0,2.0,0.25,0.286,0.65,0.936,0.0,0.0,3.0,10.0,3.0
10.0,10.0,2023-05-10,SDP,@,MIN,"L,3-4",GS-8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.24,0.417,0.657,9.0,1.31,-0.065,1.37,-0.04%,-0.55,0.0,0.0,C,,2023-05-10,135,142,718224,2023,0.227,0.261,0.591,0.852,0.0,0.0,3.0,10.0,5.0,0.333,0.385,1.0,1.385,0.0,0.0,3.0,9.0,4.0,0.227,0.261,0.591,0.852,0.0,0.0,3.0,10.0,5.0
