Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2022-08-30,COL,@,ATL,"W,3-2",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.98,-0.076,0.0,0.00%,-0.69,0.0,0.0,1B,,2022-08-30,115,144,661479,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2022-08-31,COL,@,ATL,"L,2-3",CG,4.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.625,0.875,7.0,0.82,0.002,0.0,0.00%,1.59,19.0,25.2,RF,,2022-08-31,115,144,661478,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,2022-09-01,COL,@,ATL,"L,0-3",CG,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.273,0.636,0.909,6.0,0.88,-0.017,0.0,0.00%,0.01,5.0,6.0,RF,,2022-09-01,115,144,661477,2022,0.25,0.25,0.75,1.0,0.0,0.0,1.0,5.0,1.0,0.25,0.25,0.75,1.0,0.0,0.0,1.0,5.0,1.0,0.25,0.25,0.75,1.0,0.0,0.0,1.0,5.0,1.0
4.0,4.0,2022-09-02,COL,@,CIN,"L,2-3",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.214,0.5,0.714,7.0,0.89,-0.067,0.0,0.00%,-0.67,0.0,0.0,1B RF,,2022-09-02,115,113,663133,2022,0.273,0.273,0.818,1.091,0.0,0.0,2.0,7.0,3.0,0.273,0.273,0.818,1.091,0.0,0.0,2.0,7.0,3.0,0.273,0.273,0.818,1.091,0.0,0.0,2.0,7.0,3.0
5.0,5.0,2022-09-04,COL,@,CIN,"W,8-4",CG,4.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.278,0.556,0.833,6.0,1.38,0.156,0.0,0.00%,1.52,12.0,15.7,1B,1.0,2022-09-04,115,113,663107,2022,0.214,0.214,0.643,0.857,0.0,0.0,2.0,7.0,4.0,0.214,0.214,0.643,0.857,0.0,0.0,2.0,7.0,4.0,0.214,0.214,0.643,0.857,0.0,0.0,2.0,7.0,4.0
6.0,6.0,2022-09-04,COL,@,CIN,"L,0-10",CG,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.286,0.318,0.571,0.89,5.0,0.54,0.003,0.0,0.00%,-0.36,7.0,9.0,RF,2.0,2022-09-04,115,113,663108,2022,0.278,0.278,0.722,1.0,0.0,0.0,3.0,10.0,6.0,0.278,0.278,0.722,1.0,0.0,0.0,3.0,10.0,6.0,0.278,0.278,0.722,1.0,0.0,0.0,3.0,10.0,6.0
7.0,7.0,2022-09-05,COL,,MIL,"L,4-6",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.308,0.5,0.808,5.0,1.27,-0.08,0.0,0.00%,-0.26,2.0,3.0,1B,,2022-09-05,115,158,662860,2022,0.286,0.318,0.762,1.08,0.0,1.0,4.0,12.0,8.0,0.353,0.389,0.941,1.33,0.0,1.0,4.0,12.0,8.0,0.286,0.318,0.762,1.08,0.0,1.0,4.0,12.0,8.0
8.0,8.0,2022-09-06,COL,,MIL,"W,10-7",CG(10),4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.267,0.429,0.695,6.0,0.64,-0.067,0.0,0.00%,-0.67,0.0,0.0,RF,,2022-09-06,115,158,662859,2022,0.25,0.308,0.667,0.974,0.0,1.0,4.0,12.0,9.0,0.25,0.333,0.625,0.958,0.0,1.0,3.0,7.0,8.0,0.25,0.308,0.667,0.974,0.0,1.0,4.0,12.0,9.0
9.0,9.0,2022-09-07,COL,,MIL,"W,8-4",CG,4.0,4.0,2.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.294,0.563,0.857,6.0,0.48,0.22,0.0,0.00%,3.55,27.0,38.4,1B,,2022-09-07,115,158,662871,2022,0.214,0.267,0.571,0.838,0.0,1.0,4.0,12.0,10.0,0.176,0.263,0.412,0.675,0.0,1.0,2.0,5.0,7.0,0.214,0.267,0.571,0.838,0.0,1.0,4.0,12.0,10.0
10.0,10.0,2022-09-09,COL,,ARI,"W,13-10",CG,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278,0.333,0.583,0.917,7.0,2.07,0.09,0.0,0.00%,1.21,16.0,21.6,RF,,2022-09-09,115,109,662870,2022,0.25,0.294,0.75,1.044,0.0,1.0,6.0,18.0,10.0,0.278,0.35,0.833,1.183,0.0,1.0,4.0,11.0,6.0,0.25,0.294,0.75,1.044,0.0,1.0,6.0,18.0,10.0
