Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2022-04-08,DET,,CHW,"W,5-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.41,-0.144,1.41,-0.09%,-0.78,0.0,0.0,1B,,2022-04-08,116,145,662888,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2022-04-09,DET,,CHW,"L,2-5",CG,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,8,1.53,0.022,1.54,0.01%,0.08,4.0,6.0,1B,,2022-04-09,116,145,662864,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,3,2022-04-10,DET,,CHW,"L,1-10",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.273,8,0.68,0.001,0.7,0.00%,-0.37,2.0,3.0,1B,,2022-04-10,116,145,662887,2022,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,4.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,4.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,4.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,4.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,4.0
4,4,2022-04-11,DET,,BOS,"W,3-1",7-GF,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.231,7,0.95,-0.058,0.83,-0.03%,-1.01,0.0,0.0,PH 1B,,2022-04-11,116,111,662863,2022,0.0,0.273,0.0,0.273,0.0,0.0,0.0,0.0,6.0,0.0,0.273,0.0,0.273,0.0,0.0,0.0,0.0,6.0,0.0,0.273,0.0,0.273,0.0,0.0,0.0,0.0,6.0,0.0,0.273,0.0,0.273,0.0,0.0,0.0,0.0,6.0,0.0,0.273,0.0,0.273,0.0,0.0,0.0,0.0,6.0
5,5,2022-04-12,DET,,BOS,"L,3-5",CG,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.25,0.154,0.404,8,0.83,0.002,0.8,0.00%,-0.09,7.0,9.2,1B,,2022-04-12,116,111,662862,2022,0.0,0.231,0.0,0.231,0.0,0.0,0.0,0.0,7.0,0.0,0.231,0.0,0.231,0.0,0.0,0.0,0.0,7.0,0.0,0.231,0.0,0.231,0.0,0.0,0.0,0.0,7.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,5.0,0.0,0.231,0.0,0.231,0.0,0.0,0.0,0.0,7.0
6,6,2022-04-13,DET,,BOS,"L,7-9",CG,4.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.3,0.412,0.712,7,0.77,0.091,0.68,0.05%,2.11,19.0,25.2,1B,,2022-04-13,116,111,662885,2022,0.077,0.25,0.231,0.481,0.0,0.0,1.0,2.0,8.0,0.077,0.25,0.231,0.481,0.0,0.0,1.0,2.0,8.0,0.077,0.25,0.231,0.481,0.0,0.0,1.0,2.0,8.0,0.143,0.25,0.429,0.679,0.0,0.0,1.0,2.0,4.0,0.077,0.25,0.231,0.481,0.0,0.0,1.0,2.0,8.0
7,7,2022-04-14,DET,@,KCR,"W,4-2",CG,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.158,0.333,0.368,0.702,7,1.15,0.077,1.04,0.04%,0.51,8.0,12.7,1B,,2022-04-14,116,118,662702,2022,0.176,0.3,0.529,0.829,0.0,0.0,2.0,7.0,8.0,0.176,0.3,0.529,0.829,0.0,0.0,2.0,7.0,8.0,0.231,0.375,0.692,1.067,0.0,0.0,2.0,7.0,6.0,0.333,0.333,1.0,1.333,0.0,0.0,2.0,7.0,2.0,0.176,0.3,0.529,0.829,0.0,0.0,2.0,7.0,8.0
8,8,2022-04-15,DET,@,KCR,"W,2-1",CG,3.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.37,0.545,0.916,7,1.28,0.379,1.19,0.21%,1.68,19.0,25.2,1B,,2022-04-15,116,118,662701,2022,0.158,0.333,0.474,0.807,0.0,0.0,2.0,7.0,8.0,0.158,0.333,0.474,0.807,0.0,0.0,2.0,7.0,8.0,0.231,0.375,0.692,1.067,0.0,0.0,2.0,7.0,4.0,0.333,0.455,1.0,1.455,0.0,0.0,2.0,7.0,1.0,0.158,0.333,0.474,0.807,0.0,0.0,2.0,7.0,8.0
9,9,2022-04-16,DET,@,KCR,"L,1-3",CG,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.387,0.52,0.907,6,0.83,-0.025,0.82,-0.02%,-0.23,5.0,6.0,1B,,2022-04-16,116,118,662798,2022,0.227,0.37,0.682,1.052,0.0,0.0,3.0,12.0,8.0,0.227,0.37,0.682,1.052,0.0,0.0,3.0,12.0,8.0,0.357,0.438,1.071,1.509,0.0,0.0,3.0,12.0,2.0,0.444,0.545,1.333,1.879,0.0,0.0,2.0,10.0,0.0,0.227,0.37,0.682,1.052,0.0,0.0,3.0,12.0,8.0
10,10,2022-04-19,DET,,NYY,"L,2-4",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.343,0.448,0.791,6,1.91,-0.185,1.82,-0.11%,-1.2,0.0,0.0,1B,,2022-04-19,116,147,662896,2022,0.24,0.387,0.64,1.027,0.0,0.0,3.0,13.0,10.0,0.24,0.387,0.64,1.027,0.0,0.0,3.0,13.0,10.0,0.4,0.5,1.067,1.567,0.0,0.0,3.0,13.0,3.0,0.375,0.545,0.875,1.42,0.0,0.0,1.0,6.0,2.0,0.24,0.387,0.64,1.027,0.0,0.0,3.0,13.0,10.0
