Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,241,6 (5),2021-04-07,PHI,,NYM,"W,8-2",8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,8,.01,0.000,.01,0.00%,-0.24,,,PH SS,,2021-04-07,143,121,634626
2,242,12 (5),2021-04-14,PHI,@,NYM,"L,1-5",GS-7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,7,1.09,-0.057,1.39,-0.04%,-0.52,,,SS,,2021-04-14,143,121,634528
3,243,14 (1),2021-04-17,PHI,,STL,"L,4-9",6-GF,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.200,.400,2,.74,0.014,.75,0.01%,0.87,,,2B,,2021-04-17,143,138,634470
4,244,42 (27),2021-05-18,PHI,,MIA,"W,8-3",8-9,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.333,.333,.500,.833,9,4.61,0.188,5.84,0.14%,1.83,,,PH,,2021-05-18,143,146,634051
5,245,43,2021-05-19,PHI,,MIA,"L,1-3",CG,3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.444,.444,.556,1.000,8,1.82,0.173,2.48,0.14%,1.12,,,SS,,2021-05-19,143,146,634044
6,246,44,2021-05-20,PHI,,MIA,"L,0-6",5-6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.600,1.100,9,.69,0.029,.88,0.02%,0.26,,,PH,,2021-05-20,143,146,634039
7,247,45,2021-05-21,PHI,,BOS,"L,3-11",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.385,.429,.462,.890,8,.47,-0.059,.50,-0.04%,-0.29,,,SS CF,,2021-05-21,143,111,634054
8,248,46,2021-05-22,PHI,,BOS,"L,3-4",7-GF,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.429,.500,.500,1.000,9,3.07,0.240,3.09,0.15%,1.00,,,SS,,2021-05-22,143,111,633984
9,249,47,2021-05-23,PHI,,BOS,"W,6-2",CG,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.412,.474,.471,.944,8,.14,-0.007,.13,0.00%,-0.36,,,SS,,2021-05-23,143,111,634004
10,250,48,2021-05-24,PHI,@,MIA,"L,6-9",CG,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.429,.478,.476,.954,8,1.00,0.039,1.16,0.03%,0.73,,,SS,,2021-05-24,143,146,633976
11,251,51 (2),2021-05-27,PHI,@,MIA,"W,3-2",CG,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.360,.407,.400,.807,7,1.83,0.075,2.08,0.05%,-0.54,,,SS,,2021-05-27,143,146,633957
12,252,52,2021-05-29,PHI,@,TBR,"L,3-5",CG,4,4,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,.345,.387,.414,.801,9,1.22,0.216,1.22,0.13%,1.62,,,3B SS,,2021-05-29,143,139,633894
13,253,53,2021-05-30,PHI,@,TBR,"L,2-6",GS-9,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.313,.353,.375,.728,8,.70,-0.052,.65,-0.03%,-0.42,,,SS,,2021-05-30,143,139,633892
14,254,54,2021-05-31,PHI,@,CIN,"L,1-11",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.306,.342,.361,.703,8,.67,-0.003,.60,0.00%,-0.59,,,SS,,2021-05-31,143,113,633983
15,255,55,2021-06-01,PHI,@,CIN,"W,17-3",CG,5,5,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.317,.349,.463,.812,8,.60,0.159,.50,0.08%,1.41,,,SS,,2021-06-01,143,113,633868
16,256,56,2021-06-04,PHI,,WSN,"L,1-2",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.295,.326,.432,.758,8,1.80,-0.142,1.78,-0.08%,-0.93,,,SS,,2021-06-04,143,120,633862
17,257,58 (1),2021-06-06,PHI,,WSN,"W,12-6",CG,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.271,.300,.396,.696,8,.94,0.079,.97,0.05%,0.53,,,SS,,2021-06-06,143,120,633786
18,258,59,2021-06-08,PHI,,ATL,"L,5-9",CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.288,.315,.404,.719,8,1.54,0.130,1.71,0.09%,0.89,,,SS,,2021-06-08,143,144,633785
19,259,60,2021-06-09,PHI,,ATL,"W,2-1",CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.291,.316,.400,.716,8,1.38,-0.040,1.51,-0.03%,-0.13,,,SS,,2021-06-09,143,144,633764
20,260,61,2021-06-10,PHI,,ATL,"W,4-3",GS-9,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.317,.414,.730,8,1.06,-0.010,1.18,-0.01%,-0.05,,,SS,,2021-06-10,143,144,633762
21,261,62,2021-06-12,PHI,,NYY,"W,8-7",CG(10),5,5,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.302,.323,.429,.752,8,1.33,-0.102,1.28,-0.06%,1.33,,,SS,,2021-06-12,143,147,633763
22,262,63,2021-06-13,PHI,,NYY,"W,7-0",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.304,.403,.707,8,.39,-0.057,.42,-0.04%,-1.43,,,SS,,2021-06-13,143,147,633715
23,263,64,2021-06-14,PHI,@,LAD,"L,1-3",GS-8,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.286,.306,.400,.706,8,1.03,-0.056,1.17,-0.04%,-0.71,,,SS,,2021-06-14,143,119,633652
24,264,65,2021-06-15,PHI,@,LAD,"L,3-5",4-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.282,.301,.394,.696,4,2.22,-0.058,2.28,-0.04%,-0.45,,,SS,,2021-06-15,143,119,633675
25,265,66,2021-06-16,PHI,@,LAD,"W,2-0",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.267,.286,.373,.659,8,.98,-0.107,.96,-0.06%,-1.43,,,SS,,2021-06-16,143,119,633677
26,266,68 (1),2021-06-19,PHI,@,SFG,"W,13-6",CG,5,4,2,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,.278,.305,.430,.735,8,1.06,0.322,1.06,0.19%,2.08,,,SS,,2021-06-19,143,137,633592
27,267,69,2021-06-20,PHI,@,SFG,"L,2-11",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.294,.415,.709,8,.56,-0.045,.59,-0.03%,-0.57,,,SS,,2021-06-20,143,137,633611
28,268,70,2021-06-22,PHI,,WSN,"L,2-3",CG,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,.259,.292,.400,.692,8,3.09,-0.181,3.69,-0.13%,-1.45,,,SS,,2021-06-22,143,120,633549
29,269,71,2021-06-23,PHI,,WSN,"L,12-13",CG,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.270,.309,.404,.713,8,2.04,0.228,2.18,0.15%,1.25,,,SS,,2021-06-23,143,120,633546
30,270,72,2021-06-25,PHI,@,NYM,"L,1-2",CG(8),3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.261,.299,.391,.690,7,1.10,-0.081,1.27,-0.06%,-0.75,,,SS,1.0,2021-06-25,143,121,633545
31,271,73,2021-06-25,PHI,@,NYM,"W,2-1",CG(8),3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.253,.290,.379,.669,7,.94,-0.070,.96,-0.04%,-0.55,,,SS,2.0,2021-06-25,143,121,634515
32,272,74,2021-06-26,PHI,@,NYM,"L,3-4",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.253,.288,.374,.662,8,.67,-0.025,.82,-0.02%,-0.23,,,SS,,2021-06-26,143,121,633539
33,273,75,2021-06-27,PHI,@,NYM,"W,4-2",CG,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.272,.306,.388,.694,8,.58,0.100,.64,0.07%,1.42,,,SS,,2021-06-27,143,121,633504
34,274,76,2021-06-28,PHI,@,CIN,"L,4-12",CG,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.271,.304,.383,.687,7,1.78,0.012,1.56,0.01%,0.22,,,SS,,2021-06-28,143,113,633867
35,275,77,2021-06-29,PHI,,MIA,"W,4-3",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.261,.293,.369,.662,8,.65,-0.065,.56,-0.03%,-1.07,,,SS,,2021-06-29,143,146,633495
36,276,81 (3),2021-07-04,PHI,,SDP,"L,1-11",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.252,.283,.357,.640,8,1.02,-0.150,.97,-0.09%,-1.99,,,SS,,2021-07-04,143,135,633374
37,277,82,2021-07-05,PHI,@,CHC,"W,13-3",8-GF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.281,.353,.634,9,.80,0.047,.63,0.02%,1.67,,,PH 2B,,2021-07-05,143,112,633386
38,278,83,2021-07-06,PHI,@,CHC,"W,15-10",9-9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.287,.353,.640,4,.01,0.000,.01,0.00%,0.27,,,PH,,2021-07-06,143,112,633393
39,279,84,2021-07-07,PHI,@,CHC,"L,3-8",7-7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.248,.285,.350,.635,9,.21,-0.005,.21,0.00%,-0.16,,,PH,,2021-07-07,143,112,633375
40,280,85,2021-07-08,PHI,@,CHC,"W,8-0",8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.246,.282,.347,.630,9,.00,0.000,.00,0.00%,-0.16,,,PH 2B,,2021-07-08,143,112,633397
41,281,87 (1),2021-07-10,PHI,@,BOS,"W,11-2",CG,5,5,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.260,.295,.366,.660,8,.45,0.027,.42,0.02%,1.13,,,3B SS,,2021-07-10,143,111,633344
42,282,88,2021-07-11,PHI,@,BOS,"W,5-4",CG,4,4,2,3,0,0,1,3,0,0,0,0,0,0,0,0,1,1,.276,.308,.402,.710,8,1.06,0.245,1.07,0.15%,2.64,,,3B,,2021-07-11,143,111,633327
43,283,89,2021-07-16,PHI,,MIA,"W,5-2",CG(7),3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.277,.309,.400,.709,7,.65,0.050,.79,0.04%,0.31,,,3B,1.0,2021-07-16,143,146,633283
44,284,90,2021-07-16,PHI,,MIA,"L,0-7",CG(7),3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.302,.391,.693,6,.43,-0.033,.49,-0.02%,-0.63,,,3B,2.0,2021-07-16,143,146,633447
45,285,91,2021-07-17,PHI,,MIA,"W,4-2",CG(10),4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.263,.294,.380,.673,7,1.14,-0.164,1.46,-0.13%,-1.91,,,3B,,2021-07-17,143,146,633299
46,286,92,2021-07-18,PHI,,MIA,"W,7-4",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.293,.376,.668,7,1.00,0.050,1.31,0.04%,0.45,,,3B,,2021-07-18,143,146,633299
47,287,93,2021-07-20,PHI,@,NYY,"L,4-6",CG,4,3,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.271,.305,.389,.694,8,1.24,0.143,1.63,0.11%,1.08,,,3B,,2021-07-20,143,147,633216
48,288,94,2021-07-21,PHI,@,NYY,"L,5-6",CG(10),5,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,.267,.310,.384,.693,8,2.76,0.179,3.42,0.13%,0.54,,,3B,,2021-07-21,143,147,633213
49,289,95,2021-07-22,PHI,,ATL,"L,2-7",CG,4,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.277,.327,.392,.719,7,.56,0.077,.73,0.06%,1.35,,,3B,,2021-07-22,143,144,633276
50,290,96,2021-07-23,PHI,,ATL,"W,5-1",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.278,.331,.391,.722,7,.65,0.029,.80,0.02%,0.48,,,SS,,2021-07-23,143,144,633214
51,291,97,2021-07-24,PHI,,ATL,"L,3-15",8-GF,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.278,.329,.391,.720,8,.04,-0.001,.05,0.00%,-0.14,,,P,,2021-07-24,143,144,633202
52,292,98,2021-07-25,PHI,,ATL,"W,2-1",CG,3,3,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,.286,.335,.416,.751,8,.92,0.013,1.19,0.01%,0.48,,,SS,,2021-07-25,143,144,633192
53,293,99,2021-07-26,PHI,,WSN,"W,6-5",CG,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.280,.329,.408,.737,7,1.71,-0.134,2.18,-0.10%,-0.77,,,3B,,2021-07-26,143,120,633168
54,294,100,2021-07-27,PHI,,WSN,"L,4-6",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.322,.398,.719,7,1.27,-0.128,1.60,-0.10%,-1.13,,,3B,,2021-07-27,143,120,633152
55,295,102 (1),2021-07-29,PHI,,WSN,"W,11-8",CG(8),4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.268,.320,.390,.710,6,1.66,-0.002,1.88,0.00%,-0.64,,,SS,2.0,2021-07-29,143,120,633134
56,296,103,2021-07-30,PHI,@,PIT,"L,0-7",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.263,.319,.383,.702,7,.49,0.001,.55,0.00%,-0.36,,,2B,,2021-07-30,143,134,633108
57,297,104,2021-07-31,PHI,@,PIT,"L,2-3",9-9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.322,.387,.709,9,1.33,0.031,1.55,0.02%,0.13,,,PH,,2021-07-31,143,134,633076
58,298,105,2021-08-01,PHI,@,PIT,"W,15-4",8-GF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.272,.326,.391,.717,9,.00,0.000,.00,0.00%,0.66,,,PH 2B,,2021-08-01,143,134,633082
59,299,106,2021-08-02,PHI,@,WSN,"W,7-5",7-GF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.330,.394,.724,9,2.85,0.115,3.69,0.09%,0.38,,,3B,,2021-08-02,143,120,633057
60,300,107,2021-08-03,PHI,@,WSN,"W,5-4",CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.276,.328,.408,.736,6,.99,0.019,1.46,0.02%,0.75,,,SS,,2021-08-03,143,120,633066
61,301,108,2021-08-04,PHI,@,WSN,"W,9-5",5-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.273,.325,.403,.728,9,.37,-0.009,.58,-0.01%,-0.35,,,2B 3B,,2021-08-04,143,120,633040
62,302,109,2021-08-05,PHI,@,WSN,"W,7-6",CG,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.272,.323,.400,.723,8,1.84,0.145,3.04,0.14%,0.85,,,2B,,2021-08-05,143,120,632992
63,303,110,2021-08-06,PHI,,NYM,"W,4-2",7-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.321,.398,.719,9,.57,-0.014,1.43,-0.02%,-0.16,,,PH 3B SS,,2021-08-06,143,121,633074
64,304,111,2021-08-07,PHI,,NYM,"W,5-3",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.320,.395,.715,7,.55,-0.064,1.38,-0.10%,-0.85,,,SS,,2021-08-07,143,121,632981
65,305,112,2021-08-08,PHI,,NYM,"W,3-0",CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.266,.315,.388,.704,7,.43,-0.039,1.13,-0.06%,-0.93,,,SS,,2021-08-08,143,121,632967
66,306,113,2021-08-10,PHI,,LAD,"L,0-5",CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.262,.314,.382,.696,7,.62,-0.035,1.08,-0.04%,-0.49,,,3B,,2021-08-10,143,119,632984
67,307,114,2021-08-11,PHI,,LAD,"L,2-8",CG,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,.262,.313,.379,.692,7,.91,0.128,1.60,0.14%,1.06,,,3B,,2021-08-11,143,119,632915
68,308,115,2021-08-12,PHI,,LAD,"W,2-1",CG,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.263,.313,.379,.692,6,1.28,0.074,2.09,0.07%,0.69,,,3B,,2021-08-12,143,119,632969
69,309,116,2021-08-13,PHI,,CIN,"L,1-6",CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.313,.378,.691,8,.88,-0.044,1.51,-0.05%,-0.34,,,3B,,2021-08-13,143,113,632901
70,310,117,2021-08-14,PHI,,CIN,"W,6-1",CG,4,4,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.273,.321,.400,.721,7,.49,0.119,.86,0.13%,1.41,,,3B,,2021-08-14,143,113,632916
71,311,118,2021-08-15,PHI,,CIN,"L,4-7",CG,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.320,.397,.717,7,1.08,-0.100,1.96,-0.11%,-0.71,,,3B,,2021-08-15,143,113,632891
72,312,119,2021-08-17,PHI,@,ARI,"L,2-3",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.268,.314,.390,.704,7,1.25,-0.133,2.05,-0.13%,-1.00,,,3B,,2021-08-17,143,109,632869
73,313,120,2021-08-18,PHI,@,ARI,"L,2-4",GS-7,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.264,.310,.384,.695,8,1.03,-0.076,1.54,-0.07%,-0.64,,,3B,,2021-08-18,143,109,632848
74,314,121,2021-08-19,PHI,@,ARI,"L,2-6",CG,4,4,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.268,.314,.391,.704,7,.67,-0.025,.88,-0.02%,0.95,,,3B,,2021-08-19,143,109,632841
75,315,122,2021-08-20,PHI,@,SDP,"W,4-3",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.263,.308,.384,.692,7,.50,-0.049,.61,-0.04%,-0.50,,,3B SS,,2021-08-20,143,135,632817
76,316,123,2021-08-21,PHI,@,SDP,"L,3-4",CG(10),4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.260,.307,.379,.686,7,.94,-0.053,1.25,-0.04%,-0.92,,,3B,,2021-08-21,143,135,632806
77,317,124,2021-08-22,PHI,@,SDP,"W,7-4",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.306,.377,.683,7,.85,-0.023,.92,-0.02%,-0.59,,,3B,,2021-08-22,143,135,632830
78,318,125,2021-08-24,PHI,,TBR,"L,1-3",GS-9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.303,.372,.675,7,1.21,-0.096,1.30,-0.06%,-0.73,,,3B,,2021-08-24,143,139,632777
79,319,126,2021-08-25,PHI,,TBR,"L,4-7",GS-9,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.307,.376,.683,7,1.05,0.072,1.14,0.05%,0.87,,,3B,,2021-08-25,143,139,632727
80,320,127,2021-08-26,PHI,,ARI,"L,7-8",GS-5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.305,.372,.677,7,.48,-0.025,.50,-0.02%,-0.27,,,3B,,2021-08-26,143,109,632746
81,321,128,2021-08-27,PHI,,ARI,"W,7-6",11-GF(11),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.304,.371,.674,9,2.57,-0.176,2.19,-0.09%,-0.60,,,PH,,2021-08-27,143,109,632808
82,322,129,2021-08-28,PHI,,ARI,"W,7-0",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.258,.303,.369,.672,7,.23,-0.029,.19,-0.01%,-0.21,,,3B,,2021-08-28,143,109,632712
83,323,130,2021-08-29,PHI,,ARI,"W,7-4",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.298,.363,.661,7,.72,-0.063,.77,-0.04%,-1.10,,,3B,,2021-08-29,143,109,632673
84,324,131,2021-08-30,PHI,@,WSN,"W,7-4",CG,4,4,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,.258,.301,.373,.674,7,.84,0.160,.97,0.11%,2.05,,,3B,,2021-08-30,143,120,632691
85,325,132,2021-08-31,PHI,@,WSN,"W,12-6",CG,6,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.298,.372,.670,6,.93,-0.067,1.34,-0.06%,-1.72,,,3B,,2021-08-31,143,120,632677
86,326,133,2021-09-02,PHI,@,WSN,"W,7-6",GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.254,.296,.369,.665,6,.38,-0.020,.70,-0.02%,-0.20,,,3B,,2021-09-02,143,120,632670
87,327,134,2021-09-03,PHI,@,MIA,"L,3-10",6-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.252,.294,.366,.660,9,.04,-0.002,.08,0.00%,-0.60,,,2B 3B,,2021-09-03,143,146,632621
88,328,135,2021-09-04,PHI,@,MIA,"L,2-3",CG,4,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,.249,.293,.362,.656,8,1.98,-0.166,3.77,-0.19%,-1.07,,,3B,,2021-09-04,143,146,632626
89,329,136,2021-09-05,PHI,@,MIA,"W,4-3",CG(10),4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.293,.361,.653,8,1.85,-0.149,3.48,-0.17%,-0.92,,,3B,,2021-09-05,143,146,632602
90,330,137,2021-09-06,PHI,@,MIL,"W,12-0",7-GF,3,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.254,.297,.364,.661,9,.10,0.011,.20,0.01%,1.22,,,PH 3B,,2021-09-06,143,158,632584
91,331,138,2021-09-07,PHI,@,MIL,"L,0-10",CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.255,.297,.364,.661,7,.54,0.023,1.16,0.03%,-0.16,,,3B,,2021-09-07,143,158,632569
92,332,139,2021-09-08,PHI,@,MIL,"L,3-4",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.252,.296,.360,.656,7,.97,-0.019,1.86,-0.02%,-0.30,,,3B,,2021-09-08,143,158,632565
93,333,140,2021-09-09,PHI,,COL,"L,3-4",GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.293,.356,.649,7,.94,-0.044,1.72,-0.05%,-0.47,,,3B,,2021-09-09,143,115,632548
94,334,141,2021-09-10,PHI,,COL,"L,2-11",5-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.248,.292,.355,.647,9,.51,-0.013,.78,-0.01%,-0.16,,,PH,,2021-09-10,143,115,632537
95,335,142,2021-09-11,PHI,,COL,"W,6-1",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.245,.289,.350,.638,7,.86,-0.100,.90,-0.06%,-1.64,,,3B,,2021-09-11,143,115,632540
