Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,61,2021-04-04,LAD,@,COL,"W,4-2",GS-8,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.61,-0.04,0.71,-0.03%,-0.76,0.0,0.0,P,,2021-04-04,119,115,634557,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,62,2021-04-10,LAD,,WSN,"W,9-5",GS-6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.72,-0.071,0.81,-0.05%,-0.93,0.0,0.0,P,,2021-04-10,119,120,632191,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,63,2021-04-15,LAD,,COL,"W,7-5",GS-7,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.333,9,0.8,0.008,1.01,0.01%,0.02,0.0,0.0,P,,2021-04-15,119,115,634547,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,64,2021-04-26,LAD,,CIN,"L,3-5",GS-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.286,9,0.99,-0.026,1.21,-0.02%,-0.25,0.0,0.0,P,,2021-04-26,119,113,634363,2021,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,2.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,2.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,2.0
5,65,2021-05-02,LAD,@,MIL,"W,16-4",GS-8,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.091,0.091,0.091,0.182,9,0.06,-0.009,0.08,-0.01%,-1.47,0.0,0.0,P,,2021-05-02,119,158,634282,2021,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0
6,66,2021-05-12,LAD,,SEA,"W,7-1",GS-7,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.071,0.071,0.143,9,0.75,-0.061,0.8,-0.04%,-1.14,0.0,0.0,P,,2021-05-12,119,136,634140,2021,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,2.0,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,2.0,0.091,0.091,0.091,0.182,0.0,0.0,0.0,1.0,2.0
7,67,2021-05-18,LAD,,ARI,"W,9-1",GS-7,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.118,0.118,0.235,9,0.83,-0.038,1.02,-0.03%,-0.21,0.0,0.0,P,,2021-05-18,119,109,634092,2021,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,4.0,0.083,0.083,0.083,0.167,0.0,0.0,0.0,1.0,4.0,0.071,0.071,0.071,0.143,0.0,0.0,0.0,1.0,4.0
8,68,2021-05-23,LAD,@,SFG,"W,11-5",GS-7,3.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.25,0.45,9,0.78,0.204,1.23,0.19%,2.78,0.0,0.0,P,,2021-05-23,119,137,633980,2021,0.118,0.118,0.118,0.235,0.0,0.0,0.0,2.0,5.0,0.154,0.154,0.154,0.308,0.0,0.0,0.0,2.0,4.0,0.118,0.118,0.118,0.235,0.0,0.0,0.0,2.0,5.0
9,69,2021-05-29,LAD,,SFG,"L,6-11",GS-6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.238,0.429,9,1.16,0.002,1.79,0.00%,-0.05,0.0,0.0,P,,2021-05-29,119,137,633938,2021,0.2,0.2,0.3,0.5,0.0,0.0,1.0,5.0,5.0,0.214,0.214,0.357,0.571,0.0,0.0,1.0,4.0,3.0,0.2,0.2,0.3,0.5,0.0,0.0,1.0,5.0,5.0
10,70,2021-06-04,LAD,@,ATL,"W,9-5",GS-6,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.227,0.409,9,1.43,0.075,1.83,0.06%,0.62,0.0,0.0,P,,2021-06-04,119,144,633820,2021,0.19,0.19,0.286,0.476,0.0,0.0,1.0,5.0,6.0,0.214,0.214,0.357,0.571,0.0,0.0,1.0,4.0,4.0,0.19,0.19,0.286,0.476,0.0,0.0,1.0,5.0,6.0
