Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,284,2021-04-04,BAL,@,BOS,"W,11-3",3-GF,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,8,0.03,0.001,0.03,0.00%,-0.05,0.0,0.0,PR LF,,2021-04-04,110,111,634610,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,285,2021-04-05,BAL,@,NYY,"L,0-7",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.286,6,0.64,-0.062,0.8,-0.05%,-0.88,0.0,0.0,1B,,2021-04-05,110,147,634587,2021,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0,0.333,0.333,0.333,0.667,0.0,0.0,0.0,1.0,1.0
3,286,2021-04-07,BAL,@,NYY,"W,4-3",11-GF(11),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.286,9,,,,,,0.0,0.0,PR 2B,,2021-04-07,110,147,634539,2021,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0
4,287,2021-04-08,BAL,,BOS,"L,3-7",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.111,0.311,9,0.72,-0.009,0.89,-0.01%,-0.03,0.0,0.0,2B,,2021-04-08,110,111,634544,2021,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0,0.143,0.143,0.143,0.286,0.0,0.0,0.0,1.0,2.0
5,288,2021-04-27,BAL,,NYY,"L,1-5",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.143,0.077,0.22,9,0.82,-0.082,0.77,-0.05%,-0.95,0.0,0.0,SS,,2021-04-27,110,147,634387,2021,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,2.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,2.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,2.0
6,289,2021-04-28,BAL,,NYY,"L,0-7",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.118,0.063,0.18,9,0.25,-0.02,0.22,-0.01%,-0.59,0.0,0.0,SS,,2021-04-28,110,147,634362,2021,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,2.0,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,2.0,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,2.0
7,290,2021-04-29,BAL,,NYY,"W,4-3",CG(10),4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.053,0.1,0.053,0.153,9,1.36,-0.061,1.09,-0.03%,-0.79,0.0,0.0,2B,,2021-04-29,110,147,634300,2021,0.062,0.118,0.062,0.18,0.0,0.0,0.0,1.0,3.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0.0,2.0,0.062,0.118,0.062,0.18,0.0,0.0,0.0,1.0,3.0
8,291,2021-04-30,BAL,@,OAK,"W,3-2",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.125,0.087,0.212,7,0.91,-0.098,0.73,-0.05%,-1.11,0.0,0.0,2B,,2021-04-30,110,133,634381,2021,0.053,0.1,0.053,0.153,0.0,0.0,0.0,1.0,4.0,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0.0,2.0,0.053,0.1,0.053,0.153,0.0,0.0,0.0,1.0,4.0
9,292,2021-05-01,BAL,@,OAK,"W,8-4",6-GF,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16,0.125,0.285,7,0.06,0.002,0.05,0.00%,0.38,0.0,0.0,2B,,2021-05-01,110,133,634319,2021,0.087,0.125,0.087,0.212,0.0,0.0,0.0,2.0,4.0,0.062,0.118,0.062,0.18,0.0,0.0,0.0,1.0,2.0,0.087,0.125,0.087,0.212,0.0,0.0,0.0,2.0,4.0
10,293,2021-05-03,BAL,@,SEA,"W,5-3",CG,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.241,0.222,0.464,9,0.93,0.151,0.84,0.08%,0.76,0.0,0.0,2B,,2021-05-03,110,136,634242,2021,0.125,0.16,0.125,0.285,0.0,0.0,0.0,3.0,4.0,0.133,0.133,0.133,0.267,0.0,0.0,0.0,2.0,2.0,0.125,0.16,0.125,0.285,0.0,0.0,0.0,3.0,4.0
