Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,38,2021-04-28,ARI,,SDP,"L,3-12",5-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.36,-0.031,1.52,-0.02%,-0.36,0.0,0.0,PH,,2021-04-28,109,135,634322,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,39,2021-04-29,ARI,,COL,"W,5-3",4-5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,9,0.55,0.03,0.55,0.02%,0.22,0.0,0.0,PH,,2021-04-29,109,115,634385,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,40,2021-04-30,ARI,,COL,"W,7-2",8-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,1.0,9,0.02,0.0,0.02,0.00%,-0.16,0.0,0.0,PH,,2021-04-30,109,115,634328,2021,0.5,0.5,1.5,2.0,0.0,0.0,1.0,2.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,1.0,2.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,1.0,2.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,1.0,2.0,0.0,0.5,0.5,1.5,2.0,0.0,0.0,1.0,2.0,0.0
4,41,2021-05-01,ARI,,COL,"L,6-14",5-8,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,9,1.41,0.016,1.57,0.01%,0.21,0.0,0.0,CF,,2021-05-01,109,115,634286,2021,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,1.0,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,1.0,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,1.0,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,1.0,0.333,0.333,1.0,1.333,0.0,0.0,1.0,2.0,1.0
5,42,2021-05-02,ARI,,COL,"W,8-4",CG,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.444,0.778,1.222,7,0.76,0.032,0.82,0.02%,0.98,0.0,0.0,RF,,2021-05-02,109,115,634299,2021,0.4,0.4,1.2,1.6,0.0,0.0,2.0,4.0,1.0,0.4,0.4,1.2,1.6,0.0,0.0,2.0,4.0,1.0,0.4,0.4,1.2,1.6,0.0,0.0,2.0,4.0,1.0,0.5,0.5,1.5,2.0,0.0,0.0,2.0,4.0,1.0,0.4,0.4,1.2,1.6,0.0,0.0,2.0,4.0,1.0
6,43,2021-05-04,ARI,@,MIA,"L,3-9",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.444,0.778,1.222,5,,,,,,0.0,0.0,PR CF,,2021-05-04,109,146,634245,2021,0.444,0.444,1.111,1.556,0.0,0.0,3.0,7.0,1.0,0.444,0.444,1.111,1.556,0.0,0.0,3.0,7.0,1.0,0.444,0.444,1.111,1.556,0.0,0.0,3.0,7.0,1.0,0.429,0.429,1.0,1.429,0.0,0.0,2.0,5.0,1.0,0.444,0.444,1.111,1.556,0.0,0.0,3.0,7.0,1.0
7,44,2021-05-05,ARI,@,MIA,"L,0-8",5-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.1,9,0.39,-0.01,0.41,-0.01%,-0.3,0.0,0.0,PH,,2021-05-05,109,146,634249,2021,0.444,0.444,1.111,1.556,0.0,0.0,3.0,7.0,1.0,0.444,0.444,1.111,1.556,0.0,0.0,3.0,7.0,1.0,0.5,0.5,1.25,1.75,0.0,0.0,3.0,7.0,1.0,0.5,0.5,1.167,1.667,0.0,0.0,2.0,5.0,0.0,0.444,0.444,1.111,1.556,0.0,0.0,3.0,7.0,1.0
8,45,2021-05-06,ARI,@,MIA,"L,1-3",CG,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.286,0.286,0.5,0.786,8,0.84,-0.062,0.86,-0.04%,-0.38,0.0,0.0,CF,,2021-05-06,109,146,634291,2021,0.4,0.4,1.0,1.4,0.0,0.0,3.0,7.0,1.0,0.4,0.4,1.0,1.4,0.0,0.0,3.0,7.0,1.0,0.375,0.375,0.875,1.25,0.0,0.0,2.0,5.0,1.0,0.4,0.4,0.8,1.2,0.0,0.0,1.0,3.0,0.0,0.4,0.4,1.0,1.4,0.0,0.0,3.0,7.0,1.0
9,46,2021-05-07,ARI,@,NYM,"L,4-5",7-7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.267,0.467,0.733,9,0.57,-0.016,0.57,-0.01%,-0.23,0.0,0.0,PH,,2021-05-07,109,121,634252,2021,0.286,0.286,0.714,1.0,0.0,0.0,3.0,7.0,1.0,0.286,0.286,0.714,1.0,0.0,0.0,3.0,7.0,1.0,0.273,0.273,0.636,0.909,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.714,1.0,0.0,0.0,3.0,7.0,1.0
10,47,2021-05-08,ARI,@,NYM,"L,2-4",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.267,0.467,0.733,8,,,,,,0.0,0.0,PR CF,,2021-05-08,109,121,634190,2021,0.267,0.267,0.667,0.933,0.0,0.0,3.0,7.0,1.0,0.267,0.267,0.667,0.933,0.0,0.0,3.0,7.0,1.0,0.2,0.2,0.4,0.6,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.267,0.667,0.933,0.0,0.0,3.0,7.0,1.0
