Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,477,2021-04-02,BOS,,BAL,"L,0-3",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,8,1.07,-0.034,1.13,-0.02%,-0.3,0.0,0.0,C,,2021-04-02,111,110,634627,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,478,2021-04-03,BOS,,BAL,"L,2-4",9-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,9,4.83,-0.115,4.77,-0.07%,-0.5,0.0,0.0,PH,,2021-04-03,111,110,634577,2021,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0
3,479,2021-04-04,BOS,,BAL,"L,3-11",CG,4.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.5,0.571,1.071,7,0.09,0.006,0.09,0.00%,0.93,0.0,0.0,C,,2021-04-04,111,110,634610,2021,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
4,480,2021-04-05,BOS,,TBR,"W,11-2",CG,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.455,0.5,0.545,1.045,6,0.69,0.109,0.6,0.06%,0.59,0.0,0.0,C,,2021-04-05,111,139,634601,2021,0.429,0.5,0.714,1.214,0.0,0.0,1.0,4.0,1.0,0.429,0.5,0.714,1.214,0.0,0.0,1.0,4.0,1.0,0.429,0.5,0.714,1.214,0.0,0.0,1.0,4.0,1.0
5,481,2021-04-06,BOS,,TBR,"W,6-5",CG(12),5.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.471,0.667,1.137,6,2.24,0.297,2.08,0.17%,0.22,0.0,0.0,C,,2021-04-06,111,139,634590,2021,0.455,0.5,0.636,1.136,0.0,0.0,1.0,6.0,1.0,0.455,0.5,0.636,1.136,0.0,0.0,1.0,6.0,1.0,0.455,0.5,0.636,1.136,0.0,0.0,1.0,6.0,1.0
6,482,2021-04-07,BOS,,TBR,"W,9-2",CG,4.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421,0.476,0.789,1.266,5,0.85,0.192,0.83,0.11%,1.95,0.0,0.0,DH,,2021-04-07,111,139,634641,2021,0.4,0.471,0.8,1.271,1.0,0.0,2.0,10.0,2.0,0.4,0.471,0.8,1.271,1.0,0.0,2.0,10.0,2.0,0.4,0.471,0.8,1.271,1.0,0.0,2.0,10.0,2.0
7,483,2021-04-08,BOS,@,BAL,"W,7-3",CG,5.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.458,0.5,0.833,1.333,5,0.98,0.117,1.09,0.08%,0.4,0.0,0.0,C,,2021-04-08,111,110,634544,2021,0.421,0.476,0.947,1.424,1.0,0.0,3.0,15.0,3.0,0.471,0.5,1.059,1.559,1.0,0.0,3.0,15.0,3.0,0.421,0.476,0.947,1.424,1.0,0.0,3.0,15.0,3.0
8,484,2021-04-10,BOS,@,BAL,"W,6-4",CG(10),5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.452,0.724,1.176,4,1.37,0.048,1.59,0.03%,-0.02,0.0,0.0,C DH,,2021-04-10,111,110,634491,2021,0.458,0.5,1.042,1.542,2.0,0.0,5.0,20.0,3.0,0.524,0.545,1.19,1.736,2.0,0.0,5.0,20.0,3.0,0.458,0.5,1.042,1.542,2.0,0.0,5.0,20.0,3.0
9,485,2021-04-11,BOS,@,BAL,"W,14-9",CG,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.382,0.417,0.647,1.064,6,0.31,-0.047,0.37,-0.03%,-1.29,0.0,0.0,C,,2021-04-11,111,110,632200,2021,0.414,0.452,0.897,1.348,2.0,0.0,5.0,21.0,5.0,0.409,0.435,0.955,1.389,2.0,0.0,4.0,17.0,4.0,0.414,0.452,0.897,1.348,2.0,0.0,5.0,21.0,5.0
10,486,2021-04-13,BOS,@,MIN,"W,4-2",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.342,0.375,0.579,0.954,6,1.07,-0.171,1.16,-0.11%,-1.68,0.0,0.0,C,,2021-04-13,111,142,632190,2021,0.382,0.417,0.794,1.211,2.0,0.0,5.0,22.0,5.0,0.348,0.375,0.87,1.245,2.0,0.0,4.0,16.0,4.0,0.382,0.417,0.794,1.211,2.0,0.0,5.0,22.0,5.0
