Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,647,1,2021-04-01,ARI,@,SDP,"L,7-8",CG,4,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.250,.250,1.000,1.250,8,1.04,0.066,1.14,0.04%,0.28,,,C,,2021-04-01,109,135,634618
2,648,2,2021-04-02,ARI,@,SDP,"L,2-4",8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.200,.800,1.000,6,.49,-0.013,.51,-0.01%,-0.10,,,PH C,,2021-04-02,109,135,634576
3,649,3,2021-04-03,ARI,@,SDP,"L,0-7",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.125,.500,.625,8,.33,-0.026,.31,-0.02%,-0.59,,,C,,2021-04-03,109,135,634623
4,650,5 (1),2021-04-06,ARI,@,COL,"W,10-8",6-GF(13),4,4,3,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.250,.250,.750,1.000,9,2.94,0.388,2.72,0.22%,1.65,,,C,,2021-04-06,109,115,634619
5,651,6,2021-04-07,ARI,@,COL,"L,0-8",8-8,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.250,.250,.750,1.000,2,,,,,,,,PH,,2021-04-07,109,115,634542
6,652,7,2021-04-08,ARI,@,COL,"L,3-7",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.200,.250,.600,.850,7,.64,-0.047,.64,-0.03%,-0.70,,,C,,2021-04-08,109,115,634564
7,653,9 (1),2021-04-10,ARI,,CIN,"W,8-3",CG,4,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.222,.300,.556,.856,8,1.26,0.167,.97,0.08%,2.04,,,C,,2021-04-10,109,113,634484
8,654,11 (1),2021-04-12,ARI,,OAK,"L,5-9",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.182,.250,.455,.705,8,.68,-0.070,.53,-0.03%,-0.69,,,C,,2021-04-12,109,133,632231
9,655,15 (3),2021-04-17,ARI,@,WSN,"L,2-6",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.154,.214,.385,.599,8,1.05,-0.105,.78,-0.05%,-1.13,,,C,,2021-04-17,109,120,634507
10,656,18 (2),2021-04-21,ARI,@,CIN,"W,8-5",GS-9,3,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.143,.226,.357,.583,6,.96,-0.031,.75,-0.02%,-0.29,,,C,,2021-04-21,109,113,634408
