Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,43,2021-04-11,SFG,,COL,"W,4-0",CG,4.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.75,1.0,1.75,8,0.41,0.065,0.46,0.04%,1.06,0.0,0.0,LF CF,,2021-04-11,137,115,632188,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,44,2021-04-12,SFG,,CIN,"L,0-3",8-GF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.75,1.35,7,1.05,-0.027,1.14,-0.02%,-0.24,0.0,0.0,PH RF,,2021-04-12,137,113,634648,2021,0.667,0.75,1.333,2.083,0.0,0.0,1.0,3.0,0.0,0.667,0.75,1.333,2.083,0.0,0.0,1.0,3.0,0.0,0.667,0.75,1.333,2.083,0.0,0.0,1.0,3.0,0.0
3,45,2021-04-13,SFG,,CIN,"W,7-6",GS-6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.429,0.5,0.929,8,0.77,-0.039,0.8,-0.02%,-0.34,0.0,0.0,CF,,2021-04-13,137,113,634510,2021,0.5,0.6,1.0,1.6,0.0,0.0,1.0,3.0,1.0,0.5,0.6,1.0,1.6,0.0,0.0,1.0,3.0,1.0,0.5,0.6,1.0,1.6,0.0,0.0,1.0,3.0,1.0
4,46,2021-05-13,SFG,@,PIT,"W,3-1",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.273,0.3,0.573,6,0.54,-0.058,0.69,-0.04%,-0.72,0.0,0.0,1B,,2021-05-13,137,134,634113,2021,0.333,0.429,0.667,1.095,0.0,0.0,1.0,3.0,2.0,0.333,0.429,0.667,1.095,0.0,0.0,1.0,3.0,2.0,0.333,0.429,0.667,1.095,0.0,0.0,1.0,3.0,2.0
5,47,2021-05-15,SFG,@,PIT,"L,6-8",8-8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.333,0.364,0.697,9,0.98,0.025,1.27,0.02%,0.13,0.0,0.0,PH,,2021-05-15,137,134,634085,2021,0.2,0.273,0.4,0.673,0.0,0.0,1.0,3.0,6.0,0.2,0.273,0.4,0.673,0.0,0.0,1.0,3.0,6.0,0.2,0.273,0.4,0.673,0.0,0.0,1.0,3.0,6.0
6,48,2021-05-28,SFG,@,LAD,"W,8-5",CG(10),5.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.471,0.385,0.855,1,1.79,0.416,2.89,0.40%,1.88,0.0,0.0,1B,,2021-05-28,137,119,633921,2021,0.273,0.333,0.455,0.788,0.0,0.0,1.0,4.0,6.0,0.273,0.333,0.455,0.788,0.0,0.0,1.0,4.0,6.0,0.273,0.333,0.455,0.788,0.0,0.0,1.0,4.0,6.0
7,49,2021-05-29,SFG,@,LAD,"W,11-6",7-GF,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.474,0.4,0.874,5,0.3,0.021,0.47,0.02%,0.3,0.0,0.0,PH 1B,,2021-05-29,137,119,633938,2021,0.308,0.471,0.462,0.932,0.0,0.0,1.0,5.0,6.0,0.2,0.385,0.2,0.585,0.0,0.0,0.0,2.0,6.0,0.308,0.471,0.462,0.932,0.0,0.0,1.0,5.0,6.0
8,50,2021-05-30,SFG,@,LAD,"W,5-4",7-GF,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.476,0.412,0.888,3,0.16,0.005,0.24,0.00%,0.67,0.0,0.0,PH 1B,,2021-05-30,137,119,633923,2021,0.333,0.474,0.467,0.94,1.0,0.0,1.0,6.0,6.0,0.273,0.429,0.273,0.701,1.0,0.0,0.0,3.0,5.0,0.333,0.474,0.467,0.94,1.0,0.0,1.0,6.0,6.0
9,51,2021-05-31,SFG,,LAA,"W,6-1",GS-7,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.458,0.55,1.008,1,0.93,0.053,1.14,0.04%,0.41,0.0,0.0,1B,,2021-05-31,137,108,633897,2021,0.353,0.476,0.471,0.947,1.0,0.0,1.0,7.0,7.0,0.364,0.5,0.364,0.864,1.0,0.0,0.0,4.0,5.0,0.353,0.476,0.471,0.947,1.0,0.0,1.0,7.0,7.0
10,52,2021-06-01,SFG,,LAA,"L,1-8",8-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.44,0.524,0.964,2,0.02,0.0,0.03,0.00%,-0.1,0.0,0.0,PH,,2021-06-01,137,108,633864,2021,0.35,0.458,0.65,1.108,1.0,0.0,2.0,11.0,8.0,0.5,0.615,0.9,1.515,1.0,0.0,1.0,8.0,2.0,0.35,0.458,0.65,1.108,1.0,0.0,2.0,11.0,8.0
