Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,392,2 (1),2021-04-03,STL,@,CIN,"L,6-9",GS-3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.65,-0.017,.71,-0.01%,-0.18,,,P,,2021-04-03,138,113,634654
2,393,7 (4),2021-04-08,STL,,MIL,"W,3-1",GS-6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.77,-0.019,.88,-0.01%,-0.15,,,P,,2021-04-08,138,158,634568
3,394,12 (4),2021-04-14,STL,,WSN,"L,0-6",GS-5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.05,-0.026,1.04,-0.02%,-0.23,,,P,,2021-04-14,138,120,634541
4,395,17 (4),2021-04-20,STL,@,WSN,"L,2-3",GS-8,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.98,-0.053,.99,-0.03%,-0.46,,,P,,2021-04-20,138,120,634509
5,396,22 (4),2021-04-26,STL,,PHI,"L,1-2",GS-9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,9,1.29,-0.120,1.35,-0.08%,-0.86,,,P,,2021-04-26,138,143,634345
6,397,29 (6),2021-05-03,STL,,NYM,"W,6-5",GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.75,-0.037,.91,-0.03%,-0.38,,,P,,2021-05-03,138,121,634292
7,398,35 (5),2021-05-09,STL,,COL,"W,2-0",GS-9,3,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,.000,.000,.000,.000,9,1.12,-0.066,1.44,-0.05%,-1.05,,,P,,2021-05-09,138,115,634194
8,399,40 (4),2021-05-15,STL,@,SDP,"L,3-13",GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.46,-0.033,2.01,-0.03%,-0.35,,,P,,2021-05-15,138,135,634143
9,400,46 (5),2021-05-23,STL,,CHC,"L,1-2",GS-9,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.91,0.026,3.05,0.03%,0.20,,,P,,2021-05-23,138,112,633973
10,401,52 (5),2021-05-29,STL,@,ARI,"W,7-4",GS-6,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.23,-0.019,.31,-0.02%,-0.66,,,P,,2021-05-29,138,109,633913
