Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,56,2021-04-03,MIA,,TBR,"W,12-7",CG,4.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.667,0.5,0.667,1.167,8,1.05,0.14,0.86,0.07%,0.66,0.0,0.0,C,,2021-04-03,146,139,634596,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,57,2021-04-07,MIA,,STL,"L,0-7",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.286,0.333,0.619,8,0.89,-0.068,0.74,-0.03%,-0.58,0.0,0.0,C,,2021-04-07,146,138,634585,2021,0.667,0.5,0.667,1.167,0.0,0.0,0.0,2.0,1.0,0.667,0.5,0.667,1.167,0.0,0.0,0.0,2.0,1.0,0.667,0.5,0.667,1.167,0.0,0.0,0.0,2.0,1.0,0.667,0.5,0.667,1.167,0.0,0.0,0.0,2.0,1.0,0.667,0.5,0.667,1.167,0.0,0.0,0.0,2.0,1.0
3,58,2021-04-08,MIA,@,NYM,"L,2-3",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.2,0.222,0.422,8,1.15,-0.087,0.96,-0.04%,-0.69,0.0,0.0,C,,2021-04-08,146,121,634584,2021,0.333,0.286,0.333,0.619,0.0,0.0,0.0,2.0,4.0,0.333,0.286,0.333,0.619,0.0,0.0,0.0,2.0,4.0,0.333,0.286,0.333,0.619,0.0,0.0,0.0,2.0,4.0,0.333,0.286,0.333,0.619,0.0,0.0,0.0,2.0,4.0,0.333,0.286,0.333,0.619,0.0,0.0,0.0,2.0,4.0
4,59,2021-04-10,MIA,@,NYM,"W,3-0",CG,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.214,0.308,0.522,8,0.85,-0.075,0.68,-0.04%,-1.17,0.0,0.0,C,,2021-04-10,146,121,632201,2021,0.222,0.2,0.222,0.422,0.0,0.0,0.0,2.0,4.0,0.222,0.2,0.222,0.422,0.0,0.0,0.0,2.0,4.0,0.222,0.2,0.222,0.422,0.0,0.0,0.0,2.0,4.0,0.222,0.2,0.222,0.422,0.0,0.0,0.0,2.0,4.0,0.222,0.2,0.222,0.422,0.0,0.0,0.0,2.0,4.0
5,60,2021-04-11,MIA,@,NYM,"L,5-6",GS-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.214,0.308,0.522,8,,,,,,0.0,0.0,C,,2021-04-11,146,121,632192,2021,0.231,0.214,0.385,0.599,0.0,0.0,1.0,4.0,7.0,0.231,0.214,0.385,0.599,0.0,0.0,1.0,4.0,7.0,0.231,0.214,0.385,0.599,0.0,0.0,1.0,4.0,7.0,0.1,0.1,0.3,0.4,0.0,0.0,1.0,2.0,6.0,0.231,0.214,0.385,0.599,0.0,0.0,1.0,4.0,7.0
6,61,2021-04-12,MIA,@,ATL,"W,5-3",CG(10),4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.167,0.235,0.402,8,1.48,-0.16,1.26,-0.08%,-0.87,0.0,0.0,C,,2021-04-12,146,144,632219,2021,0.231,0.214,0.385,0.599,0.0,0.0,1.0,4.0,7.0,0.231,0.214,0.385,0.599,0.0,0.0,1.0,4.0,7.0,0.231,0.214,0.385,0.599,0.0,0.0,1.0,4.0,7.0,0.143,0.143,0.429,0.571,0.0,0.0,1.0,2.0,3.0,0.231,0.214,0.385,0.599,0.0,0.0,1.0,4.0,7.0
7,62,2021-04-15,MIA,@,ATL,"L,6-7",CG,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.227,0.25,0.477,8,0.93,0.044,0.95,0.03%,0.75,0.0,0.0,C,,2021-04-15,146,144,634579,2021,0.176,0.167,0.294,0.461,0.0,0.0,1.0,4.0,10.0,0.176,0.167,0.294,0.461,0.0,0.0,1.0,4.0,10.0,0.071,0.071,0.214,0.286,0.0,0.0,1.0,2.0,9.0,0.125,0.125,0.375,0.5,0.0,0.0,1.0,2.0,6.0,0.176,0.167,0.294,0.461,0.0,0.0,1.0,4.0,10.0
8,63,2021-04-17,MIA,,SFG,"W,7-6",10-GF(10),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.217,0.238,0.455,7,7.15,-0.164,6.7,-0.09%,-0.48,0.0,0.0,PH,,2021-04-17,146,137,634450,2021,0.2,0.227,0.3,0.527,0.0,0.0,1.0,5.0,11.0,0.2,0.227,0.3,0.527,0.0,0.0,1.0,5.0,11.0,0.143,0.2,0.286,0.486,0.0,0.0,1.0,3.0,7.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,4.0,0.2,0.227,0.3,0.527,0.0,0.0,1.0,5.0,11.0
9,64,2021-04-18,MIA,,SFG,"L,0-1",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.192,0.208,0.401,8,1.47,-0.117,1.5,-0.07%,-0.71,0.0,0.0,C,,2021-04-18,146,137,634425,2021,0.19,0.217,0.286,0.503,0.0,0.0,1.0,5.0,11.0,0.19,0.217,0.286,0.503,0.0,0.0,1.0,5.0,11.0,0.167,0.231,0.333,0.564,0.0,0.0,1.0,3.0,7.0,0.125,0.222,0.125,0.347,0.0,0.0,0.0,1.0,4.0,0.19,0.217,0.286,0.503,0.0,0.0,1.0,5.0,11.0
10,65,2021-04-20,MIA,,BAL,"L,5-7",4-GF,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.25,0.269,0.519,7,1.0,0.075,0.93,0.04%,0.51,0.0,0.0,PR C,,2021-04-20,146,110,634427,2021,0.167,0.192,0.25,0.442,0.0,0.0,1.0,5.0,13.0,0.167,0.192,0.25,0.442,0.0,0.0,1.0,5.0,13.0,0.091,0.167,0.091,0.258,0.0,0.0,0.0,1.0,6.0,0.143,0.25,0.143,0.393,0.0,0.0,0.0,1.0,3.0,0.167,0.192,0.25,0.442,0.0,0.0,1.0,5.0,13.0
