Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,64.0,2021-04-02,LAA,,CHW,"L,8-12",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,,,,,,0.0,0.0,PR 1B,,2021-04-02,108,145,634631,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,65.0,2021-04-03,LAA,,CHW,"W,5-3",CG,4.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,5.0,2.21,0.4,2.1,0.23%,1.24,0.0,0.0,1B,,2021-04-03,108,145,634646,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,66.0,2021-04-04,LAA,,CHW,"W,7-4",CG,5.0,4.0,2.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.556,1.5,2.056,5.0,1.57,0.453,1.52,0.26%,3.58,0.0,0.0,1B,,2021-04-04,108,145,634637,2021,0.5,0.5,1.25,1.75,0.0,0.0,1.0,4.0,1.0,0.5,0.5,1.25,1.75,0.0,0.0,1.0,4.0,1.0,0.5,0.5,1.25,1.75,0.0,0.0,1.0,4.0,1.0,0.5,0.5,1.25,1.75,0.0,0.0,1.0,4.0,1.0,0.5,0.5,1.25,1.75,0.0,0.0,1.0,4.0,1.0
4.0,67.0,2021-04-05,LAA,,HOU,"W,7-6",CG,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.429,1.0,1.429,2.0,1.62,0.139,1.89,0.10%,0.95,0.0,0.0,1B,,2021-04-05,108,117,634552,2021,0.5,0.556,1.875,2.431,0.0,0.0,3.0,12.0,2.0,0.5,0.556,1.875,2.431,0.0,0.0,3.0,12.0,2.0,0.5,0.556,1.875,2.431,0.0,0.0,3.0,12.0,2.0,0.5,0.556,1.875,2.431,0.0,0.0,3.0,12.0,2.0,0.5,0.556,1.875,2.431,0.0,0.0,3.0,12.0,2.0
5.0,68.0,2021-04-06,LAA,,HOU,"L,2-4",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.444,0.882,1.327,5.0,0.78,0.035,0.97,0.03%,0.13,0.0,0.0,RF,,2021-04-06,108,117,634586,2021,0.385,0.429,1.231,1.659,0.0,0.0,3.0,13.0,2.0,0.385,0.429,1.231,1.659,0.0,0.0,3.0,13.0,2.0,0.385,0.429,1.231,1.659,0.0,0.0,3.0,13.0,2.0,0.385,0.429,1.231,1.659,0.0,0.0,3.0,13.0,2.0,0.385,0.429,1.231,1.659,0.0,0.0,3.0,13.0,2.0
6.0,69.0,2021-04-08,LAA,@,TOR,"W,7-5",CG(11),5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.391,0.714,1.106,5.0,1.5,-0.157,1.59,-0.10%,-0.95,0.0,0.0,1B,,2021-04-08,108,141,634545,2021,0.412,0.444,1.059,1.503,0.0,0.0,3.0,15.0,3.0,0.412,0.444,1.059,1.503,0.0,0.0,3.0,15.0,3.0,0.412,0.444,1.059,1.503,0.0,0.0,3.0,15.0,3.0,0.385,0.429,1.0,1.429,0.0,0.0,2.0,11.0,2.0,0.412,0.444,1.059,1.503,0.0,0.0,3.0,15.0,3.0
7.0,70.0,2021-04-09,LAA,@,TOR,"W,7-1",CG,5.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.464,0.833,1.298,5.0,0.38,0.096,0.42,0.06%,2.48,0.0,0.0,1B,,2021-04-09,108,141,634512,2021,0.333,0.391,0.857,1.248,0.0,0.0,3.0,15.0,3.0,0.333,0.391,0.857,1.248,0.0,0.0,3.0,15.0,3.0,0.333,0.391,0.857,1.248,0.0,0.0,3.0,15.0,3.0,0.231,0.286,0.231,0.516,0.0,0.0,0.0,3.0,1.0,0.333,0.391,0.857,1.248,0.0,0.0,3.0,15.0,3.0
8.0,71.0,2021-04-10,LAA,@,TOR,"L,1-15",5-GF,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.467,0.808,1.274,3.0,0.01,0.001,0.01,0.00%,0.28,0.0,0.0,RF,,2021-04-10,108,141,632227,2021,0.375,0.464,1.0,1.464,0.0,0.0,4.0,20.0,3.0,0.375,0.464,1.0,1.464,0.0,0.0,4.0,20.0,3.0,0.35,0.458,0.95,1.408,0.0,0.0,3.0,16.0,2.0,0.364,0.5,0.727,1.227,0.0,0.0,1.0,7.0,1.0,0.375,0.464,1.0,1.464,0.0,0.0,4.0,20.0,3.0
9.0,72.0,2021-04-12,LAA,@,KCR,"W,10-3",CG,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367,0.457,0.733,1.19,4.0,0.5,0.027,0.54,0.02%,-0.02,0.0,0.0,1B RF,,2021-04-12,108,118,632197,2021,0.385,0.467,0.962,1.428,0.0,0.0,4.0,21.0,4.0,0.385,0.467,0.962,1.428,0.0,0.0,4.0,21.0,4.0,0.333,0.429,0.556,0.984,0.0,0.0,1.0,9.0,2.0,0.333,0.5,0.778,1.278,0.0,0.0,1.0,6.0,1.0,0.385,0.467,0.962,1.428,0.0,0.0,4.0,21.0,4.0
10.0,73.0,2021-04-13,LAA,@,KCR,"L,2-3",CG,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.41,0.647,1.057,5.0,2.17,-0.107,2.4,-0.07%,-0.96,0.0,0.0,RF,,2021-04-13,108,118,632210,2021,0.367,0.457,0.867,1.324,0.0,0.0,4.0,22.0,6.0,0.367,0.457,0.867,1.324,0.0,0.0,4.0,22.0,6.0,0.353,0.476,0.588,1.064,0.0,0.0,1.0,9.0,4.0,0.444,0.583,0.889,1.472,0.0,0.0,1.0,7.0,3.0,0.367,0.457,0.867,1.324,0.0,0.0,4.0,22.0,6.0
