Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,1,77 (76),2023-06-26,BAL,,CIN,"W,10-3",CG,5,4,1,1,0,0,0,1,1,0.0,0,0,0,0.0,0,0.0,0,1,0.25,0.4,0.25,0.65,7,0.51,0.081,0.53,0.05%,0.05,9.0,12.7,2B,,2023-06-26,110,113,717611
2,2,78,2023-06-27,BAL,,CIN,"L,1-3",CG,4,3,0,2,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,0,0,0.429,0.556,0.429,0.984,7,1.08,0.108,1.12,0.07%,0.89,8.0,9.0,2B 3B,,2023-06-27,110,113,717601
3,3,79,2023-06-28,BAL,,CIN,"L,7-11",CG(10),5,5,1,2,1,0,0,1,0,0.0,1,0,0,0.0,0,1.0,0,0,0.417,0.5,0.5,1.0,8,1.27,-0.13,1.37,-0.09%,-0.49,12.0,15.7,3B,,2023-06-28,110,113,717589
4,4,80,2023-06-30,BAL,,MIN,"L,1-8",7-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.385,0.467,0.462,0.928,8,0.07,-0.002,0.07,0.00%,-0.16,0.0,0.0,PH 2B,,2023-06-30,110,142,717561
5,5,81,2023-07-01,BAL,,MIN,"L,0-1",CG,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.313,0.389,0.375,0.764,8,1.16,-0.086,1.19,-0.05%,-0.49,0.0,0.0,3B,,2023-07-01,110,142,717541
6,6,82,2023-07-02,BAL,,MIN,"W,2-1",CG,4,3,0,0,0,0,0,1,0,0.0,0,1,0,0.0,0,0.0,0,0,0.263,0.364,0.316,0.679,7,2.54,0.109,2.61,0.07%,0.1,4.0,6.5,2B,,2023-07-02,110,142,717529
7,7,84 (1),2023-07-04,BAL,@,NYY,"L,4-8",CG,4,4,2,1,1,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0,0,0.261,0.346,0.348,0.694,7,1.64,-0.094,2.04,-0.07%,-0.31,9.0,12.4,3B,,2023-07-04,110,147,717508
8,8,85,2023-07-05,BAL,@,NYY,"W,6-3",CG,4,3,1,1,0,1,0,2,1,0.0,0,0,0,0.0,0,0.0,0,0,0.269,0.367,0.423,0.79,8,1.16,0.249,1.52,0.20%,1.4,16.0,22.2,3B,,2023-07-05,110,147,717487
9,9,86,2023-07-06,BAL,@,NYY,"W,14-1",CG,6,5,2,2,1,0,0,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.29,0.389,0.452,0.841,7,0.3,0.024,0.39,0.02%,0.34,16.0,21.9,2B,,2023-07-06,110,147,717475
10,10,87,2023-07-07,BAL,@,MIN,"W,3-1",CG(10),4,4,0,1,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.286,0.375,0.429,0.804,5,1.08,-0.079,1.23,-0.05%,-0.51,3.0,3.0,2B,,2023-07-07,110,142,717458
11,11,89 (1),2023-07-09,BAL,@,MIN,"W,15-2",CG,5,5,1,2,0,1,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.3,0.378,0.475,0.853,8,0.33,0.038,0.39,0.03%,-0.18,13.0,15.2,2B,,2023-07-09,110,142,717428
12,12,90,2023-07-14,BAL,,MIA,"W,5-2",GS-9,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.273,0.347,0.432,0.779,9,0.6,-0.06,0.67,-0.04%,-0.91,0.0,0.0,3B,,2023-07-14,110,146,717417
13,13,91,2023-07-15,BAL,,MIA,"W,6-5",CG,4,4,0,0,0,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.25,0.321,0.396,0.717,7,1.19,-0.121,1.36,-0.08%,-1.13,0.0,0.0,2B 3B,,2023-07-15,110,146,717401
14,14,93 (1),2023-07-17,BAL,,LAD,"L,4-6",7-GF,2,2,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.24,0.309,0.38,0.689,9,1.04,-0.053,1.17,-0.04%,-0.33,0.0,0.0,PH 2B,,2023-07-17,110,119,717372
15,15,94,2023-07-18,BAL,,LAD,"L,3-10",CG,4,4,0,2,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.259,0.322,0.389,0.711,9,0.26,-0.009,0.3,-0.01%,0.05,6.0,6.0,3B,,2023-07-18,110,119,717361
16,16,95,2023-07-19,BAL,,LAD,"W,8-5",CG,4,4,1,2,1,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0,0,0.276,0.333,0.414,0.747,5,0.78,0.099,0.91,0.07%,0.7,12.0,15.7,2B,,2023-07-19,110,119,717343
17,17,96,2023-07-20,BAL,@,TBR,"W,4-3",10-GF(10),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,0.276,0.333,0.414,0.747,9,,,,,,0.0,0.0,3B,,2023-07-20,110,139,717328
18,18,97,2023-07-21,BAL,@,TBR,"L,0-3",CG,3,3,0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.262,0.318,0.393,0.712,9,0.81,-0.062,1.4,-0.06%,-0.5,0.0,0.0,2B 3B,,2023-07-21,110,139,717320
19,19,98,2023-07-22,BAL,@,TBR,"W,6-5",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,1,0,0.262,0.318,0.393,0.712,9,0.86,0.015,1.51,0.02%,0.16,5.0,6.0,PR 3B,,2023-07-22,110,139,717300
20,20,100 (1),2023-07-24,BAL,@,PHI,"W,3-2",GS-9,3,3,1,1,0,0,1,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.266,0.319,0.438,0.756,5,0.67,0.069,0.72,0.04%,0.66,14.0,18.7,2B,,2023-07-24,110,143,717280
21,21,101,2023-07-25,BAL,@,PHI,"L,3-4",CG,4,3,0,0,0,0,0,0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.254,0.315,0.418,0.733,9,1.31,-0.102,1.4,-0.07%,-0.93,2.0,3.0,3B,,2023-07-25,110,143,717267
22,22,102,2023-07-26,BAL,@,PHI,"L,4-6",CG,4,4,0,1,1,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.254,0.312,0.423,0.734,5,0.85,-0.03,0.95,-0.02%,-0.42,5.0,6.0,2B,,2023-07-26,110,143,717245
23,23,104 (1),2023-07-29,BAL,,NYY,"L,3-8",9-GF,1,1,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.25,0.308,0.417,0.724,6,0.08,-0.002,0.1,0.00%,-0.16,0.0,0.0,PH,,2023-07-29,110,147,717219
24,24,105,2023-07-30,BAL,,NYY,"W,9-3",GS-6,3,3,1,1,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,1,0,0.253,0.309,0.413,0.722,8,0.13,0.002,0.18,0.00%,-0.03,10.0,12.2,2B,,2023-07-30,110,147,717200
25,25,107 (1),2023-08-01,BAL,@,TOR,"W,13-3",CG,5,5,1,2,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.263,0.314,0.413,0.726,6,0.61,-0.009,0.76,-0.01%,0.16,8.0,9.2,2B,,2023-08-01,110,141,717177
26,26,108,2023-08-02,BAL,@,TOR,"L,1-4",CG,4,4,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.262,0.311,0.405,0.716,6,0.75,-0.062,0.87,-0.04%,-0.54,3.0,3.0,2B 3B,,2023-08-02,110,141,717157
27,27,110 (1),2023-08-04,BAL,,NYM,"W,10-3",CG,5,3,2,2,0,0,1,3,2,0.0,0,0,0,0.0,0,0.0,0,0,0.276,0.337,0.448,0.785,5,0.91,0.133,0.95,0.08%,2.44,27.0,37.9,2B,,2023-08-04,110,121,717134
28,28,111,2023-08-05,BAL,,NYM,"W,7-3",CG,4,4,1,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.275,0.333,0.451,0.784,6,0.49,0.027,0.49,0.02%,-0.06,7.0,9.2,2B,,2023-08-05,110,121,717114
29,29,112,2023-08-06,BAL,,NYM,"W,2-0",CG,4,4,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.274,0.33,0.442,0.772,5,0.57,-0.035,0.52,-0.02%,-0.37,3.0,3.0,2B,,2023-08-06,110,121,717107
30,30,113,2023-08-08,BAL,,HOU,"L,6-7",CG,4,4,1,2,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.283,0.336,0.455,0.791,6,1.17,-0.068,1.09,-0.04%,0.54,10.0,12.2,2B 3B,,2023-08-08,110,117,717084
31,31,114,2023-08-09,BAL,,HOU,"L,2-8",CG,4,4,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.272,0.324,0.437,0.761,8,1.19,-0.13,1.23,-0.08%,-1.47,0.0,0.0,3B,,2023-08-09,110,117,717067
32,32,116 (1),2023-08-11,BAL,@,SEA,"L,2-9",7-GF,2,2,0,1,0,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.276,0.327,0.438,0.766,7,0.01,0.0,0.01,0.00%,1.0,5.0,6.5,PH 2B,,2023-08-11,110,136,717034
33,33,117,2023-08-12,BAL,@,SEA,"W,1-0",CG(10),3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0,0.278,0.328,0.435,0.763,8,1.86,0.098,2.12,0.07%,0.23,8.0,9.0,3B,,2023-08-12,110,136,717018
34,34,118,2023-08-13,BAL,@,SEA,"W,5-3",GS-9,4,4,0,1,1,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.277,0.325,0.438,0.763,8,1.26,0.029,1.25,0.02%,-0.27,5.0,6.0,3B,,2023-08-13,110,136,717005
35,35,119,2023-08-14,BAL,@,SDP,"W,4-1",CG,4,4,1,1,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.276,0.323,0.431,0.754,9,0.67,0.018,0.62,0.01%,-0.64,5.0,6.2,2B,,2023-08-14,110,135,716996
36,36,120,2023-08-15,BAL,@,SDP,"L,3-10",7-GF,2,2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.271,0.317,0.424,0.741,3,0.02,-0.001,0.02,0.00%,-0.67,0.0,0.0,3B,,2023-08-15,110,135,716980
37,37,121,2023-08-16,BAL,@,SDP,"L,2-5",CG,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.262,0.308,0.41,0.718,5,1.22,-0.122,1.11,-0.07%,-1.06,0.0,0.0,2B 3B,,2023-08-16,110,135,716965
38,38,122,2023-08-18,BAL,@,OAK,"W,9-4",CG,4,3,0,1,0,0,0,2,0,0.0,1,0,0,1.0,0,0.0,0,0,0.264,0.306,0.408,0.714,9,0.4,-0.005,0.41,0.00%,0.35,7.0,10.0,2B 3B,,2023-08-18,110,133,716944
39,39,123,2023-08-19,BAL,@,OAK,"W,7-2",CG(10),5,4,0,0,0,0,0,1,0,0.0,3,0,0,1.0,0,1.0,0,0,0.256,0.295,0.395,0.69,4,1.75,-0.2,1.64,-0.11%,-1.55,2.0,3.5,2B 3B,,2023-08-19,110,133,716930
40,40,124,2023-08-20,BAL,@,OAK,"W,12-1",CG,5,5,1,2,1,0,0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,0.261,0.299,0.403,0.702,7,0.24,0.004,0.22,0.00%,1.13,12.0,15.7,2B,,2023-08-20,110,133,716914
