Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,134,41 (40),2021-05-18,BAL,,TBR,"L,6-13",CG,4,4,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.500,.500,.750,1.250,9,.39,0.059,.21,0.02%,1.50,,,2B,,2021-05-18,110,139,634075
2,135,42,2021-05-19,BAL,,TBR,"L,7-9",8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.400,.400,.600,1.000,8,.77,-0.023,.39,-0.01%,-0.24,,,PH 2B,,2021-05-19,110,139,634055
3,136,44 (1),2021-05-21,BAL,@,WSN,"L,2-4",CG,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.250,.250,.375,.625,7,.96,-0.071,.30,-0.01%,-0.62,,,2B,,2021-05-21,110,120,634012
4,137,45,2021-05-22,BAL,@,WSN,"L,9-12",6-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.222,.222,.333,.556,9,.84,-0.021,.22,0.00%,-0.16,,,PH,,2021-05-22,110,120,634062
5,138,46,2021-05-23,BAL,@,WSN,"L,5-6",5-GF,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.364,.364,.455,.818,9,1.67,0.132,.38,0.02%,0.50,,,2B,,2021-05-23,110,120,633977
6,139,47,2021-05-24,BAL,@,MIN,"L,3-8",CG,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.333,.333,.400,.733,9,1.06,0.026,.20,0.00%,0.06,,,2B,,2021-05-24,110,142,633982
7,140,48,2021-05-25,BAL,@,MIN,"L,4-7",CG,4,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.368,.368,.474,.842,8,1.80,0.042,.28,0.00%,0.17,,,2B LF,,2021-05-25,110,142,634048
8,141,49,2021-05-26,BAL,@,MIN,"L,2-3",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.318,.348,.409,.757,7,1.38,-0.120,.20,-0.01%,-0.47,,,LF,,2021-05-26,110,142,633928
9,142,50,2021-05-27,BAL,@,CHW,"L,1-5",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.269,.296,.346,.642,7,.98,-0.113,.11,-0.01%,-0.95,,,2B,,2021-05-27,110,145,633924
10,143,51,2021-05-29,BAL,@,CHW,"L,4-7",6-GF(7),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.259,.286,.333,.619,7,1.59,-0.040,.16,0.00%,-0.17,,,PH 2B,1.0,2021-05-29,110,145,633960
11,144,52,2021-05-29,BAL,@,CHW,"L,1-3",CG(7),3,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,.241,.290,.310,.601,6,2.36,0.038,.18,0.00%,0.44,,,2B,2.0,2021-05-29,110,145,633887
12,145,53,2021-05-30,BAL,@,CHW,"L,1-3",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.212,.257,.273,.530,6,.91,-0.095,.06,0.00%,-0.72,,,2B,,2021-05-30,110,145,633872
13,146,54,2021-05-31,BAL,,MIN,"L,2-3",CG(10),4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.194,.256,.250,.506,7,1.99,-0.008,.11,0.00%,-0.14,,,2B,,2021-05-31,110,142,633919
14,147,55,2021-06-01,BAL,,MIN,"W,7-4",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.179,.256,.231,.487,8,.18,-0.016,.00,0.00%,-0.38,,,2B,,2021-06-01,110,142,633856
15,148,56,2021-06-02,BAL,,MIN,"W,6-3",CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.209,.277,.279,.556,8,.66,0.074,.03,0.00%,0.30,,,2B,,2021-06-02,110,142,633853
16,149,57,2021-06-04,BAL,,CLE,"W,3-1",CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.217,.280,.283,.563,8,.90,-0.008,.05,0.00%,-0.05,,,2B,,2021-06-04,110,114,633818
17,150,58,2021-06-05,BAL,,CLE,"L,4-10",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.259,.260,.519,8,.59,-0.064,.04,0.00%,-1.58,,,2B,,2021-06-05,110,114,633807
18,151,59,2021-06-06,BAL,,CLE,"W,18-5",7-GF,0,0,1,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.259,.260,.519,4,,0.000,,0.00%,0.00,,,PR 2B,,2021-06-06,110,114,633814
19,152,60,2021-06-08,BAL,,NYM,"W,10-3",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.200,.259,.260,.519,3,,,,,,,,RF,,2021-06-08,110,121,633773
20,153,61,2021-06-09,BAL,,NYM,"L,1-14",CG,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.189,.246,.245,.491,8,.66,-0.047,.04,0.00%,-0.95,,,2B,,2021-06-09,110,121,633811
21,154,65 (3),2021-06-14,BAL,@,CLE,"L,3-4",GS-7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.254,.255,.509,8,.88,0.013,.02,0.00%,0.22,,,2B,,2021-06-14,110,114,633705
22,155,66,2021-06-15,BAL,@,CLE,"L,2-7",CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.186,.238,.237,.475,8,.70,-0.076,.01,0.00%,-1.13,,,2B,,2021-06-15,110,114,633769
23,156,67,2021-06-16,BAL,@,CLE,"L,7-8",7-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.186,.238,.237,.475,9,,,,,,,,2B,,2021-06-16,110,114,633659
24,157,69 (1),2021-06-18,BAL,,TOR,"W,7-1",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.186,.238,.237,.475,4,,,,,,,,LF,,2021-06-18,110,141,633593
25,158,70,2021-06-19,BAL,,TOR,"L,7-10",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.175,.224,.222,.446,8,.53,-0.054,.00,0.00%,-1.32,,,2B,,2021-06-19,110,141,633573
26,159,72 (1),2021-06-21,BAL,,HOU,"L,2-10",CG,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.182,.229,.227,.456,8,.32,-0.022,.00,0.00%,-0.15,,,2B,,2021-06-21,110,117,633747
27,160,73,2021-06-22,BAL,,HOU,"L,1-3",9-GF,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.182,.229,.227,.456,9,,,,,,,,2B,,2021-06-22,110,117,633547
28,161,74,2021-06-23,BAL,,HOU,"L,0-13",8-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.179,.225,.224,.449,2,.04,-0.001,.00,0.00%,-0.77,,,2B,,2021-06-23,110,117,633568
29,162,76 (1),2021-06-25,BAL,@,TOR,"W,6-5",GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.174,.219,.217,.437,8,.79,-0.041,.00,0.00%,-0.37,,,2B,,2021-06-25,110,141,633536
30,163,77,2021-06-26,BAL,@,TOR,"L,4-12",2-GF,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.167,.211,.208,.419,6,.25,-0.019,.00,0.00%,-1.00,,,PR 2B,,2021-06-26,110,141,633520
