Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,1,2023-07-25,PIT,@,SDP,"L,1-5",7-GF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,8,0.28,0.009,0.03,0.00%,0.26,2.0,3.0,SS,,2023-07-25,134,135,717258,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,2,2023-07-26,PIT,@,SDP,"W,3-2",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,9,0.93,-0.068,0.06,0.00%,-0.69,0.0,0.0,SS,,2023-07-26,134,135,717246,2023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,0.0
3,3,2023-07-28,PIT,,PHI,"L,1-2",GS-8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,9,0.55,-0.029,0.05,0.00%,-0.22,0.0,0.0,SS,,2023-07-28,134,143,717234,2023,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,2.0
4,4,2023-07-29,PIT,,PHI,"W,7-6",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.111,0.311,8,1.45,-0.043,0.08,0.00%,-0.25,5.0,6.5,SS,,2023-07-29,134,143,717216,2023,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,3.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,3.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,3.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,3.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,3.0
5,5,2023-07-30,PIT,,PHI,"W,6-4",9-GF(10),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.2,0.111,0.311,7,,,,,,0.0,0.0,SS,,2023-07-30,134,143,717208,2023,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0,0.111,0.111,0.111,0.222,0.0,0.0,0.0,1.0,3.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0
6,6,2023-08-01,PIT,,DET,"W,4-1",CG,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.308,0.333,0.641,9,0.34,0.04,0.03,0.00%,0.77,8.0,9.0,SS,,2023-08-01,134,116,717178,2023,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0,0.167,0.167,0.167,0.333,0.0,0.0,0.0,1.0,1.0,0.111,0.2,0.111,0.311,0.0,0.0,0.0,1.0,3.0
7,7,2023-08-02,PIT,,DET,"L,3-6",CG,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.294,0.313,0.607,8,0.82,0.065,0.09,0.00%,0.37,5.0,6.2,SS,,2023-08-02,134,116,717166,2023,0.25,0.308,0.417,0.724,0.0,0.0,1.0,4.0,3.0,0.25,0.308,0.417,0.724,0.0,0.0,1.0,4.0,3.0,0.25,0.25,0.417,0.667,0.0,0.0,1.0,4.0,3.0,0.429,0.429,0.714,1.143,0.0,0.0,1.0,4.0,0.0,0.25,0.308,0.417,0.724,0.0,0.0,1.0,4.0,3.0
8,8,2023-08-03,PIT,@,MIL,"L,1-14",CG,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.3,0.316,0.616,9,0.37,0.002,0.04,0.00%,-0.09,3.0,3.0,SS,,2023-08-03,134,158,717143,2023,0.25,0.294,0.375,0.669,0.0,0.0,1.0,5.0,5.0,0.25,0.294,0.375,0.669,0.0,0.0,1.0,5.0,5.0,0.308,0.308,0.462,0.769,0.0,0.0,1.0,5.0,3.0,0.429,0.429,0.714,1.143,0.0,0.0,1.0,4.0,2.0,0.25,0.294,0.375,0.669,0.0,0.0,1.0,5.0,5.0
9,9,2023-08-04,PIT,@,MIL,"W,8-4",CG,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.333,0.391,0.725,8,0.38,-0.006,0.03,0.00%,-0.07,8.0,9.0,SS,,2023-08-04,134,158,717131,2023,0.263,0.3,0.368,0.668,0.0,0.0,1.0,6.0,5.0,0.263,0.3,0.368,0.668,0.0,0.0,1.0,6.0,5.0,0.357,0.357,0.5,0.857,0.0,0.0,1.0,6.0,2.0,0.4,0.4,0.6,1.0,0.0,0.0,1.0,5.0,2.0,0.263,0.3,0.368,0.668,0.0,0.0,1.0,6.0,5.0
10,10,2023-08-05,PIT,@,MIL,"L,2-3",CG(10),4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.429,0.417,0.845,8,0.85,0.077,0.12,0.01%,0.78,11.0,15.2,SS,,2023-08-05,134,158,717116,2023,0.304,0.333,0.478,0.812,0.0,0.0,2.0,9.0,5.0,0.304,0.333,0.478,0.812,0.0,0.0,2.0,9.0,5.0,0.429,0.429,0.714,1.143,0.0,0.0,2.0,8.0,2.0,0.364,0.364,0.545,0.909,0.0,0.0,1.0,5.0,2.0,0.304,0.333,0.478,0.812,0.0,0.0,2.0,9.0,5.0
