Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id
1,10,16 (15),2021-04-18,ATL,@,CHC,"W,13-4",GS-6,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.42,-0.047,.35,-0.02%,-1.51,,,P,,2021-04-18,144,112,634506
2,11,20 (3),2021-04-25,ATL,,ARI,"L,0-5",GS-5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,9,1.04,-0.027,1.06,-0.02%,-0.25,,,P,1.0,2021-04-25,144,109,634404
3,12,25 (4),2021-04-29,ATL,,CHC,"L,3-9",GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.77,-0.020,.80,-0.01%,-0.25,,,P,,2021-04-29,144,112,634347
4,13,35 (9),2021-05-11,ATL,,TOR,"L,3-5",GS-7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,9,.41,-0.021,.40,-0.01%,-0.28,,,P,,2021-05-11,144,141,634163
5,14,46 (10),2021-05-22,ATL,,PIT,"W,6-1",GS-7,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.100,.182,.100,.282,9,.43,0.029,.38,0.02%,0.35,,,P,,2021-05-22,144,134,634049
6,15,68 (21),2021-06-20,ATL,,STL,"L,1-9",GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.091,.167,.091,.258,9,1.66,-0.041,1.25,-0.02%,-0.31,,,P,1.0,2021-06-20,144,138,633610
7,16,95 (26),2021-07-21,ATL,,SDP,"L,5-6",GS-2,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.091,.167,.091,.258,9,,,,,,,,P,,2021-07-21,144,135,633250
8,17,101 (5),2021-07-26,ATL,@,NYM,"L,0-1",GS-4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.083,.154,.083,.237,9,1.19,-0.030,1.79,-0.03%,-0.23,,,P,2.0,2021-07-26,144,121,633925
9,18,106,2021-08-02,PIT,@,MIL,"L,2-6",GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.071,.133,.071,.205,9,1.34,-0.066,.00,0.00%,-0.54,,,P,,2021-08-02,134,158,633072
10,19,112 (5),2021-08-08,PIT,@,CIN,"L,2-3",GS-7,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.067,.125,.067,.192,9,1.12,-0.047,.00,0.00%,-0.41,,,P,,2021-08-08,134,113,633009
11,20,116 (3),2021-08-14,PIT,,MIL,"W,14-4",GS-4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.067,.125,.067,.192,9,1.55,-0.026,.00,0.00%,-0.18,,,P,1.0,2021-08-14,134,158,632820
12,21,127 (10),2021-08-25,PIT,,ARI,"L,2-5",GS-5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.063,.118,.063,.180,9,.47,-0.012,.00,0.00%,-0.11,,,P,,2021-08-25,134,109,632778
13,22,138 (10),2021-09-06,PIT,,DET,"W,6-3",GS-7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.056,.105,.056,.161,9,.85,-0.046,.00,0.00%,-0.67,,,P,,2021-09-06,134,116,632585
14,23,143 (4),2021-09-12,PIT,,WSN,"L,2-6",GS-5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.056,.105,.056,.161,9,2.05,0.019,.00,0.00%,0.13,,,P,,2021-09-12,134,120,632526
15,24,148 (4),2021-09-18,PIT,@,MIA,"W,6-3",GS-6,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.048,.091,.048,.139,9,1.36,-0.154,.00,0.00%,-1.88,,,P,,2021-09-18,134,146,632448
