Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,162,2021-04-01,SFG,@,SEA,"L,7-8",CG(10),5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.88,-0.108,0.8,-0.06%,-1.01,0.0,0.0,RF,,2021-04-01,137,136,634625,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,163,2021-04-02,SFG,@,SEA,"W,6-3",CG,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,2,0.89,-0.042,0.8,-0.02%,-0.58,0.0,0.0,RF,,2021-04-02,137,136,634578,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,164,2021-04-03,SFG,@,SEA,"L,0-4",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.143,0.077,0.22,2,0.94,-0.077,0.88,-0.04%,-0.66,0.0,0.0,RF,,2021-04-03,137,136,634639,2021,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,5.0
4,165,2021-04-05,SFG,@,SDP,"W,3-2",7-7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.2,0.357,0.557,9,1.13,0.218,1.22,0.14%,1.0,0.0,0.0,PH,,2021-04-05,137,135,634591,2021,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,6.0,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,6.0,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,6.0,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,6.0,0.077,0.143,0.077,0.22,0.0,0.0,0.0,1.0,6.0
5,166,2021-04-06,SFG,@,SDP,"L,1-3",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.118,0.211,0.294,0.505,1,0.97,-0.069,1.08,-0.05%,-0.46,0.0,0.0,RF,,2021-04-06,137,135,634529,2021,0.143,0.2,0.429,0.629,0.0,0.0,1.0,5.0,6.0,0.143,0.2,0.429,0.629,0.0,0.0,1.0,5.0,6.0,0.143,0.2,0.429,0.629,0.0,0.0,1.0,5.0,6.0,0.222,0.3,0.667,0.967,0.0,0.0,1.0,5.0,3.0,0.143,0.2,0.429,0.629,0.0,0.0,1.0,5.0,6.0
6,167,2021-04-07,SFG,@,SDP,"W,3-2",CG(10),5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.136,0.208,0.273,0.481,2,1.88,-0.08,1.99,-0.05%,-0.91,0.0,0.0,RF,,2021-04-07,137,135,634563,2021,0.118,0.211,0.353,0.563,1.0,0.0,1.0,5.0,8.0,0.118,0.211,0.353,0.563,1.0,0.0,1.0,5.0,8.0,0.118,0.211,0.353,0.563,1.0,0.0,1.0,5.0,8.0,0.25,0.333,0.75,1.083,1.0,0.0,1.0,5.0,3.0,0.118,0.211,0.353,0.563,1.0,0.0,1.0,5.0,8.0
7,168,2021-04-09,SFG,,COL,"W,3-1",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.214,0.24,0.454,2,0.91,-0.056,0.98,-0.04%,-1.04,0.0,0.0,RF,,2021-04-09,137,115,634494,2021,0.136,0.208,0.318,0.527,1.0,0.0,1.0,6.0,10.0,0.136,0.208,0.318,0.527,1.0,0.0,1.0,6.0,10.0,0.176,0.263,0.412,0.675,1.0,0.0,1.0,6.0,7.0,0.222,0.3,0.667,0.967,1.0,0.0,1.0,5.0,4.0,0.136,0.208,0.318,0.527,1.0,0.0,1.0,6.0,10.0
8,169,2021-04-10,SFG,,COL,"W,4-3",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.219,0.214,0.433,2,1.11,-0.034,1.23,-0.02%,-0.3,0.0,0.0,RF,,2021-04-10,137,115,632169,2021,0.12,0.214,0.28,0.494,1.0,0.0,1.0,6.0,11.0,0.12,0.214,0.28,0.494,1.0,0.0,1.0,6.0,11.0,0.188,0.278,0.438,0.715,1.0,0.0,1.0,6.0,6.0,0.091,0.231,0.091,0.322,1.0,0.0,0.0,1.0,5.0,0.12,0.214,0.28,0.494,1.0,0.0,1.0,6.0,11.0
9,170,2021-04-11,SFG,,COL,"W,4-0",CG,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.222,0.25,0.472,2,0.59,-0.047,0.66,-0.03%,-0.34,0.0,0.0,RF,,2021-04-11,137,115,632188,2021,0.107,0.219,0.25,0.469,1.0,0.0,1.0,6.0,12.0,0.107,0.219,0.25,0.469,1.0,0.0,1.0,6.0,12.0,0.133,0.278,0.4,0.678,1.0,0.0,1.0,5.0,6.0,0.091,0.231,0.091,0.322,0.0,0.0,0.0,1.0,4.0,0.107,0.219,0.25,0.469,1.0,0.0,1.0,6.0,12.0
10,171,2021-04-12,SFG,,CIN,"L,0-3",8-9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.216,0.242,0.459,9,0.31,-0.008,0.34,-0.01%,-0.1,0.0,0.0,PH,,2021-04-12,137,113,634648,2021,0.125,0.222,0.312,0.535,1.0,0.0,2.0,8.0,14.0,0.125,0.222,0.312,0.535,1.0,0.0,2.0,8.0,14.0,0.111,0.238,0.222,0.46,1.0,0.0,1.0,3.0,8.0,0.1,0.25,0.3,0.55,0.0,0.0,1.0,2.0,4.0,0.125,0.222,0.312,0.535,1.0,0.0,2.0,8.0,14.0
