Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1.0,1.0,2022-05-04,STL,@,KCR,"W,10-0",GS-7,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,1.333,2.0,5.0,0.21,0.028,0.21,0.02%,0.4,12.0,15.2,RF,,2022-05-04,138,118,662739,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2022-05-05,STL,@,SFG,"W,7-1",CG,4.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.571,0.857,1.429,5.0,0.65,0.034,0.71,0.02%,1.13,8.0,9.5,DH,,2022-05-05,138,137,662105,2022,0.667,0.667,2.0,2.667,0.0,0.0,2.0,4.0,0.0,0.667,0.667,2.0,2.667,0.0,0.0,2.0,4.0,0.0,0.667,0.667,2.0,2.667,0.0,0.0,2.0,4.0,0.0,0.667,0.667,2.0,2.667,0.0,0.0,2.0,4.0,0.0,0.667,0.667,2.0,2.667,0.0,0.0,2.0,4.0,0.0
3.0,3.0,2022-05-06,STL,@,SFG,"W,3-2",GS-9,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.455,0.727,1.182,5.0,1.61,-0.01,1.8,-0.01%,-0.56,5.0,6.0,DH,,2022-05-06,138,137,662103,2022,0.571,0.571,1.143,1.714,0.0,0.0,2.0,6.0,1.0,0.571,0.571,1.143,1.714,0.0,0.0,2.0,6.0,1.0,0.571,0.571,1.143,1.714,0.0,0.0,2.0,6.0,1.0,0.571,0.571,1.143,1.714,0.0,0.0,2.0,6.0,1.0,0.571,0.571,1.143,1.714,0.0,0.0,2.0,6.0,1.0
4.0,4.0,2022-05-07,STL,@,SFG,"L,7-13",CG,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.438,0.625,1.063,5.0,0.46,0.022,0.53,0.02%,-0.17,8.0,9.2,DH,,2022-05-07,138,137,662102,2022,0.455,0.455,1.0,1.455,0.0,0.0,3.0,8.0,3.0,0.455,0.455,1.0,1.455,0.0,0.0,3.0,8.0,3.0,0.455,0.455,1.0,1.455,0.0,0.0,3.0,8.0,3.0,0.455,0.455,1.0,1.455,0.0,0.0,3.0,8.0,3.0,0.455,0.455,1.0,1.455,0.0,0.0,3.0,8.0,3.0
5.0,5.0,2022-05-08,STL,@,SFG,"L,3-4",CG,4.0,3.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.5,0.789,1.289,5.0,1.52,0.244,1.73,0.17%,2.33,23.0,31.4,LF,,2022-05-08,138,137,662098,2022,0.438,0.438,0.812,1.25,0.0,0.0,3.0,10.0,3.0,0.438,0.438,0.812,1.25,0.0,0.0,3.0,10.0,3.0,0.438,0.438,0.812,1.25,0.0,0.0,3.0,10.0,3.0,0.385,0.385,0.538,0.923,0.0,0.0,1.0,6.0,3.0,0.438,0.438,0.812,1.25,0.0,0.0,3.0,10.0,3.0
6.0,6.0,2022-05-10,STL,,BAL,"L,3-5",GS-9,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.5,0.727,1.227,4.0,0.98,0.045,1.04,0.03%,0.11,5.0,6.0,DH,,2022-05-10,138,110,661987,2022,0.474,0.5,1.0,1.5,0.0,0.0,4.0,15.0,4.0,0.474,0.5,1.0,1.5,0.0,0.0,4.0,15.0,4.0,0.474,0.5,1.0,1.5,0.0,0.0,4.0,15.0,4.0,0.417,0.462,0.917,1.378,0.0,0.0,2.0,9.0,3.0,0.474,0.5,1.0,1.5,0.0,0.0,4.0,15.0,4.0
7.0,7.0,2022-05-11,STL,,BAL,"W,10-1",CG,5.0,5.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.483,0.778,1.261,4.0,0.27,0.095,0.27,0.06%,0.72,17.0,21.7,LF,,2022-05-11,138,110,662006,2022,0.455,0.5,0.909,1.409,0.0,0.0,4.0,16.0,5.0,0.455,0.5,0.909,1.409,0.0,0.0,4.0,16.0,5.0,0.421,0.476,0.737,1.213,0.0,0.0,2.0,12.0,5.0,0.455,0.538,0.818,1.357,0.0,0.0,1.0,8.0,2.0,0.455,0.5,0.909,1.409,0.0,0.0,4.0,16.0,5.0
8.0,8.0,2022-05-12,STL,,BAL,"L,2-3",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.455,0.7,1.155,4.0,2.08,-0.168,2.22,-0.11%,-0.69,2.0,3.0,1B RF,,2022-05-12,138,110,662005,2022,0.444,0.483,0.963,1.446,0.0,0.0,5.0,21.0,6.0,0.444,0.483,0.963,1.446,0.0,0.0,5.0,21.0,6.0,0.4,0.455,0.9,1.355,0.0,0.0,3.0,15.0,5.0,0.455,0.538,1.182,1.72,0.0,0.0,2.0,11.0,3.0,0.444,0.483,0.963,1.446,0.0,0.0,5.0,21.0,6.0
9.0,9.0,2022-05-13,STL,,SFG,"L,2-8",CG,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382,0.432,0.647,1.079,4.0,0.84,-0.079,0.91,-0.05%,-0.49,3.0,3.0,DH,,2022-05-13,138,137,661986,2022,0.4,0.455,0.867,1.321,0.0,0.0,5.0,21.0,7.0,0.4,0.455,0.867,1.321,0.0,0.0,5.0,21.0,7.0,0.368,0.455,0.789,1.244,0.0,0.0,2.0,13.0,4.0,0.273,0.385,0.636,1.021,0.0,0.0,1.0,6.0,3.0,0.4,0.455,0.867,1.321,0.0,0.0,5.0,21.0,7.0
10.0,10.0,2022-05-14,STL,,SFG,"W,4-0",GS-8,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.415,0.595,1.009,4.0,0.43,-0.003,0.46,0.00%,-0.36,2.0,3.0,RF,,2022-05-14,138,137,661985,2022,0.382,0.432,0.794,1.227,0.0,0.0,5.0,22.0,7.0,0.382,0.432,0.794,1.227,0.0,0.0,5.0,22.0,7.0,0.333,0.429,0.778,1.206,0.0,0.0,2.0,12.0,4.0,0.25,0.308,0.583,0.891,0.0,0.0,1.0,6.0,2.0,0.382,0.432,0.794,1.227,0.0,0.0,5.0,22.0,7.0
