Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_10,OBP_10,SLG_10,OPS_10,SB_10,CS_10,XB_10,TB_10,SO_10,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_3,OBP_3,SLG_3,OPS_3,SB_3,CS_3,XB_3,TB_3,SO_3,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,3,2021-04-03,ATL,@,PHI,"L,0-4",7-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9,,,,,,0.0,0.0,P,,2021-04-03,144,143,634580,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,4,2021-04-07,ATL,@,WSN,"W,2-0",GS-6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.82,-0.041,0.75,-0.02%,-0.26,0.0,0.0,P,2.0,2021-04-07,144,120,634595,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3,5,2021-04-12,ATL,,MIA,"L,3-5",GS-7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.85,-0.047,0.9,-0.03%,-0.49,0.0,0.0,P,,2021-04-12,144,146,632219,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,6,2021-04-17,ATL,@,CHC,"L,4-13",GS-5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2.14,-0.064,1.93,-0.03%,-0.61,0.0,0.0,P,,2021-04-17,144,112,634462,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,7,2021-04-23,ATL,,ARI,"W,5-4",GS-6,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.429,0.714,9,0.9,0.119,0.84,0.07%,1.63,0.0,0.0,P,,2021-04-23,144,109,634415,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6,8,2021-04-28,ATL,,CHC,"W,10-0",GS-6,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,9,0.13,0.022,0.13,0.01%,0.9,0.0,0.0,P,,2021-04-28,144,112,634414,2021,0.286,0.286,0.571,0.857,0.0,0.0,1.0,3.0,3.0,0.286,0.286,0.571,0.857,0.0,0.0,1.0,3.0,3.0,0.286,0.286,0.571,0.857,0.0,0.0,1.0,3.0,3.0,0.4,0.4,0.8,1.2,0.0,0.0,1.0,3.0,2.0,0.286,0.286,0.571,0.857,0.0,0.0,1.0,3.0,3.0
7,9,2021-05-04,ATL,@,WSN,"W,6-1",GS-8,3.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.385,0.923,1.308,9,1.51,0.13,1.53,0.08%,2.99,0.0,0.0,P,,2021-05-04,144,120,634297,2021,0.4,0.4,1.0,1.4,0.0,0.0,2.0,8.0,4.0,0.4,0.4,1.0,1.4,0.0,0.0,2.0,8.0,4.0,0.4,0.4,1.0,1.4,0.0,0.0,2.0,8.0,4.0,0.667,0.667,1.667,2.333,0.0,0.0,2.0,8.0,2.0,0.4,0.4,1.0,1.4,0.0,0.0,2.0,8.0,4.0
8,10,2021-05-09,ATL,,PHI,"W,6-1",GS-7,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.867,1.267,9,0.3,0.0,0.35,0.00%,0.22,0.0,0.0,P,,2021-05-09,144,143,634175,2021,0.385,0.385,1.154,1.538,0.0,0.0,3.0,12.0,4.0,0.385,0.385,1.154,1.538,0.0,0.0,3.0,12.0,4.0,0.455,0.455,1.364,1.818,0.0,0.0,3.0,12.0,3.0,0.625,0.625,1.875,2.5,0.0,0.0,3.0,12.0,1.0,0.385,0.385,1.154,1.538,0.0,0.0,3.0,12.0,4.0
9,11,2021-05-16,ATL,@,MIL,"L,9-10",GS-5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.353,0.765,1.118,9,1.18,-0.06,1.24,-0.04%,-0.6,0.0,0.0,P,,2021-05-16,144,158,634134,2021,0.4,0.4,1.067,1.467,0.0,0.0,3.0,13.0,5.0,0.4,0.4,1.067,1.467,0.0,0.0,3.0,13.0,5.0,0.545,0.545,1.455,2.0,0.0,0.0,3.0,13.0,3.0,0.5,0.5,1.5,2.0,0.0,0.0,2.0,10.0,2.0,0.4,0.4,1.067,1.467,0.0,0.0,3.0,13.0,5.0
10,12,2021-08-17,ATL,@,MIA,"W,2-0",GS-6,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.368,0.737,1.105,9,1.03,0.034,1.91,0.04%,0.22,0.0,0.0,P,,2021-08-17,144,146,632872,2021,0.353,0.353,0.941,1.294,0.0,0.0,3.0,13.0,7.0,0.353,0.353,0.941,1.294,0.0,0.0,3.0,13.0,7.0,0.5,0.5,1.333,1.833,0.0,0.0,3.0,13.0,4.0,0.286,0.286,0.857,1.143,0.0,0.0,1.0,5.0,3.0,0.353,0.353,0.941,1.294,0.0,0.0,3.0,13.0,7.0
