Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,6,2021-07-07,CHW,@,MIN,"W,6-1",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.59,-0.043,0.65,-0.03%,-0.98,0.0,0.0,C,,2021-07-07,145,142,633335,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,7,2021-07-09,CHW,@,BAL,"W,12-1",CG,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.286,0.429,9,0.74,-0.064,0.71,-0.04%,-0.54,0.0,0.0,C,,2021-07-09,145,110,633377,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,8,2021-07-11,CHW,@,BAL,"W,7-5",CG(10),4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.364,0.545,9,0.87,0.013,0.71,0.01%,0.06,0.0,0.0,C,,2021-07-11,145,110,633282,2021,0.143,0.143,0.429,0.571,0.0,0.0,1.0,2.0,4.0,0.143,0.143,0.429,0.571,0.0,0.0,1.0,2.0,4.0,0.143,0.143,0.429,0.571,0.0,0.0,1.0,2.0,4.0
4,9,2021-07-18,CHW,,HOU,"W,4-0",CG,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.214,0.308,0.522,8,0.44,0.008,0.37,0.00%,-0.01,0.0,0.0,C,,2021-07-18,145,117,633247,2021,0.182,0.182,0.545,0.727,0.0,0.0,2.0,4.0,5.0,0.182,0.182,0.545,0.727,0.0,0.0,2.0,4.0,5.0,0.182,0.182,0.545,0.727,0.0,0.0,2.0,4.0,5.0
5,10,2021-07-19,CHW,,MIN,"L,2-3",GS-7,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,0.333,0.583,9,0.65,-0.011,0.51,-0.01%,-0.04,0.0,0.0,C,1.0,2021-07-19,145,142,633278,2021,0.154,0.214,0.462,0.676,0.0,0.0,2.0,4.0,6.0,0.154,0.214,0.462,0.676,0.0,0.0,2.0,4.0,6.0,0.154,0.214,0.462,0.676,0.0,0.0,2.0,4.0,6.0
6,11,2021-07-20,CHW,,MIN,"W,9-5",GS-8,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.211,0.278,0.488,9,1.13,-0.087,0.88,-0.04%,-1.08,0.0,0.0,C,,2021-07-20,145,142,633268,2021,0.2,0.25,0.467,0.717,0.0,0.0,2.0,5.0,7.0,0.2,0.25,0.467,0.717,0.0,0.0,2.0,5.0,7.0,0.2,0.25,0.467,0.717,0.0,0.0,2.0,5.0,7.0
7,12,2021-07-21,CHW,,MIN,"L,2-7",9-GF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.25,0.278,0.528,8,0.22,0.01,0.15,0.00%,0.39,0.0,0.0,PH,,2021-07-21,145,142,633205,2021,0.167,0.211,0.389,0.599,0.0,0.0,2.0,5.0,8.0,0.2,0.25,0.467,0.717,0.0,0.0,2.0,5.0,7.0,0.167,0.211,0.389,0.599,0.0,0.0,2.0,5.0,8.0
8,13,2021-07-25,CHW,@,MIL,"W,3-1",CG,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.261,0.286,0.547,8,0.84,0.098,0.59,0.04%,0.83,0.0,0.0,C,,2021-07-25,145,158,633151,2021,0.167,0.25,0.389,0.639,0.0,0.0,2.0,5.0,8.0,0.182,0.308,0.364,0.671,0.0,0.0,1.0,3.0,4.0,0.167,0.25,0.389,0.639,0.0,0.0,2.0,5.0,8.0
9,14,2021-07-26,CHW,@,KCR,"L,3-4",GS-7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.28,0.273,0.553,9,1.16,0.008,0.8,0.00%,0.08,0.0,0.0,C,,2021-07-26,145,118,633121,2021,0.19,0.261,0.381,0.642,0.0,0.0,2.0,6.0,9.0,0.2,0.333,0.2,0.533,0.0,0.0,0.0,2.0,4.0,0.19,0.261,0.381,0.642,0.0,0.0,2.0,6.0,9.0
10,15,2021-07-27,CHW,@,KCR,"W,5-3",8-GF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.28,0.273,0.553,4,,,,,,0.0,0.0,C,,2021-07-27,145,118,633166,2021,0.182,0.28,0.364,0.644,0.0,0.0,2.0,6.0,9.0,0.222,0.364,0.222,0.586,0.0,0.0,0.0,2.0,3.0,0.182,0.28,0.364,0.644,0.0,0.0,2.0,6.0,9.0
