Rk,Gcar,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos,dbl,game_date,team_id,opp_id,game_id,season,AVG_20,OBP_20,SLG_20,OPS_20,SB_20,CS_20,XB_20,TB_20,SO_20,AVG_5,OBP_5,SLG_5,OPS_5,SB_5,CS_5,XB_5,TB_5,SO_5,AVG_current,OBP_current,SLG_current,OPS_current,SB_current,CS_current,XB_current,TB_current,SO_current
1,706,2021-04-01,TBR,@,MIA,"W,1-0",CG,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,8,0.97,-0.049,0.88,-0.03%,-0.17,0.0,0.0,C,,2021-04-01,139,146,634652,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2,707,2021-04-03,TBR,@,MIA,"L,7-12",GS-8,3.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.286,0.667,0.952,7,0.9,0.154,0.88,0.09%,1.51,0.0,0.0,C,,2021-04-03,139,146,634596,2021,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0
3,708,2021-04-05,TBR,@,BOS,"L,2-11",GS-9,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3,0.5,0.8,9,0.77,0.0,0.8,0.00%,-0.13,0.0,0.0,C,,2021-04-05,139,111,634601,2021,0.167,0.286,0.833,1.119,0.0,0.0,1.0,4.0,1.0,0.167,0.286,0.833,1.119,0.0,0.0,1.0,4.0,1.0,0.167,0.286,0.833,1.119,0.0,0.0,1.0,4.0,1.0
4,709,2021-04-06,TBR,@,BOS,"L,5-6",CG(12),5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.267,0.385,0.651,9,1.55,-0.036,1.61,-0.02%,-0.69,0.0,0.0,C,,2021-04-06,139,111,634590,2021,0.125,0.3,0.625,0.925,0.0,0.0,1.0,4.0,1.0,0.125,0.3,0.625,0.925,0.0,0.0,1.0,4.0,1.0,0.125,0.3,0.625,0.925,0.0,0.0,1.0,4.0,1.0
5,710,2021-04-09,TBR,,NYY,"W,10-5",CG,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.263,0.313,0.576,9,0.44,0.006,0.43,0.00%,-0.25,0.0,0.0,C,,2021-04-09,139,147,634499,2021,0.154,0.267,0.462,0.728,0.0,0.0,1.0,5.0,3.0,0.154,0.267,0.462,0.728,0.0,0.0,1.0,5.0,3.0,0.154,0.267,0.462,0.728,0.0,0.0,1.0,5.0,3.0
6,711,2021-04-11,TBR,,NYY,"L,4-8",CG(10),4.0,4.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.304,0.55,0.854,8,1.05,0.221,1.13,0.14%,1.58,0.0,0.0,C,,2021-04-11,139,147,632232,2021,0.125,0.263,0.375,0.638,0.0,0.0,1.0,5.0,4.0,0.125,0.263,0.375,0.638,0.0,0.0,1.0,5.0,4.0,0.125,0.263,0.375,0.638,0.0,0.0,1.0,5.0,4.0
7,712,2021-04-13,TBR,,TEX,"L,3-8",CG,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.259,0.458,0.718,9,0.4,-0.041,0.39,-0.02%,-0.54,0.0,0.0,C,,2021-04-13,139,140,634489,2021,0.2,0.304,0.7,1.004,0.0,0.0,3.0,11.0,5.0,0.235,0.316,0.824,1.139,0.0,0.0,3.0,11.0,4.0,0.2,0.304,0.7,1.004,0.0,0.0,3.0,11.0,5.0
8,713,2021-04-14,TBR,,TEX,"L,1-5",CG,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.233,0.407,0.641,8,1.29,-0.107,1.21,-0.06%,-1.18,0.0,0.0,C,,2021-04-14,139,140,634496,2021,0.167,0.259,0.583,0.843,0.0,0.0,3.0,11.0,7.0,0.167,0.25,0.5,0.75,0.0,0.0,2.0,7.0,6.0,0.167,0.259,0.583,0.843,0.0,0.0,3.0,11.0,7.0
9,714,2021-04-16,TBR,@,NYY,"W,8-2",CG,5.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.257,0.419,0.676,9,0.48,-0.016,0.44,-0.01%,1.36,0.0,0.0,C,,2021-04-16,139,147,634464,2021,0.148,0.233,0.519,0.752,0.0,0.0,3.0,11.0,9.0,0.158,0.2,0.474,0.674,0.0,0.0,2.0,7.0,8.0,0.148,0.233,0.519,0.752,0.0,0.0,3.0,11.0,9.0
10,715,2021-04-18,TBR,@,NYY,"W,4-2",CG,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.263,0.412,0.675,8,1.12,-0.022,1.11,-0.01%,-0.22,0.0,0.0,C,,2021-04-18,139,147,634458,2021,0.161,0.257,0.548,0.806,0.0,0.0,4.0,13.0,11.0,0.167,0.25,0.611,0.861,0.0,0.0,3.0,8.0,8.0,0.161,0.257,0.548,0.806,0.0,0.0,4.0,13.0,11.0
