game_id,home_team,away_team,runline,pick,Away_Batter1_Name,Away_Batter2_Name,Away_Batter3_Name,Away_Batter4_Name,Away_Batter5_Name,Away_Batter6_Name,Away_Batter7_Name,Away_Batter8_Name,Away_Batter9_Name,Home_Batter1_Name,Home_Batter2_Name,Home_Batter3_Name,Home_Batter4_Name,Home_Batter5_Name,Home_Batter6_Name,Home_Batter7_Name,Home_Batter8_Name,Home_Batter9_Name,Away_SP_Name,Home_SP_Name
778265,Detroit Tigers,Kansas City Royals,8.0,Under,Jonathan India,Bobby Witt Jr.,Vinnie Pasquantino,Salvador Perez,Maikel Garcia,Michael Massey,Drew Waters,Freddy Fermin,Kyle Isbel,Kerry Carpenter,Spencer Torkelson,Zach McKinstry,Riley Greene,Dillon Dingler,Colt Keith,Trey Sweeney,Javier Báez,Ryan Kreidler,Seth Lugo,Casey Mize
778252,Philadelphia Phillies,Miami Marlins,10.5,Over,Xavier Edwards,Jesús Sánchez,Eric Wagaman,Kyle Stowers,Matt Mervis,Otto Lopez,Griffin Conine,Graham Pauley,Liam Hicks,Bryson Stott,Trea Turner,Bryce Harper,Kyle Schwarber,Nick Castellanos,Max Kepler,J.T. Realmuto,Alec Bohm,Johan Rojas,Cal Quantrill,Taijuan Walker
778257,Chicago Cubs,Arizona Diamondbacks,7.5,Over,Corbin Carroll,Geraldo Perdomo,Pavin Smith,Josh Naylor,Eugenio Suárez,Alek Thomas,Gabriel Moreno,Jake McCarthy,Tim Tawa,Ian Happ,Kyle Tucker,Seiya Suzuki,Michael Busch,Dansby Swanson,Nico Hoerner,Pete Crow-Armstrong,Miguel Amaya,Jon Berti,Zac Gallen,Ben Brown
778258,Toronto Blue Jays,Seattle Mariners,7.5,Over,Miles Mastrobuoni,Jorge Polanco,Cal Raleigh,Randy Arozarena,Luke Raley,Rowdy Tellez,Dylan Moore,Ben Williamson,J.P. Crawford,Bo Bichette,Vladimir Guerrero Jr.,Anthony Santander,Andrés Giménez,George Springer,Alejandro Kirk,Alan Roden,Ernie Clement,Myles Straw,Logan Gilbert,José Berríos
778262,Baltimore Orioles,Cincinnati Reds,9.0,Under,TJ Friedl,Matt McLain,Elly De La Cruz,Austin Hays,Gavin Lux,Santiago Espinal,Jake Fraley,Jeimer Candelario,Jose Trevino,Cedric Mullins,Gunnar Henderson,Adley Rutschman,Ryan O'Hearn,Tyler O'Neill,Heston Kjerstad,Jordan Westburg,Jackson Holliday,Ramón Urías,Hunter Greene,Brandon Young
778256,New York Mets,St. Louis Cardinals,9.0,Under,Lars Nootbaar,Willson Contreras,Brendan Donovan,Nolan Arenado,Alec Burleson,Thomas Saggese,Nolan Gorman,Yohel Pozo,Victor Scott II,Francisco Lindor,Juan Soto,Pete Alonso,Mark Vientos,Starling Marte,Brandon Nimmo,Luis Torrens,Luisangel Acuña,José Azocar,Matthew Liberatore,Kodai Senga
778254,Pittsburgh Pirates,Cleveland Guardians,8.0,Under,Steven Kwan,Nolan Jones,José Ramírez,Kyle Manzardo,Carlos Santana,Bo Naylor,Angel Martínez,Daniel Schneemann,Brayan Rocchio,Oneil Cruz,Bryan Reynolds,Ke'Bryan Hayes,Enmanuel Valdez,Tommy Pham,Adam Frazier,Jared Triolo,Jack Suwinski,Henry Davis,Ben Lively,Paul Skenes
778251,Texas Rangers,Los Angeles Dodgers,8.5,Under,Tommy Edman,Mookie Betts,Freddie Freeman,Teoscar Hernández,Michael Conforto,Will Smith,Max Muncy,Eddie Rosario,Andy Pages,Marcus Semien,Corey Seager,Josh Smith,Adolis García,Joc Pederson,Josh Jung,Dustin Harris,Kyle Higashioka,Leody Taveras,Roki Sasaki,Nathan Eovaldi
778264,Boston Red Sox,Chicago White Sox,9.0,Under,Chase Meidroth,Luis Robert Jr.,Lenyn Sosa,Andrew Benintendi,Andrew Vaughn,Miguel Vargas,Edgar Quero,Michael A. Taylor,Jacob Amaya,Jarren Duran,Rafael Devers,Alex Bregman,Trevor Story,Wilyer Abreu,Kristian Campbell,Triston Casas,Carlos Narváez,Ceddanne Rafaela,Shane Smith,Garrett Crochet
778247,Colorado Rockies,Washington Nationals,9.5,Over,James Wood,Keibert Ruiz,Nathaniel Lowe,Josh Bell,Luis García Jr.,Dylan Crews,José Tena,Jacob Young,Nasim Nuñez,Sean Bouchard,Kyle Farmer,Ryan McMahon,Hunter Goodman,Michael Toglia,Jacob Stallings,Mickey Moniak,Jordan Beck,Aaron Schunk,MacKenzie Gore,Chase Dollander
778255,Tampa Bay Rays,New York Yankees,8.5,Under,Ben Rice,Aaron Judge,Austin Wells,Paul Goldschmidt,Jazz Chisholm Jr.,Anthony Volpe,Trent Grisham,Jasson Domínguez,Oswaldo Cabrera,Chandler Simpson,Yandy Díaz,Brandon Lowe,Junior Caminero,Jonathan Aranda,Jake Mangum,Kameron Misner,José Caballero,Ben Rortvedt,Carlos Carrasco,Shane Baz
778253,Milwaukee Brewers,Athletics,8.5,Under,Lawrence Butler,Brent Rooker,Tyler Soderstrom,Shea Langeliers,JJ Bleday,Jacob Wilson,Miguel Andujar,Gio Urshela,Max Muncy,Brice Turang,Jackson Chourio,Christian Yelich,William Contreras,Sal Frelick,Rhys Hoskins,Garrett Mitchell,Joey Ortiz,Caleb Durbin,Luis Severino,Chad Patrick
778259,Houston Astros,San Diego Padres,7.5,Over,Fernando Tatis Jr.,Luis Arraez,Manny Machado,Gavin Sheets,Oscar Gonzalez,Jose Iglesias,Tyler Wade,Elias Díaz,Connor Joe,Jose Altuve,Isaac Paredes,Yordan Alvarez,Jeremy Peña,Christian Walker,Yainer Diaz,Victor Caratini,Jake Meyers,Cam Smith,Michael King,Hayden Wesneski
778267,Atlanta Braves,Minnesota Twins,7.5,Over,Byron Buxton,Luke Keaschall,Ryan Jeffers,Ty France,Carlos Correa,Harrison Bader,Jonah Bride,Christian Vázquez,DaShawn Keirsey Jr.,Alex Verdugo,Austin Riley,Marcell Ozuna,Matt Olson,Ozzie Albies,Sean Murphy,Michael Harris II,Nick Allen,Jarred Kelenic,Justin Topa,Chris Sale
778243,Los Angeles Angels,San Francisco Giants,8.5,Over,Mike Yastrzemski,Willy Adames,Jung Hoo Lee,Matt Chapman,Heliot Ramos,LaMonte Wade Jr.,Wilmer Flores,Patrick Bailey,Tyler Fitzgerald,Taylor Ward,Luis Rengifo,Mike Trout,Jorge Soler,Logan O'Hoppe,Nolan Schanuel,Zach Neto,Kyren Paris,Jo Adell,Landen Roupp,Kyle Hendricks
