game_id,start_time,home_team,away_team,runline,pick,runs_total,prediction,outcome,completed,Away_Batter1_Name,Away_Batter2_Name,Away_Batter3_Name,Away_Batter4_Name,Away_Batter5_Name,Away_Batter6_Name,Away_Batter7_Name,Away_Batter8_Name,Away_Batter9_Name,Home_Batter1_Name,Home_Batter2_Name,Home_Batter3_Name,Home_Batter4_Name,Home_Batter5_Name,Home_Batter6_Name,Home_Batter7_Name,Home_Batter8_Name,Home_Batter9_Name,Away_SP_Name,Home_SP_Name
776966,15:35,Baltimore Orioles,Toronto Blue Jays,9.5,Over,0,1,0,0,,,,,,,,,,,,,,,,,,,,
776968,15:40,Cleveland Guardians,Colorado Rockies,9.0,Under,0,0,0,0,Tyler Freeman,Mickey Moniak,Hunter Goodman,Jordan Beck,Thairo Estrada,Warming Bernabel,Brenton Doyle,Kyle Farmer,Orlando Arcia,Steven Kwan,Angel Martínez,José Ramírez,Kyle Manzardo,Carlos Santana,Daniel Schneemann,Nolan Jones,Brayan Rocchio,Austin Hedges,Bradley Blalock,Slade Cecconi
776973,15:40,Detroit Tigers,Arizona Diamondbacks,9.0,Under,0,0,0,0,Corbin Carroll,Ketel Marte,Geraldo Perdomo,Eugenio Suárez,Adrian Del Castillo,Lourdes Gurriel Jr.,Tristin English,Alek Thomas,Jose Herrera,,,,,,,,,,Eduardo Rodriguez,
776970,16:05,New York Yankees,Tampa Bay Rays,8.5,Over,0,1,0,0,,,,,,,,,,Trent Grisham,Jasson Domínguez,Cody Bellinger,Giancarlo Stanton,Jazz Chisholm Jr.,Paul Goldschmidt,Ryan McMahon,Austin Wells,Anthony Volpe,,Cam Schlittler
776971,16:40,Kansas City Royals,Atlanta Braves,9.5,Over,0,1,0,0,,,,,,,,,,Jonathan India,Bobby Witt Jr.,Vinnie Pasquantino,Maikel Garcia,Salvador Perez,Adam Frazier,Randal Grichuk,MJ Melendez,Kyle Isbel,,Rich Hill
776961,16:40,Minnesota Twins,Boston Red Sox,9.0,Over,0,1,0,0,,,,,,,,,,Trevor Larnach,Willi Castro,Carlos Correa,Kody Clemens,Royce Lewis,Matt Wallner,Ty France,Christian Vázquez,DaShawn Keirsey Jr.,,Simeon Woods Richardson
776967,16:10,Cincinnati Reds,Los Angeles Dodgers,9.0,Over,0,1,0,0,,,,,,,,,,TJ Friedl,Matt McLain,Elly De La Cruz,Austin Hays,Gavin Lux,Spencer Steer,Tyler Stephenson,Will Benson,Noelvi Marte,,Chase Burns
776972,16:40,Chicago White Sox,Philadelphia Phillies,8.0,Over,0,1,0,0,,,,,,,,,,Chase Meidroth,Austin Slater,Edgar Quero,Miguel Vargas,Andrew Benintendi,Luis Robert Jr.,Lenyn Sosa,Colson Montgomery,Michael A. Taylor,,Davis Martin
776965,16:40,Milwaukee Brewers,Chicago Cubs,8.0,Over,0,1,0,0,,,,,,,,,,,,,,,,,,,,
776960,16:45,St. Louis Cardinals,Miami Marlins,8.0,Over,0,1,0,0,,,,,,,,,,,,,,,,,,,,
776959,18:40,San Diego Padres,New York Mets,8.0,Under,0,0,0,0,,,,,,,,,,,,,,,,,,,,
776969,17:10,Houston Astros,Washington Nationals,7.5,Over,0,1,0,0,,,,,,,,,,,,,,,,,,,,
776958,18:38,Los Angeles Angels,Texas Rangers,8.5,Over,0,1,0,0,,,,,,,,,,,,,,,,,,,,
776964,18:45,San Francisco Giants,Pittsburgh Pirates,7.5,Over,0,1,0,0,,,,,,,,,,,,,,,,,,,,
776957,19:05,Athletics,Seattle Mariners,10.5,Over,0,1,0,0,,,,,,,,,,,,,,,,,,,,
